,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
37,BF-B,Brown-Forman Corporation,2018-04-30,10-K,2021-06-21,239000000.0,,,,,481001000.0,1316000000.0,,
30,BF-B,Brown-Forman Corporation,2017-04-30,10-K,2017-06-15,182000000.0,1938000000.0,669000000.0,989000000.0,,384086000.0,1370000000.0,4625000000.0,3255000000.0
31,BF-B,Brown-Forman Corporation,2017-04-30,10-K,2018-06-13,182000000.0,1938000000.0,669000000.0,989000000.0,,480106000.0,1370000000.0,4625000000.0,3255000000.0
32,BF-B,Brown-Forman Corporation,2017-04-30,10-K,2019-06-13,182000000.0,,669000000.0,1010000000.0,2994000000.0,480106000.0,1370000000.0,,
33,BF-B,Brown-Forman Corporation,2017-04-30,10-K,2020-06-19,182000000.0,,,,,480106000.0,1370000000.0,,
26,BF-B,Brown-Forman Corporation,2016-04-30,10-K,2016-06-16,263000000.0,1230000000.0,1067000000.0,1533000000.0,,197742000.0,1562000000.0,4183000000.0,2621000000.0
27,BF-B,Brown-Forman Corporation,2016-04-30,10-K,2017-06-15,263000000.0,1230000000.0,1067000000.0,1533000000.0,,395484000.0,1562000000.0,4183000000.0,2621000000.0
28,BF-B,Brown-Forman Corporation,2016-04-30,10-K,2018-06-13,263000000.0,,1067000000.0,1533000000.0,,494353000.0,1562000000.0,,
29,BF-B,Brown-Forman Corporation,2016-04-30,10-K,2019-06-13,263000000.0,,,,,494353000.0,1562000000.0,,
22,BF-B,Brown-Forman Corporation,2015-04-30,10-K,2015-06-18,370000000.0,998000000.0,684000000.0,1027000000.0,,208700000.0,1905000000.0,4193000000.0,2288000000.0
23,BF-B,Brown-Forman Corporation,2015-04-30,10-K,2016-06-16,370000000.0,993000000.0,684000000.0,1027000000.0,,208700000.0,1905000000.0,4188000000.0,2283000000.0
24,BF-B,Brown-Forman Corporation,2015-04-30,10-K,2017-06-15,370000000.0,,684000000.0,1027000000.0,,417400000.0,1905000000.0,,
25,BF-B,Brown-Forman Corporation,2015-04-30,10-K,2018-06-13,370000000.0,,,,,521749000.0,1905000000.0,,
18,BF-B,Brown-Forman Corporation,2014-04-30,10-K,2014-06-20,437000000.0,997000000.0,659000000.0,971000000.0,,213455000.0,2032000000.0,4103000000.0,2071000000.0
19,BF-B,Brown-Forman Corporation,2014-04-30,10-K,2015-06-18,437000000.0,997000000.0,659000000.0,971000000.0,,213455000.0,2032000000.0,4103000000.0,2071000000.0
20,BF-B,Brown-Forman Corporation,2014-04-30,10-K,2016-06-16,437000000.0,,659000000.0,971000000.0,,213455000.0,2032000000.0,,
21,BF-B,Brown-Forman Corporation,2014-04-30,10-K,2017-06-15,437000000.0,,,,,426910000.0,2032000000.0,,
14,BF-B,Brown-Forman Corporation,2013-04-30,10-K,2013-06-27,204000000.0,999000000.0,591000000.0,898000000.0,,213707000.0,1628000000.0,3626000000.0,1998000000.0
15,BF-B,Brown-Forman Corporation,2013-04-30,10-K,2014-06-20,204000000.0,999000000.0,591000000.0,898000000.0,,213707000.0,1628000000.0,3626000000.0,1998000000.0
16,BF-B,Brown-Forman Corporation,2013-04-30,10-K,2015-06-18,204000000.0,,591000000.0,898000000.0,,213707000.0,1628000000.0,,
17,BF-B,Brown-Forman Corporation,2013-04-30,10-K,2016-06-16,204000000.0,,,,,,,,
10,BF-B,Brown-Forman Corporation,2012-04-30,10-K,2012-06-27,338000000.0,506000000.0,513000000.0,788000000.0,,142074000.0,2069000000.0,3477000000.0,1408000000.0
11,BF-B,Brown-Forman Corporation,2012-04-30,10-K,2013-06-27,338000000.0,506000000.0,513000000.0,788000000.0,,142074000.0,2069000000.0,3477000000.0,1408000000.0
12,BF-B,Brown-Forman Corporation,2012-04-30,10-K,2014-06-20,338000000.0,,513000000.0,788000000.0,,142074000.0,2069000000.0,,
13,BF-B,Brown-Forman Corporation,2012-04-30,10-K,2015-06-18,338000000.0,,,,,,,,
6,BF-B,Brown-Forman Corporation,2011-04-30,10-K,2011-06-27,567000000.0,759000000.0,572000000.0,855000000.0,,,2060000000.0,3712000000.0,1652000000.0
7,BF-B,Brown-Forman Corporation,2011-04-30,10-K,2012-06-27,567000000.0,759000000.0,572000000.0,855000000.0,,144990000.0,2060000000.0,3712000000.0,1652000000.0
8,BF-B,Brown-Forman Corporation,2011-04-30,10-K,2013-06-27,567000000.0,,572000000.0,855000000.0,,144990000.0,2060000000.0,,
9,BF-B,Brown-Forman Corporation,2011-04-30,10-K,2014-06-20,567000000.0,,,,,,,,
3,BF-B,Brown-Forman Corporation,2010-04-30,10-K,2011-06-27,232000000.0,511000000.0,449000000.0,710000000.0,,,1895000000.0,3383000000.0,1488000000.0
4,BF-B,Brown-Forman Corporation,2010-04-30,10-K,2012-06-27,232000000.0,,449000000.0,710000000.0,,146963000.0,1895000000.0,,
5,BF-B,Brown-Forman Corporation,2010-04-30,10-K,2013-06-27,232000000.0,,,,,,,,
1,BF-B,Brown-Forman Corporation,2009-04-30,10-K,2011-06-27,340000000.0,,435000000.0,661000000.0,,,1816000000.0,,
2,BF-B,Brown-Forman Corporation,2009-04-30,10-K,2012-06-27,340000000.0,,,,,,,,
0,BF-B,Brown-Forman Corporation,2008-04-30,10-K,2011-06-27,119000000.0,,,,,,,,
