,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
72,BIIB,Biogen Inc.,2015-12-31,10-K,2019-02-06,1308000000.0,,,,,,9372800000.0,,
67,BIIB,Biogen Inc.,2015-09-30,10-K,2016-02-03,,,965600000.0,,2777900000.0,,,,
68,BIIB,Biogen Inc.,2015-09-30,10-K,2017-02-02,,,965600000.0,,2777900000.0,,,,
65,BIIB,Biogen Inc.,2015-06-30,10-K,2016-02-03,,,927300000.0,,2591600000.0,,,,
66,BIIB,Biogen Inc.,2015-06-30,10-K,2017-02-02,,,927300000.0,,2591600000.0,,,,
63,BIIB,Biogen Inc.,2015-03-31,10-K,2016-02-03,,,822500000.0,,2555000000.0,,,,
64,BIIB,Biogen Inc.,2015-03-31,10-K,2017-02-02,,,822500000.0,,2555000000.0,,,,
59,BIIB,Biogen Inc.,2014-12-31,10-K,2015-02-04,1204924000.0,582061000.0,883500000.0,3972414000.0,2640700000.0,234563000.0,10809010000.0,14316559000.0,3502519000.0
60,BIIB,Biogen Inc.,2014-12-31,10-K,2016-02-03,1204900000.0,580300000.0,883500000.0,3972400000.0,2640700000.0,234600000.0,10809000000.0,14314700000.0,3500700000.0
61,BIIB,Biogen Inc.,2014-12-31,10-K,2017-02-02,1204900000.0,,2934800000.0,3972400000.0,9703300000.0,,10809000000.0,,
62,BIIB,Biogen Inc.,2014-12-31,10-K,2018-02-01,1204900000.0,,,,,,10809000000.0,,
57,BIIB,Biogen Inc.,2014-09-30,10-K,2015-02-04,,,856900000.0,,2511400000.0,,,,
58,BIIB,Biogen Inc.,2014-09-30,10-K,2016-02-03,,,856900000.0,,2511400000.0,,,,
55,BIIB,Biogen Inc.,2014-06-30,10-K,2015-02-04,,,714500000.0,,2421500000.0,,,,
56,BIIB,Biogen Inc.,2014-06-30,10-K,2016-02-03,,,714500000.0,,2421500000.0,,,,
53,BIIB,Biogen Inc.,2014-03-31,10-K,2015-02-04,,,480000000.0,,2129800000.0,,,,
54,BIIB,Biogen Inc.,2014-03-31,10-K,2016-02-03,,,480000000.0,,2129800000.0,,,,
49,BIIB,Biogen Inc.,2013-12-31,10-K,2014-02-06,602562000.0,592433000.0,457300000.0,2515509000.0,1965900000.0,236332000.0,8620242000.0,11863335000.0,3242497000.0
50,BIIB,Biogen Inc.,2013-12-31,10-K,2015-02-04,602562000.0,592433000.0,457300000.0,2515509000.0,1965900000.0,236332000.0,8620242000.0,11863335000.0,3242497000.0
51,BIIB,Biogen Inc.,2013-12-31,10-K,2016-02-03,602600000.0,,1862300000.0,2515500000.0,6932200000.0,,,,
52,BIIB,Biogen Inc.,2013-12-31,10-K,2017-02-02,602600000.0,,,,,,8620200000.0,,
47,BIIB,Biogen Inc.,2013-09-30,10-K,2014-02-06,,,487600000.0,,1827800000.0,,,,
48,BIIB,Biogen Inc.,2013-09-30,10-K,2015-02-04,,,487600000.0,,1827800000.0,,,,
45,BIIB,Biogen Inc.,2013-06-30,10-K,2014-02-06,,,490700000.0,,1723500000.0,,,,
46,BIIB,Biogen Inc.,2013-06-30,10-K,2015-02-04,,,490700000.0,,1723500000.0,,,,
43,BIIB,Biogen Inc.,2013-03-31,10-K,2014-02-06,,,426700000.0,,1415100000.0,,,,
44,BIIB,Biogen Inc.,2013-03-31,10-K,2015-02-04,,,426700000.0,,1415100000.0,,,,
39,BIIB,Biogen Inc.,2012-12-31,10-K,2013-02-05,570721000.0,1020900000.0,292100000.0,1855849000.0,1417900000.0,236582000.0,6961523000.0,10130118000.0,3166323000.0
40,BIIB,Biogen Inc.,2012-12-31,10-K,2014-02-06,570721000.0,687396000.0,292100000.0,1855849000.0,1417900000.0,236582000.0,6961523000.0,10130118000.0,3166323000.0
41,BIIB,Biogen Inc.,2012-12-31,10-K,2015-02-04,570721000.0,,1380033000.0,1855849000.0,5516461000.0,,,,
42,BIIB,Biogen Inc.,2012-12-31,10-K,2016-02-03,570700000.0,,,,,,,,
37,BIIB,Biogen Inc.,2012-09-30,10-K,2013-02-05,,,398400000.0,,1385500000.0,,,,
38,BIIB,Biogen Inc.,2012-09-30,10-K,2014-02-06,,,398400000.0,,1385500000.0,,,,
35,BIIB,Biogen Inc.,2012-06-30,10-K,2013-02-05,,,386800000.0,,1421000000.0,,,,
36,BIIB,Biogen Inc.,2012-06-30,10-K,2014-02-06,,,386800000.0,,1421000000.0,,,,
33,BIIB,Biogen Inc.,2012-03-31,10-K,2013-02-05,,,302700000.0,,1292000000.0,,,,
34,BIIB,Biogen Inc.,2012-03-31,10-K,2014-02-06,,,302700000.0,,1292000000.0,,,,
29,BIIB,Biogen Inc.,2011-12-31,10-K,2012-02-03,514542000.0,1023700000.0,300200000.0,1724691000.0,1326700000.0,242115000.0,6425499000.0,9049604000.0,2622617000.0
30,BIIB,Biogen Inc.,2011-12-31,10-K,2013-02-05,514542000.0,,300200000.0,1724691000.0,1326700000.0,242115000.0,6425499000.0,9049604000.0,2622617000.0
31,BIIB,Biogen Inc.,2011-12-31,10-K,2014-02-06,514542000.0,,1234428000.0,1724691000.0,5048634000.0,,,,
32,BIIB,Biogen Inc.,2011-12-31,10-K,2015-02-04,514542000.0,,,,,,,,
27,BIIB,Biogen Inc.,2011-09-30,10-K,2012-02-03,,,351800000.0,,1309900000.0,,,,
28,BIIB,Biogen Inc.,2011-09-30,10-K,2013-02-05,,,351800000.0,,1309900000.0,,,,
25,BIIB,Biogen Inc.,2011-06-30,10-K,2012-02-03,,,288000000.0,,1208600000.0,,,,
26,BIIB,Biogen Inc.,2011-06-30,10-K,2013-02-05,,,288000000.0,,1208600000.0,,,,
23,BIIB,Biogen Inc.,2011-03-31,10-K,2012-02-03,,,294300000.0,,1203300000.0,,,,
24,BIIB,Biogen Inc.,2011-03-31,10-K,2013-02-05,,,294300000.0,,1203300000.0,,,,
19,BIIB,Biogen Inc.,2010-12-31,10-K,2011-02-04,759598000.0,1035200000.0,240300000.0,1248889000.0,1219000000.0,240538.0,5396506000.0,8092493000.0,2643050000.0
20,BIIB,Biogen Inc.,2010-12-31,10-K,2012-02-03,759598000.0,,240300000.0,1248889000.0,1219000000.0,240538000.0,5396506000.0,8092493000.0,2643050000.0
21,BIIB,Biogen Inc.,2010-12-31,10-K,2013-02-05,759598000.0,,1005273000.0,1248889000.0,4716423000.0,,,,
22,BIIB,Biogen Inc.,2010-12-31,10-K,2014-02-06,759598000.0,,,,,,,,
17,BIIB,Biogen Inc.,2010-09-30,10-K,2011-02-04,,,254100000.0,,1175800000.0,,,,
18,BIIB,Biogen Inc.,2010-09-30,10-K,2012-02-03,,,254100000.0,,1175800000.0,,,,
15,BIIB,Biogen Inc.,2010-06-30,10-K,2011-02-04,,,293400000.0,,1212700000.0,,,,
16,BIIB,Biogen Inc.,2010-06-30,10-K,2012-02-03,,,293400000.0,,1212700000.0,,,,
13,BIIB,Biogen Inc.,2010-03-31,10-K,2011-02-04,,,217400000.0,,1108900000.0,,,,
14,BIIB,Biogen Inc.,2010-03-31,10-K,2012-02-03,,,217400000.0,,1108900000.0,,,,
9,BIIB,Biogen Inc.,2009-12-31,10-K,2010-02-09,581889000.0,,970132000.0,1295427000.0,4377348000.0,274855000.0,6221530000.0,8551854000.0,2289972000.0
10,BIIB,Biogen Inc.,2009-12-31,10-K,2011-02-04,581889000.0,,305600000.0,1295427000.0,1127000000.0,274855.0,6221530000.0,8551854000.0,2289972000.0
11,BIIB,Biogen Inc.,2009-12-31,10-K,2012-02-03,581889000.0,,970132000.0,1295427000.0,4377348000.0,,,,
12,BIIB,Biogen Inc.,2009-12-31,10-K,2013-02-05,581889000.0,,,,,,,,
8,BIIB,Biogen Inc.,2009-09-30,10-K,2011-02-04,,,277700000.0,,1120500000.0,,,,
7,BIIB,Biogen Inc.,2009-06-30,10-K,2011-02-04,,,142800000.0,,1093300000.0,,,,
6,BIIB,Biogen Inc.,2009-03-31,10-K,2011-02-04,,,244000000.0,,1036500000.0,,,,
3,BIIB,Biogen Inc.,2008-12-31,10-K,2010-02-09,622385000.0,,783167000.0,1213611000.0,4097507000.0,288046000.0,5806083000.0,8478991000.0,2645039000.0
4,BIIB,Biogen Inc.,2008-12-31,10-K,2011-02-04,622385000.0,,783167000.0,1213611000.0,4097507000.0,,,,
5,BIIB,Biogen Inc.,2008-12-31,10-K,2012-02-03,622385000.0,,,,,,,,
1,BIIB,Biogen Inc.,2007-12-31,10-K,2010-02-09,659662000.0,,638172000.0,779772000.0,3171617000.0,,,,
2,BIIB,Biogen Inc.,2007-12-31,10-K,2011-02-04,659662000.0,,,,,,,,
0,BIIB,Biogen Inc.,2006-12-31,10-K,2010-02-09,661377000.0,,,,,,,,
