,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
40,ED,CONSOLIDATED EDISON INC,2020-12-31,10-K,2023-02-16,,,1101000000.0,2654000000.0,12246000000.0,12026000000.0,,,62895000000.0
35,ED,CONSOLIDATED EDISON INC,2019-12-31,10-K,2020-02-20,981000000.0,19973000000.0,1343000000.0,2676000000.0,12574000000.0,12144000000.0,332629597.0,18022000000.0,58079000000.0
36,ED,CONSOLIDATED EDISON INC,2019-12-31,10-K,2021-02-18,981000000.0,19973000000.0,1343000000.0,2676000000.0,12574000000.0,12144000000.0,332629597.0,18022000000.0,58079000000.0
37,ED,CONSOLIDATED EDISON INC,2019-12-31,10-K,2022-02-17,,,1343000000.0,2676000000.0,12574000000.0,12144000000.0,,,58079000000.0
32,ED,CONSOLIDATED EDISON INC,2018-12-31,10-K,2019-02-21,895000000.0,18145000000.0,1382000000.0,2664000000.0,12337000000.0,11928000000.0,,16726000000.0,53920000000.0
33,ED,CONSOLIDATED EDISON INC,2018-12-31,10-K,2020-02-20,895000000.0,18145000000.0,1382000000.0,2664000000.0,12337000000.0,11928000000.0,320960396.0,16726000000.0,53920000000.0
34,ED,CONSOLIDATED EDISON INC,2018-12-31,10-K,2021-02-18,,,1382000000.0,2664000000.0,12337000000.0,11928000000.0,,,53920000000.0
28,ED,CONSOLIDATED EDISON INC,2017-12-31,10-K,2018-02-15,797000000.0,16029000000.0,1525000000.0,2610000000.0,12033000000.0,,,15418000000.0,48111000000.0
29,ED,CONSOLIDATED EDISON INC,2017-12-31,10-K,2019-02-21,797000000.0,16029000000.0,1525000000.0,2774000000.0,12033000000.0,,,15418000000.0,48111000000.0
30,ED,CONSOLIDATED EDISON INC,2017-12-31,10-K,2020-02-20,,,1525000000.0,2774000000.0,12033000000.0,,,,48111000000.0
31,ED,CONSOLIDATED EDISON INC,2017-12-31,10-K,2021-02-18,,,1525000000.0,,12033000000.0,,,,
25,ED,CONSOLIDATED EDISON INC,2016-12-31,10-K,2017-02-16,776000000.0,14774000000.0,1245000000.0,2575000000.0,12075000000.0,,,14298000000.0,48255000000.0
26,ED,CONSOLIDATED EDISON INC,2016-12-31,10-K,2018-02-15,776000000.0,14774000000.0,1245000000.0,2575000000.0,12075000000.0,,,14298000000.0,48255000000.0
