,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets,total_liabilities
38,MSTR,STRATEGY INC,2013-12-31,10-K,2017-02-10,220171000.0,,,,,,310326000.0,,
33,MSTR,STRATEGY INC,2013-09-30,10-K,2014-02-12,,,17146000.0,,141919000.0,,,,
34,MSTR,STRATEGY INC,2013-09-30,10-K,2015-02-26,,,17146000.0,,141919000.0,,,,
31,MSTR,STRATEGY INC,2013-06-30,10-K,2014-02-12,,,-1553000.0,,137905000.0,,,,
32,MSTR,STRATEGY INC,2013-06-30,10-K,2015-02-26,,,-1553000.0,,137905000.0,,,,
29,MSTR,STRATEGY INC,2013-03-31,10-K,2014-02-12,,,51591000.0,,130183000.0,,,,
30,MSTR,STRATEGY INC,2013-03-31,10-K,2015-02-26,,,51591000.0,,130183000.0,,,,
25,MSTR,STRATEGY INC,2012-12-31,10-K,2013-02-13,224393000.0,,8240000.0,30153000.0,164453000.0,,200311000.0,477938000.0,277627000.0
26,MSTR,STRATEGY INC,2012-12-31,10-K,2014-02-12,223043000.0,,8240000.0,33099000.0,155986000.0,,200311000.0,477938000.0,277627000.0
27,MSTR,STRATEGY INC,2012-12-31,10-K,2015-02-26,224393000.0,,20546000.0,33099000.0,565724000.0,,200311000.0,,
28,MSTR,STRATEGY INC,2012-12-31,10-K,2016-02-26,224393000.0,,,,,,200311000.0,,
23,MSTR,STRATEGY INC,2012-09-30,10-K,2013-02-13,,,4763000.0,,143230000.0,,,,
24,MSTR,STRATEGY INC,2012-09-30,10-K,2014-02-12,,,4763000.0,,136080000.0,,,,
21,MSTR,STRATEGY INC,2012-06-30,10-K,2013-02-13,,,7271000.0,,141838000.0,,,,
22,MSTR,STRATEGY INC,2012-06-30,10-K,2014-02-12,,,7271000.0,,135324000.0,,,,
19,MSTR,STRATEGY INC,2012-03-31,10-K,2013-02-13,,,272000.0,,145085000.0,,,,
20,MSTR,STRATEGY INC,2012-03-31,10-K,2014-02-12,,,272000.0,,138334000.0,,,,
15,MSTR,STRATEGY INC,2011-12-31,10-K,2012-02-17,199634000.0,,9000000.0,15042000.0,160266000.0,,168978000.0,453851000.0,284873000.0
16,MSTR,STRATEGY INC,2011-12-31,10-K,2013-02-13,199634000.0,,9000000.0,15042000.0,160266000.0,,168978000.0,453851000.0,284873000.0
17,MSTR,STRATEGY INC,2011-12-31,10-K,2014-02-12,,,17940000.0,20866000.0,537168000.0,,168978000.0,,
18,MSTR,STRATEGY INC,2011-12-31,10-K,2015-02-26,199634000.0,,,,,,168978000.0,,
13,MSTR,STRATEGY INC,2011-09-30,10-K,2012-02-17,,,4921000.0,,141704000.0,,,,
14,MSTR,STRATEGY INC,2011-09-30,10-K,2013-02-13,,,4921000.0,,141704000.0,,,,
11,MSTR,STRATEGY INC,2011-06-30,10-K,2012-02-17,,,2885000.0,,138151000.0,,,,
12,MSTR,STRATEGY INC,2011-06-30,10-K,2013-02-13,,,2885000.0,,138151000.0,,,,
9,MSTR,STRATEGY INC,2011-03-31,10-K,2012-02-17,,,1134000.0,,122029000.0,,,,
10,MSTR,STRATEGY INC,2011-03-31,10-K,2013-02-13,,,1134000.0,,122029000.0,,,,
6,MSTR,STRATEGY INC,2010-12-31,10-K,2012-02-17,174097000.0,,17922000.0,50589000.0,139120000.0,,149172000.0,381566000.0,232394000.0
7,MSTR,STRATEGY INC,2010-12-31,10-K,2013-02-13,174097000.0,,43792000.0,50589000.0,454577000.0,,149172000.0,,
8,MSTR,STRATEGY INC,2010-12-31,10-K,2014-02-12,,,,,,,149172000.0,,
5,MSTR,STRATEGY INC,2010-09-30,10-K,2012-02-17,,,7351000.0,,114530000.0,,,,
4,MSTR,STRATEGY INC,2010-06-30,10-K,2012-02-17,,,11618000.0,,107537000.0,,,,
3,MSTR,STRATEGY INC,2010-03-31,10-K,2012-02-17,,,6901000.0,,93390000.0,,,,
1,MSTR,STRATEGY INC,2009-12-31,10-K,2012-02-17,224769000.0,,74837000.0,86304000.0,377788000.0,,214228000.0,,
2,MSTR,STRATEGY INC,2009-12-31,10-K,2013-02-13,224769000.0,,,,,,214228000.0,,
0,MSTR,STRATEGY INC,2008-12-31,10-K,2012-02-17,122915000.0,,,,,,138041000.0,,
