,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
122,AKAM,"Akamai Technologies, Inc.",2021-09-30,10-K,2023-02-28,,178916000.0,,,,,,
121,AKAM,"Akamai Technologies, Inc.",2021-06-30,10-K,2023-02-28,,156497000.0,,,,,,
120,AKAM,"Akamai Technologies, Inc.",2021-03-31,10-K,2023-02-28,,155695000.0,,,,,,
116,AKAM,"Akamai Technologies, Inc.",2020-12-31,10-K,2021-02-26,352917000.0,113370000.0,658534000.0,,162709720.0,4251296000.0,7764130000.0,3512834000.0
117,AKAM,"Akamai Technologies, Inc.",2020-12-31,10-K,2022-02-28,352917000.0,557054000.0,658534000.0,,162709720.0,4251296000.0,7764130000.0,3512834000.0
118,AKAM,"Akamai Technologies, Inc.",2020-12-31,10-K,2023-02-28,352917000.0,557054000.0,658534000.0,,,4251296000.0,,
119,AKAM,"Akamai Technologies, Inc.",2020-12-31,10-K,2024-02-28,,,,,,4251296000.0,,
115,AKAM,"Akamai Technologies, Inc.",2020-09-30,10-K,2021-02-26,,158623000.0,,,,,,
114,AKAM,"Akamai Technologies, Inc.",2020-06-30,10-K,2021-02-26,,161915000.0,,,,,,
113,AKAM,"Akamai Technologies, Inc.",2020-03-31,10-K,2021-02-26,,123146000.0,,,,,,
109,AKAM,"Akamai Technologies, Inc.",2019-12-31,10-K,2020-02-28,393745000.0,119100000.0,548918000.0,,162000843.0,3657958000.0,7006886000.0,3348928000.0
110,AKAM,"Akamai Technologies, Inc.",2019-12-31,10-K,2021-02-26,393745000.0,119100000.0,548918000.0,,162000843.0,3657958000.0,7006886000.0,3348928000.0
111,AKAM,"Akamai Technologies, Inc.",2019-12-31,10-K,2022-02-28,393745000.0,478035000.0,548918000.0,,,3657958000.0,,
112,AKAM,"Akamai Technologies, Inc.",2019-12-31,10-K,2023-02-28,,,,,,3657958000.0,,
107,AKAM,"Akamai Technologies, Inc.",2019-09-30,10-K,2020-02-28,,137890000.0,,,,,,
108,AKAM,"Akamai Technologies, Inc.",2019-09-30,10-K,2021-02-26,,137890000.0,,,,,,
105,AKAM,"Akamai Technologies, Inc.",2019-06-30,10-K,2020-02-28,,113915000.0,,,,,,
106,AKAM,"Akamai Technologies, Inc.",2019-06-30,10-K,2021-02-26,,113915000.0,,,,,,
103,AKAM,"Akamai Technologies, Inc.",2019-03-31,10-K,2020-02-28,,107130000.0,,,,,,
104,AKAM,"Akamai Technologies, Inc.",2019-03-31,10-K,2021-02-26,,107130000.0,,,,,,
99,AKAM,"Akamai Technologies, Inc.",2018-12-31,10-K,2019-02-28,1036455000.0,94015000.0,362499000.0,,162904550.0,3191860000.0,5461770000.0,2269910000.0
100,AKAM,"Akamai Technologies, Inc.",2018-12-31,10-K,2020-02-28,1036455000.0,94015000.0,362499000.0,,162904550.0,3191860000.0,5461770000.0,2269910000.0
101,AKAM,"Akamai Technologies, Inc.",2018-12-31,10-K,2021-02-26,1036455000.0,298373000.0,362499000.0,,,3191860000.0,,
102,AKAM,"Akamai Technologies, Inc.",2018-12-31,10-K,2022-02-28,,,,,,3191860000.0,,
97,AKAM,"Akamai Technologies, Inc.",2018-09-30,10-K,2019-02-28,,107583000.0,,,,,,
98,AKAM,"Akamai Technologies, Inc.",2018-09-30,10-K,2020-02-28,,107583000.0,,,,,,
95,AKAM,"Akamai Technologies, Inc.",2018-06-30,10-K,2019-02-28,,43061000.0,,,,,,
96,AKAM,"Akamai Technologies, Inc.",2018-06-30,10-K,2020-02-28,,43061000.0,,,,,,
93,AKAM,"Akamai Technologies, Inc.",2018-03-31,10-K,2019-02-28,,53714000.0,,,,,,
94,AKAM,"Akamai Technologies, Inc.",2018-03-31,10-K,2020-02-28,,53714000.0,,,,,,
89,AKAM,"Akamai Technologies, Inc.",2017-12-31,10-K,2018-03-01,313382000.0,19107000.0,316219000.0,663452000.0,169893324.0,3310723000.0,4602844000.0,1292121000.0
90,AKAM,"Akamai Technologies, Inc.",2017-12-31,10-K,2019-02-28,313382000.0,27520000.0,314289000.0,,169893324.0,3362469000.0,4648916000.0,1286447000.0
91,AKAM,"Akamai Technologies, Inc.",2017-12-31,10-K,2020-02-28,313382000.0,222766000.0,314289000.0,,,3362469000.0,,
92,AKAM,"Akamai Technologies, Inc.",2017-12-31,10-K,2021-02-26,,,,,,3362469000.0,,
87,AKAM,"Akamai Technologies, Inc.",2017-09-30,10-K,2018-03-01,,60512000.0,,621399000.0,,,,
88,AKAM,"Akamai Technologies, Inc.",2017-09-30,10-K,2019-02-28,,63911000.0,,,,,,
85,AKAM,"Akamai Technologies, Inc.",2017-06-30,10-K,2018-03-01,,57772000.0,,608908000.0,,,,
86,AKAM,"Akamai Technologies, Inc.",2017-06-30,10-K,2019-02-28,,56752000.0,,,,,,
83,AKAM,"Akamai Technologies, Inc.",2017-03-31,10-K,2018-03-01,,80930000.0,,609237000.0,,,,
84,AKAM,"Akamai Technologies, Inc.",2017-03-31,10-K,2019-02-28,,74583000.0,,,,,,
79,AKAM,"Akamai Technologies, Inc.",2016-12-31,10-K,2017-02-28,324169000.0,91639000.0,459594000.0,616124000.0,173254797.0,3224370000.0,4373146000.0,1148776000.0
80,AKAM,"Akamai Technologies, Inc.",2016-12-31,10-K,2018-03-01,324169000.0,91639000.0,459594000.0,616124000.0,173254797.0,3224370000.0,4373146000.0,1148776000.0
81,AKAM,"Akamai Technologies, Inc.",2016-12-31,10-K,2019-02-28,324169000.0,320727000.0,466510000.0,,,3270218000.0,,
82,AKAM,"Akamai Technologies, Inc.",2016-12-31,10-K,2020-02-28,,,,,,3270218000.0,,
77,AKAM,"Akamai Technologies, Inc.",2016-09-30,10-K,2017-02-28,,76000000.0,,584065000.0,,,,
78,AKAM,"Akamai Technologies, Inc.",2016-09-30,10-K,2018-03-01,,76000000.0,,584065000.0,,,,
75,AKAM,"Akamai Technologies, Inc.",2016-06-30,10-K,2017-02-28,,73635000.0,,572135000.0,,,,
76,AKAM,"Akamai Technologies, Inc.",2016-06-30,10-K,2018-03-01,,73635000.0,,572135000.0,,,,
73,AKAM,"Akamai Technologies, Inc.",2016-03-31,10-K,2017-02-28,,74858000.0,,567725000.0,,,,
74,AKAM,"Akamai Technologies, Inc.",2016-03-31,10-K,2018-03-01,,74858000.0,,567725000.0,,,,
69,AKAM,"Akamai Technologies, Inc.",2015-12-31,10-K,2016-02-29,289473000.0,88420000.0,466150000.0,579159000.0,177212181.0,3120878000.0,4187925000.0,1067047000.0
70,AKAM,"Akamai Technologies, Inc.",2015-12-31,10-K,2017-02-28,289473000.0,88420000.0,466150000.0,579159000.0,177212181.0,3120878000.0,4181684000.0,1060806000.0
71,AKAM,"Akamai Technologies, Inc.",2015-12-31,10-K,2018-03-01,289473000.0,321406000.0,466150000.0,2197448000.0,,3120878000.0,,
72,AKAM,"Akamai Technologies, Inc.",2015-12-31,10-K,2019-02-28,,,,,,3162865000.0,,
67,AKAM,"Akamai Technologies, Inc.",2015-09-30,10-K,2016-02-29,,88040000.0,,551030000.0,,,,
68,AKAM,"Akamai Technologies, Inc.",2015-09-30,10-K,2017-02-28,,88040000.0,,551030000.0,,,,
65,AKAM,"Akamai Technologies, Inc.",2015-06-30,10-K,2016-02-29,,67200000.0,,540723000.0,,,,
66,AKAM,"Akamai Technologies, Inc.",2015-06-30,10-K,2017-02-28,,67200000.0,,540723000.0,,,,
63,AKAM,"Akamai Technologies, Inc.",2015-03-31,10-K,2016-02-29,,77746000.0,,526536000.0,,,,
64,AKAM,"Akamai Technologies, Inc.",2015-03-31,10-K,2017-02-28,,77746000.0,,526536000.0,,,,
59,AKAM,"Akamai Technologies, Inc.",2014-12-31,10-K,2015-03-02,238650000.0,97107000.0,489519000.0,536295000.0,178300603.0,2945335000.0,4001546000.0,1056211000.0
60,AKAM,"Akamai Technologies, Inc.",2014-12-31,10-K,2016-02-29,238650000.0,97107000.0,489519000.0,536295000.0,178300603.0,2945335000.0,4001546000.0,1056211000.0
61,AKAM,"Akamai Technologies, Inc.",2014-12-31,10-K,2017-02-28,238650000.0,333948000.0,489519000.0,1963874000.0,,2945335000.0,,
62,AKAM,"Akamai Technologies, Inc.",2014-12-31,10-K,2018-03-01,238650000.0,,,,,2945335000.0,,
57,AKAM,"Akamai Technologies, Inc.",2014-09-30,10-K,2015-03-02,,91155000.0,,498042000.0,,,,
58,AKAM,"Akamai Technologies, Inc.",2014-09-30,10-K,2016-02-29,,91155000.0,,498042000.0,,,,
55,AKAM,"Akamai Technologies, Inc.",2014-06-30,10-K,2015-03-02,,72886000.0,,476035000.0,,,,
56,AKAM,"Akamai Technologies, Inc.",2014-06-30,10-K,2016-02-29,,72886000.0,,476035000.0,,,,
53,AKAM,"Akamai Technologies, Inc.",2014-03-31,10-K,2015-03-02,,72800000.0,,453502000.0,,,,
54,AKAM,"Akamai Technologies, Inc.",2014-03-31,10-K,2016-02-29,,72800000.0,,453502000.0,,,,
49,AKAM,"Akamai Technologies, Inc.",2013-12-31,10-K,2014-03-03,333891000.0,80349000.0,413968000.0,435980000.0,178580696.0,2629431000.0,2957685000.0,328254000.0
50,AKAM,"Akamai Technologies, Inc.",2013-12-31,10-K,2015-03-02,333891000.0,80349000.0,413968000.0,435980000.0,178580696.0,2629431000.0,2957685000.0,328254000.0
51,AKAM,"Akamai Technologies, Inc.",2013-12-31,10-K,2016-02-29,333891000.0,293487000.0,413968000.0,1577922000.0,,2629431000.0,,
52,AKAM,"Akamai Technologies, Inc.",2013-12-31,10-K,2017-02-28,333891000.0,,,,,2629431000.0,,
47,AKAM,"Akamai Technologies, Inc.",2013-09-30,10-K,2014-03-03,,79756000.0,,395790000.0,,,,
48,AKAM,"Akamai Technologies, Inc.",2013-09-30,10-K,2015-03-02,,79756000.0,,395790000.0,,,,
45,AKAM,"Akamai Technologies, Inc.",2013-06-30,10-K,2014-03-03,,61895000.0,,378106000.0,,,,
46,AKAM,"Akamai Technologies, Inc.",2013-06-30,10-K,2015-03-02,,61895000.0,,378106000.0,,,,
43,AKAM,"Akamai Technologies, Inc.",2013-03-31,10-K,2014-03-03,,71487000.0,,368046000.0,,,,
44,AKAM,"Akamai Technologies, Inc.",2013-03-31,10-K,2015-03-02,,71487000.0,,368046000.0,,,,
39,AKAM,"Akamai Technologies, Inc.",2012-12-31,10-K,2013-03-01,201989000.0,68292000.0,314487000.0,377872000.0,177782814.0,2345754000.0,2600627000.0,254873000.0
40,AKAM,"Akamai Technologies, Inc.",2012-12-31,10-K,2014-03-03,201989000.0,68292000.0,314487000.0,377872000.0,177782814.0,2345754000.0,2600627000.0,254873000.0
41,AKAM,"Akamai Technologies, Inc.",2012-12-31,10-K,2015-03-02,201989000.0,203989000.0,314487000.0,1373947000.0,,2345754000.0,,
42,AKAM,"Akamai Technologies, Inc.",2012-12-31,10-K,2016-02-29,201989000.0,,,,,2345754000.0,,
37,AKAM,"Akamai Technologies, Inc.",2012-09-30,10-K,2013-03-01,,48231000.0,,345321000.0,,,,
38,AKAM,"Akamai Technologies, Inc.",2012-09-30,10-K,2014-03-03,,48231000.0,,345321000.0,,,,
35,AKAM,"Akamai Technologies, Inc.",2012-06-30,10-K,2013-03-01,,44239000.0,,331306000.0,,,,
36,AKAM,"Akamai Technologies, Inc.",2012-06-30,10-K,2014-03-03,,44239000.0,,331306000.0,,,,
33,AKAM,"Akamai Technologies, Inc.",2012-03-31,10-K,2013-03-01,,43227000.0,,319448000.0,,,,
34,AKAM,"Akamai Technologies, Inc.",2012-03-31,10-K,2014-03-03,,43227000.0,,319448000.0,,,,
29,AKAM,"Akamai Technologies, Inc.",2011-12-31,10-K,2012-02-29,559197000.0,60081000.0,290649000.0,323740000.0,177504624.0,2156250000.0,2345501000.0,189251000.0
30,AKAM,"Akamai Technologies, Inc.",2011-12-31,10-K,2013-03-01,559197000.0,60081000.0,290649000.0,323740000.0,177504624.0,2156250000.0,2345501000.0,189251000.0
31,AKAM,"Akamai Technologies, Inc.",2011-12-31,10-K,2014-03-03,559197000.0,200904000.0,290649000.0,1158538000.0,,2156250000.0,,
32,AKAM,"Akamai Technologies, Inc.",2011-12-31,10-K,2015-03-02,559197000.0,,,,,2156250000.0,,
27,AKAM,"Akamai Technologies, Inc.",2011-09-30,10-K,2012-02-29,,42285000.0,,281856000.0,,,,
28,AKAM,"Akamai Technologies, Inc.",2011-09-30,10-K,2013-03-01,,42285000.0,,281856000.0,,,,
25,AKAM,"Akamai Technologies, Inc.",2011-06-30,10-K,2012-02-29,,47921000.0,,276989000.0,,,,
26,AKAM,"Akamai Technologies, Inc.",2011-06-30,10-K,2013-03-01,,47921000.0,,276989000.0,,,,
23,AKAM,"Akamai Technologies, Inc.",2011-03-31,10-K,2012-02-29,,50617000.0,,275953000.0,,,,
24,AKAM,"Akamai Technologies, Inc.",2011-03-31,10-K,2013-03-01,,50617000.0,,275953000.0,,,,
19,AKAM,"Akamai Technologies, Inc.",2010-12-31,10-K,2011-03-01,231866000.0,52510000.0,254277000.0,284688000.0,186603380.0,2177605000.0,2352676000.0,175071000.0
20,AKAM,"Akamai Technologies, Inc.",2010-12-31,10-K,2012-02-29,231866000.0,52510000.0,254277000.0,284688000.0,186603380.0,2177605000.0,2352676000.0,175071000.0
21,AKAM,"Akamai Technologies, Inc.",2010-12-31,10-K,2013-03-01,231866000.0,171220000.0,254277000.0,1023586000.0,,2177605000.0,,
22,AKAM,"Akamai Technologies, Inc.",2010-12-31,10-K,2014-03-03,231866000.0,,,,,2177605000.0,,
17,AKAM,"Akamai Technologies, Inc.",2010-09-30,10-K,2011-03-01,,39709000.0,,253551000.0,,,,
18,AKAM,"Akamai Technologies, Inc.",2010-09-30,10-K,2012-02-29,,39709000.0,,253551000.0,,,,
15,AKAM,"Akamai Technologies, Inc.",2010-06-30,10-K,2011-03-01,,38123000.0,,245318000.0,,,,
16,AKAM,"Akamai Technologies, Inc.",2010-06-30,10-K,2012-02-29,,38123000.0,,245318000.0,,,,
13,AKAM,"Akamai Technologies, Inc.",2010-03-31,10-K,2011-03-01,,40878000.0,,240029000.0,,,,
14,AKAM,"Akamai Technologies, Inc.",2010-03-31,10-K,2012-02-29,,40878000.0,,240029000.0,,,,
9,AKAM,"Akamai Technologies, Inc.",2009-12-31,10-K,2010-03-01,181305000.0,145913000.0,223480000.0,859773000.0,171248356.0,1738722000.0,2087510000.0,348788000.0
10,AKAM,"Akamai Technologies, Inc.",2009-12-31,10-K,2011-03-01,181305000.0,40080000.0,223480000.0,238305000.0,171248356.0,1738722000.0,2087510000.0,348788000.0
11,AKAM,"Akamai Technologies, Inc.",2009-12-31,10-K,2012-02-29,181305000.0,145913000.0,223480000.0,859773000.0,,1738722000.0,,
12,AKAM,"Akamai Technologies, Inc.",2009-12-31,10-K,2013-03-01,181305000.0,,,,,1738722000.0,,
8,AKAM,"Akamai Technologies, Inc.",2009-09-30,10-K,2011-03-01,,32745000.0,,206500000.0,,,,
7,AKAM,"Akamai Technologies, Inc.",2009-06-30,10-K,2011-03-01,,36007000.0,,204600000.0,,,,
6,AKAM,"Akamai Technologies, Inc.",2009-03-31,10-K,2011-03-01,,37081000.0,,210368000.0,,,,
3,AKAM,"Akamai Technologies, Inc.",2008-12-31,10-K,2010-03-01,156074000.0,145138000.0,212264000.0,790924000.0,169371675.0,1568770000.0,1880951000.0,312181000.0
4,AKAM,"Akamai Technologies, Inc.",2008-12-31,10-K,2011-03-01,156074000.0,145138000.0,212264000.0,790924000.0,,1568770000.0,,
5,AKAM,"Akamai Technologies, Inc.",2008-12-31,10-K,2012-02-29,156074000.0,,,,,1568770000.0,,
1,AKAM,"Akamai Technologies, Inc.",2007-12-31,10-K,2010-03-01,145078000.0,100967000.0,144928000.0,636406000.0,,1358552000.0,,
2,AKAM,"Akamai Technologies, Inc.",2007-12-31,10-K,2011-03-01,145078000.0,,,,,1358552000.0,,
0,AKAM,"Akamai Technologies, Inc.",2006-12-31,10-K,2010-03-01,80595000.0,,,,,954693000.0,,
