,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets
104,DVN,DEVON ENERGY CORP/DE,2021-12-31,10-K,2024-02-28,2099000000.0,,2813000000.0,,12206000000.0,13750000000.0,,
99,DVN,DEVON ENERGY CORP/DE,2020-12-31,10-K,2021-02-17,2047000000.0,,-2680000000.0,,4828000000.0,4673000000.0,2885000000.0,9912000000.0
100,DVN,DEVON ENERGY CORP/DE,2020-12-31,10-K,2022-02-16,2047000000.0,,-2680000000.0,,4828000000.0,4673000000.0,2885000000.0,9912000000.0
101,DVN,DEVON ENERGY CORP/DE,2020-12-31,10-K,2023-02-15,2047000000.0,,-2680000000.0,,4828000000.0,4673000000.0,,
96,DVN,DEVON ENERGY CORP/DE,2019-12-31,10-K,2020-02-19,1464000000.0,,-642000000.0,,1589000000.0,2865000000.0,5802000000.0,13717000000.0
97,DVN,DEVON ENERGY CORP/DE,2019-12-31,10-K,2021-02-17,1464000000.0,,-355000000.0,,6220000000.0,6674000000.0,5802000000.0,13717000000.0
98,DVN,DEVON ENERGY CORP/DE,2019-12-31,10-K,2022-02-16,1464000000.0,,-355000000.0,,6220000000.0,6674000000.0,,
95,DVN,DEVON ENERGY CORP/DE,2019-09-30,10-K,2020-02-19,,,109000000.0,,1746000000.0,,,
94,DVN,DEVON ENERGY CORP/DE,2019-06-30,10-K,2020-02-19,,,495000000.0,,1806000000.0,,,
93,DVN,DEVON ENERGY CORP/DE,2019-03-31,10-K,2020-02-19,,,-317000000.0,,1079000000.0,,,
90,DVN,DEVON ENERGY CORP/DE,2018-12-31,10-K,2019-02-20,2414000000.0,,1149000000.0,,3708000000.0,4449000000.0,9186000000.0,19566000000.0
91,DVN,DEVON ENERGY CORP/DE,2018-12-31,10-K,2020-02-19,2414000000.0,,1149000000.0,,3530000000.0,4354000000.0,9186000000.0,19566000000.0
92,DVN,DEVON ENERGY CORP/DE,2018-12-31,10-K,2021-02-17,2414000000.0,,3064000000.0,,8896000000.0,8439000000.0,,
88,DVN,DEVON ENERGY CORP/DE,2018-09-30,10-K,2019-02-20,,,2537000000.0,,2579000000.0,,,
89,DVN,DEVON ENERGY CORP/DE,2018-09-30,10-K,2020-02-19,,,2537000000.0,,1974000000.0,,,
86,DVN,DEVON ENERGY CORP/DE,2018-06-30,10-K,2019-02-20,,,-425000000.0,,2249000000.0,,,
87,DVN,DEVON ENERGY CORP/DE,2018-06-30,10-K,2020-02-19,,,-425000000.0,,1727000000.0,,,
84,DVN,DEVON ENERGY CORP/DE,2018-03-31,10-K,2019-02-20,,,-197000000.0,,2198000000.0,,,
85,DVN,DEVON ENERGY CORP/DE,2018-03-31,10-K,2020-02-19,,,-197000000.0,,1665000000.0,,,
81,DVN,DEVON ENERGY CORP/DE,2017-12-31,10-K,2018-02-21,2673000000.0,,898000000.0,,13949000000.0,,9254000000.0,30241000000.0
82,DVN,DEVON ENERGY CORP/DE,2017-12-31,10-K,2019-02-20,2642000000.0,,183000000.0,,2380000000.0,3571000000.0,9254000000.0,30241000000.0
83,DVN,DEVON ENERGY CORP/DE,2017-12-31,10-K,2020-02-19,2642000000.0,,898000000.0,,6501000000.0,3513000000.0,,
80,DVN,DEVON ENERGY CORP/DE,2017-09-30,10-K,2019-02-20,,,193000000.0,,1933000000.0,,,
79,DVN,DEVON ENERGY CORP/DE,2017-06-30,10-K,2019-02-20,,,219000000.0,,2165000000.0,,,
78,DVN,DEVON ENERGY CORP/DE,2017-03-31,10-K,2019-02-20,,,303000000.0,,2400000000.0,,,
75,DVN,DEVON ENERGY CORP/DE,2016-12-31,10-K,2017-02-15,1959000000.0,,331000000.0,-2895000000.0,3350000000.0,,5927000000.0,25913000000.0
76,DVN,DEVON ENERGY CORP/DE,2016-12-31,10-K,2018-02-21,1959000000.0,,-1056000000.0,,10304000000.0,,8274000000.0,28675000000.0
77,DVN,DEVON ENERGY CORP/DE,2016-12-31,10-K,2019-02-20,1947000000.0,,-1056000000.0,,6753000000.0,2772000000.0,,
74,DVN,DEVON ENERGY CORP/DE,2016-09-30,10-K,2017-02-15,,,993000000.0,,4233000000.0,,,
73,DVN,DEVON ENERGY CORP/DE,2016-06-30,10-K,2017-02-15,,,-1570000000.0,,2488000000.0,,,
72,DVN,DEVON ENERGY CORP/DE,2016-03-31,10-K,2017-02-15,,,-3056000000.0,,2126000000.0,,,
69,DVN,DEVON ENERGY CORP/DE,2015-12-31,10-K,2016-02-17,2310000000.0,,-4532000000.0,-20727000000.0,2886000000.0,,7049000000.0,29532000000.0
