,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,stockholders_equity,total_assets
127,ACN,Accenture plc,2022-02-28,10-K,2022-10-12,,1634942000.0,2061580000.0,15046693000.0,,
128,ACN,Accenture plc,2022-02-28,10-K,2023-10-12,,1634942000.0,2061580000.0,15046693000.0,,
125,ACN,Accenture plc,2021-11-30,10-K,2022-10-12,,1791024000.0,2434294000.0,14965153000.0,,
126,ACN,Accenture plc,2021-11-30,10-K,2023-10-12,,1791024000.0,2434294000.0,14965153000.0,,
122,ACN,Accenture plc,2021-08-31,10-K,2021-10-15,8168174000.0,1416248000.0,1958689000.0,13419284000.0,19529454000.0,43175843000.0
123,ACN,Accenture plc,2021-08-31,10-K,2022-10-12,8168174000.0,1416248000.0,1958689000.0,13419284000.0,19529454000.0,43175843000.0
124,ACN,Accenture plc,2021-08-31,10-K,2023-10-12,,5906809000.0,7621529000.0,50533389000.0,,
120,ACN,Accenture plc,2021-05-31,10-K,2021-10-15,,1549426000.0,2118656000.0,13263795000.0,,
121,ACN,Accenture plc,2021-05-31,10-K,2022-10-12,,1549426000.0,2118656000.0,13263795000.0,,
118,ACN,Accenture plc,2021-02-28,10-K,2021-10-15,,1440859000.0,1653515000.0,12088125000.0,,
119,ACN,Accenture plc,2021-02-28,10-K,2022-10-12,,1440859000.0,1653515000.0,12088125000.0,,
116,ACN,Accenture plc,2020-11-30,10-K,2021-10-15,,1500276000.0,1890669000.0,11762185000.0,,
117,ACN,Accenture plc,2020-11-30,10-K,2022-10-12,,1500276000.0,1890669000.0,11762185000.0,,
113,ACN,Accenture plc,2020-08-31,10-K,2020-10-22,8415330000.0,1287929000.0,1544703000.0,10835271000.0,17000536000.0,37078593000.0
114,ACN,Accenture plc,2020-08-31,10-K,2021-10-15,8415330000.0,1287929000.0,1544703000.0,10835271000.0,17000536000.0,37078593000.0
115,ACN,Accenture plc,2020-08-31,10-K,2022-10-12,,5107839000.0,6513644000.0,44327039000.0,,
111,ACN,Accenture plc,2020-05-31,10-K,2020-10-22,,1228202000.0,1712733000.0,10991305000.0,,
112,ACN,Accenture plc,2020-05-31,10-K,2021-10-15,,1228202000.0,1712733000.0,10991305000.0,,
109,ACN,Accenture plc,2020-02-29,10-K,2020-10-22,,1234740000.0,1488945000.0,11141505000.0,,
110,ACN,Accenture plc,2020-02-29,10-K,2021-10-15,,1234740000.0,1488945000.0,11141505000.0,,
107,ACN,Accenture plc,2019-11-30,10-K,2020-10-22,,1356968000.0,1767263000.0,11358958000.0,,
108,ACN,Accenture plc,2019-11-30,10-K,2021-10-15,,1356968000.0,1767263000.0,11358958000.0,,
