,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,stockholders_equity,total_assets,total_liabilities
111,CHD,"CHURCH & DWIGHT CO., INC.",2019-12-31,10-K,2023-02-16,,,,,,2667800000.0,,
106,CHD,"CHURCH & DWIGHT CO., INC.",2019-09-30,10-K,2020-02-18,,,,216800000.0,1089400000.0,,,
107,CHD,"CHURCH & DWIGHT CO., INC.",2019-09-30,10-K,2021-02-18,,,,216800000.0,1089400000.0,,,
104,CHD,"CHURCH & DWIGHT CO., INC.",2019-06-30,10-K,2020-02-18,,,,187400000.0,1079400000.0,,,
105,CHD,"CHURCH & DWIGHT CO., INC.",2019-06-30,10-K,2021-02-18,,,,187400000.0,1079400000.0,,,
102,CHD,"CHURCH & DWIGHT CO., INC.",2019-03-31,10-K,2020-02-18,,,,240800000.0,1044700000.0,,,
103,CHD,"CHURCH & DWIGHT CO., INC.",2019-03-31,10-K,2021-02-18,,,,240800000.0,1044700000.0,,,
98,CHD,"CHURCH & DWIGHT CO., INC.",2018-12-31,10-K,2019-02-21,316700000.0,2105300000.0,,193400000.0,1074400000.0,2453800000.0,6069200000.0,3615400000.0
99,CHD,"CHURCH & DWIGHT CO., INC.",2018-12-31,10-K,2020-02-18,316700000.0,2105300000.0,568600000.0,193400000.0,1074400000.0,2453800000.0,6069200000.0,3615400000.0
100,CHD,"CHURCH & DWIGHT CO., INC.",2018-12-31,10-K,2021-02-18,,,568600000.0,791700000.0,4145900000.0,2453800000.0,6069200000.0,
101,CHD,"CHURCH & DWIGHT CO., INC.",2018-12-31,10-K,2022-02-17,,,,,,2453800000.0,,
96,CHD,"CHURCH & DWIGHT CO., INC.",2018-09-30,10-K,2019-02-21,,,,204200000.0,1037600000.0,,,
97,CHD,"CHURCH & DWIGHT CO., INC.",2018-09-30,10-K,2020-02-18,,,,204200000.0,1037600000.0,,,
94,CHD,"CHURCH & DWIGHT CO., INC.",2018-06-30,10-K,2019-02-21,,,,173800000.0,1027900000.0,,,
95,CHD,"CHURCH & DWIGHT CO., INC.",2018-06-30,10-K,2020-02-18,,,,173800000.0,1027900000.0,,,
92,CHD,"CHURCH & DWIGHT CO., INC.",2018-03-31,10-K,2019-02-21,,,,220300000.0,1006000000.0,,,
93,CHD,"CHURCH & DWIGHT CO., INC.",2018-03-31,10-K,2020-02-18,,,,220300000.0,1006000000.0,,,
88,CHD,"CHURCH & DWIGHT CO., INC.",2017-12-31,10-K,2018-02-23,278900000.0,,,214700000.0,,,6014800000.0,3796800000.0
89,CHD,"CHURCH & DWIGHT CO., INC.",2017-12-31,10-K,2019-02-21,278900000.0,2103400000.0,,214700000.0,1033100000.0,2218000000.0,6014800000.0,3796800000.0
90,CHD,"CHURCH & DWIGHT CO., INC.",2017-12-31,10-K,2020-02-18,,,743400000.0,732700000.0,3776200000.0,2218000000.0,6014800000.0,
91,CHD,"CHURCH & DWIGHT CO., INC.",2017-12-31,10-K,2021-02-18,,,,,,2218000000.0,,
86,CHD,"CHURCH & DWIGHT CO., INC.",2017-09-30,10-K,2018-02-23,,,,198700000.0,,,,
87,CHD,"CHURCH & DWIGHT CO., INC.",2017-09-30,10-K,2019-02-21,,,,198700000.0,967900000.0,,,
84,CHD,"CHURCH & DWIGHT CO., INC.",2017-06-30,10-K,2018-02-23,,,,123200000.0,,,,
85,CHD,"CHURCH & DWIGHT CO., INC.",2017-06-30,10-K,2019-02-21,,,,123200000.0,898000000.0,,,
82,CHD,"CHURCH & DWIGHT CO., INC.",2017-03-31,10-K,2018-02-23,,,,196100000.0,,,,
83,CHD,"CHURCH & DWIGHT CO., INC.",2017-03-31,10-K,2019-02-21,,,,196100000.0,877200000.0,,,
78,CHD,"CHURCH & DWIGHT CO., INC.",2016-12-31,10-K,2017-02-24,187800000.0,,110400000.0,173400000.0,,,4354100000.0,2376200000.0
79,CHD,"CHURCH & DWIGHT CO., INC.",2016-12-31,10-K,2018-02-23,187800000.0,,,173400000.0,,,4354100000.0,2376200000.0
80,CHD,"CHURCH & DWIGHT CO., INC.",2016-12-31,10-K,2019-02-21,187800000.0,,,724200000.0,3493100000.0,1977900000.0,4354100000.0,
81,CHD,"CHURCH & DWIGHT CO., INC.",2016-12-31,10-K,2020-02-18,,,,,,1977900000.0,,
76,CHD,"CHURCH & DWIGHT CO., INC.",2016-09-30,10-K,2017-02-24,,,124000000.0,196000000.0,,,,
77,CHD,"CHURCH & DWIGHT CO., INC.",2016-09-30,10-K,2018-02-23,,,,196000000.0,,,,
74,CHD,"CHURCH & DWIGHT CO., INC.",2016-06-30,10-K,2017-02-24,,,111600000.0,175300000.0,,,,
75,CHD,"CHURCH & DWIGHT CO., INC.",2016-06-30,10-K,2018-02-23,,,,175300000.0,,,,
72,CHD,"CHURCH & DWIGHT CO., INC.",2016-03-31,10-K,2017-02-24,,,113000000.0,179500000.0,,,,
73,CHD,"CHURCH & DWIGHT CO., INC.",2016-03-31,10-K,2018-02-23,,,,179500000.0,,,,
68,CHD,"CHURCH & DWIGHT CO., INC.",2015-12-31,10-K,2016-02-19,330000000.0,692800000.0,109100000.0,169200000.0,,,4256900000.0,2233700000.0
69,CHD,"CHURCH & DWIGHT CO., INC.",2015-12-31,10-K,2017-02-24,330000000.0,,109100000.0,169200000.0,,,4256900000.0,2233700000.0
70,CHD,"CHURCH & DWIGHT CO., INC.",2015-12-31,10-K,2018-02-23,330000000.0,,,674200000.0,,,4256900000.0,
71,CHD,"CHURCH & DWIGHT CO., INC.",2015-12-31,10-K,2019-02-21,330000000.0,,,,,2023200000.0,,
66,CHD,"CHURCH & DWIGHT CO., INC.",2015-09-30,10-K,2016-02-19,,,120400000.0,190600000.0,,,,
67,CHD,"CHURCH & DWIGHT CO., INC.",2015-09-30,10-K,2017-02-24,,,120400000.0,190600000.0,,,,
64,CHD,"CHURCH & DWIGHT CO., INC.",2015-06-30,10-K,2016-02-19,,,73700000.0,142300000.0,,,,
65,CHD,"CHURCH & DWIGHT CO., INC.",2015-06-30,10-K,2017-02-24,,,73700000.0,142300000.0,,,,
62,CHD,"CHURCH & DWIGHT CO., INC.",2015-03-31,10-K,2016-02-19,,,107200000.0,172100000.0,,,,
63,CHD,"CHURCH & DWIGHT CO., INC.",2015-03-31,10-K,2017-02-24,,,107200000.0,172100000.0,,,,
58,CHD,"CHURCH & DWIGHT CO., INC.",2014-12-31,10-K,2015-02-20,423000000.0,948500000.0,106600000.0,163800000.0,,2101900000.0,4381300000.0,2279400000.0
59,CHD,"CHURCH & DWIGHT CO., INC.",2014-12-31,10-K,2016-02-19,423000000.0,939900000.0,106600000.0,163800000.0,,,4359200000.0,2257300000.0
60,CHD,"CHURCH & DWIGHT CO., INC.",2014-12-31,10-K,2017-02-24,423000000.0,,,641200000.0,,,4359200000.0,
61,CHD,"CHURCH & DWIGHT CO., INC.",2014-12-31,10-K,2018-02-23,423000000.0,,,,,,,
56,CHD,"CHURCH & DWIGHT CO., INC.",2014-09-30,10-K,2015-02-20,,,115900000.0,177200000.0,,,,
57,CHD,"CHURCH & DWIGHT CO., INC.",2014-09-30,10-K,2016-02-19,,,115900000.0,177200000.0,,,,
54,CHD,"CHURCH & DWIGHT CO., INC.",2014-06-30,10-K,2015-02-20,,,88800000.0,138200000.0,,,,
55,CHD,"CHURCH & DWIGHT CO., INC.",2014-06-30,10-K,2016-02-19,,,88800000.0,138200000.0,,,,
