,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,shares_outstanding,stockholders_equity,total_assets,total_liabilities
33,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2017-12-31,10-K,2019-02-05,254381000.0,,169093000.0,99783686.0,5949666000.0,12103953000.0,5620784000.0
34,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2017-12-31,10-K,2020-02-04,,,169093000.0,,,,
29,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2016-12-31,10-K,2017-01-31,125032000.0,4164025000.0,-65901000.0,87665880.0,4895796000.0,10354888000.0,4972610000.0
30,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2016-12-31,10-K,2018-01-30,125032000.0,,-65901000.0,87665880.0,4895796000.0,10354888000.0,4972610000.0
31,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2016-12-31,10-K,2019-02-05,,,-65901000.0,,,,
26,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2015-12-31,10-K,2016-02-03,125098000.0,3965795000.0,144217000.0,71463876.0,3975087000.0,8911120000.0,4617156000.0
27,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2015-12-31,10-K,2017-01-31,125098000.0,,144217000.0,72548693.0,3975087000.0,8881017000.0,4587053000.0
28,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2015-12-31,10-K,2018-01-30,125098000.0,,144217000.0,,,,
22,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2014-12-31,10-K,2015-02-24,86011000.0,3678579000.0,,71463876.0,3828439000.0,8136036000.0,4226478000.0
23,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2014-12-31,10-K,2016-02-03,86011000.0,,101574000.0,71172197.0,3828439000.0,8136036000.0,4226478000.0
24,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2014-12-31,10-K,2017-01-31,86011000.0,,101574000.0,,,,
25,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2014-12-31,10-K,2018-01-30,86011000.0,,,,,,
18,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2013-12-31,10-K,2014-03-03,57696000.0,3061061000.0,135317000.0,71172197.0,3916789000.0,7529764000.0,3550823000.0
19,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2013-12-31,10-K,2015-02-24,57696000.0,,,71172197.0,3916789000.0,7529764000.0,3550823000.0
20,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2013-12-31,10-K,2016-02-03,57696000.0,,136217000.0,,,,
21,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2013-12-31,10-K,2017-01-31,57696000.0,,,,,,
14,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2012-12-31,10-K,2013-02-26,140971000.0,3181949000.0,99908000.0,63244645.0,3441851000.0,7150116000.0,3647058000.0
15,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2012-12-31,10-K,2014-03-03,140971000.0,,93310000.0,63244645.0,3441851000.0,7150116000.0,3647058000.0
16,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2012-12-31,10-K,2015-02-24,140971000.0,,,,,,
17,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2012-12-31,10-K,2016-02-03,140971000.0,,,,,,
10,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2011-12-31,10-K,2012-02-21,78539000.0,2779264000.0,132306000.0,61560472.0,3374301000.0,6574129000.0,3141236000.0
11,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2011-12-31,10-K,2013-02-26,78539000.0,,120652000.0,61560472.0,3374301000.0,6574129000.0,3141236000.0
12,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2011-12-31,10-K,2014-03-03,78539000.0,,113341000.0,,,,
13,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2011-12-31,10-K,2015-02-24,78539000.0,,,,,,
6,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2010-12-31,10-K,2011-03-01,91232000.0,,,54966925.0,2928825000.0,5905861000.0,2919533000.0
7,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2010-12-31,10-K,2012-02-21,91232000.0,,134187000.0,54966925.0,2928825000.0,5905861000.0,2919533000.0
8,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2010-12-31,10-K,2013-02-26,91232000.0,,122796000.0,,,,
9,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2010-12-31,10-K,2014-03-03,91232000.0,,,,,,
3,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2009-12-31,10-K,2011-03-01,70628000.0,,,43846050.0,2323408000.0,5457227000.0,3051148000.0
4,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2009-12-31,10-K,2012-02-21,70628000.0,,127969000.0,,,,
5,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2009-12-31,10-K,2013-02-26,70628000.0,,,,,,
1,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2008-12-31,10-K,2011-03-01,71161000.0,,,,,,
2,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2008-12-31,10-K,2012-02-21,71161000.0,,,,,,
0,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",2007-12-31,10-K,2011-03-01,8030000.0,,,,,,
