,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets
10,ABBV,ABBVIE INC.,2014-12-31,10-K,2015-02-20,8348000000.0,,,3411000000.0,,,1742000000.0,27547000000.0
11,ABBV,ABBVIE INC.,2014-12-31,10-K,2016-02-19,8348000000.0,,,3411000000.0,,,1742000000.0,27513000000.0
12,ABBV,ABBVIE INC.,2014-12-31,10-K,2017-02-17,8348000000.0,,1774000000.0,3411000000.0,,,1742000000.0,
13,ABBV,ABBVIE INC.,2014-12-31,10-K,2018-02-16,8348000000.0,,,,,,1742000000.0,
6,ABBV,ABBVIE INC.,2013-12-31,10-K,2014-02-21,9595000000.0,,,5664000000.0,,,4492000000.0,29198000000.0
7,ABBV,ABBVIE INC.,2013-12-31,10-K,2015-02-20,9595000000.0,,,5664000000.0,,,4492000000.0,29198000000.0
8,ABBV,ABBVIE INC.,2013-12-31,10-K,2016-02-19,9595000000.0,,,5664000000.0,,,4492000000.0,
9,ABBV,ABBVIE INC.,2013-12-31,10-K,2017-02-17,9595000000.0,,,,,,4492000000.0,
3,ABBV,ABBVIE INC.,2012-12-31,10-K,2014-02-21,5901000000.0,,,5817000000.0,,,-350000000.0,27008000000.0
4,ABBV,ABBVIE INC.,2012-12-31,10-K,2015-02-20,5901000000.0,,,5817000000.0,,,,
5,ABBV,ABBVIE INC.,2012-12-31,10-K,2016-02-19,5901000000.0,,,,,,,
1,ABBV,ABBVIE INC.,2011-12-31,10-K,2014-02-21,27000000.0,,,3620000000.0,,,,
2,ABBV,ABBVIE INC.,2011-12-31,10-K,2015-02-20,27000000.0,,,,,,,
0,ABBV,ABBVIE INC.,2010-12-31,10-K,2014-02-21,10000000.0,,,,,,,
