,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
86,ADI,"Analog Devices, Inc.",2017-04-29,10-K,2018-11-27,,,145835000.0,1147982000.0,,,,
83,ADI,"Analog Devices, Inc.",2017-01-28,10-K,2017-11-22,,,266268000.0,,,,,
84,ADI,"Analog Devices, Inc.",2017-01-28,10-K,2018-11-27,,,266268000.0,984449000.0,,,,
80,ADI,"Analog Devices, Inc.",2016-10-29,10-K,2016-11-22,921132000.0,861664000.0,356981000.0,,,308170560.0,5165618000.0,7970278000.0
81,ADI,"Analog Devices, Inc.",2016-10-29,10-K,2017-11-22,921132000.0,861664000.0,356981000.0,,,308170560.0,5165618000.0,7970278000.0
82,ADI,"Analog Devices, Inc.",2016-10-29,10-K,2018-11-27,921132000.0,861664000.0,1028112000.0,3421409000.0,,368635788.0,,
78,ADI,"Analog Devices, Inc.",2016-07-30,10-K,2016-11-22,,,268707000.0,,,,,
79,ADI,"Analog Devices, Inc.",2016-07-30,10-K,2017-11-22,,,268707000.0,,,,,
76,ADI,"Analog Devices, Inc.",2016-04-30,10-K,2016-11-22,,,207379000.0,,,,,
77,ADI,"Analog Devices, Inc.",2016-04-30,10-K,2017-11-22,,,207379000.0,,,,,
74,ADI,"Analog Devices, Inc.",2016-01-30,10-K,2016-11-22,,,195045000.0,,,,,
75,ADI,"Analog Devices, Inc.",2016-01-30,10-K,2017-11-22,,,195045000.0,,,,,
70,ADI,"Analog Devices, Inc.",2015-10-31,10-K,2015-11-24,884353000.0,696878000.0,108630000.0,,,312060682.0,5072959000.0,7062178000.0
71,ADI,"Analog Devices, Inc.",2015-10-31,10-K,2016-11-22,884353000.0,696878000.0,108630000.0,,,312060682.0,5072959000.0,7058777000.0
72,ADI,"Analog Devices, Inc.",2015-10-31,10-K,2017-11-22,884353000.0,696878000.0,830841000.0,,,,,
73,ADI,"Analog Devices, Inc.",2015-10-31,10-K,2018-11-27,884353000.0,,,,,,,
68,ADI,"Analog Devices, Inc.",2015-08-01,10-K,2015-11-24,,,265269000.0,,,,,
69,ADI,"Analog Devices, Inc.",2015-08-01,10-K,2016-11-22,,,265269000.0,,,,,
