,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,total_assets,total_liabilities
124,T,AT&T INC.,2022-03-31,10-K,2023-02-13,,,,5537000000.0,29712000000.0,,
125,T,AT&T INC.,2022-03-31,10-K,2024-02-23,,,,5537000000.0,29712000000.0,,
120,T,AT&T INC.,2021-12-31,10-K,2022-02-16,21169000000.0,169147000000.0,20081000000.0,23347000000.0,168864000000.0,551622000000.0,
121,T,AT&T INC.,2021-12-31,10-K,2023-02-13,19223000000.0,167476000000.0,20081000000.0,4894000000.0,31095000000.0,551622000000.0,
122,T,AT&T INC.,2021-12-31,10-K,2024-02-23,19223000000.0,,20081000000.0,25897000000.0,134038000000.0,,
123,T,AT&T INC.,2021-12-31,10-K,2025-02-12,19223000000.0,,,,,,
119,T,AT&T INC.,2021-09-30,10-K,2023-02-13,,,,6237000000.0,31326000000.0,,
118,T,AT&T INC.,2021-06-30,10-K,2023-02-13,,,,7572000000.0,35740000000.0,,
117,T,AT&T INC.,2021-03-31,10-K,2023-02-13,,,,7194000000.0,35877000000.0,,
113,T,AT&T INC.,2020-12-31,10-K,2021-02-25,9740000000.0,155209000000.0,-5176000000.0,6405000000.0,171760000000.0,525761000000.0,
114,T,AT&T INC.,2020-12-31,10-K,2022-02-16,9740000000.0,155209000000.0,-5176000000.0,6405000000.0,171760000000.0,525761000000.0,
115,T,AT&T INC.,2020-12-31,10-K,2023-02-13,7924000000.0,,-5176000000.0,8372000000.0,143050000000.0,,
116,T,AT&T INC.,2020-12-31,10-K,2024-02-23,7924000000.0,,,,,,
109,T,AT&T INC.,2019-12-31,10-K,2020-02-20,12130000000.0,,2394000000.0,5321000000.0,46821000000.0,551669000000.0,
110,T,AT&T INC.,2019-12-31,10-K,2021-02-25,12130000000.0,161109000000.0,13903000000.0,27955000000.0,181193000000.0,551669000000.0,
111,T,AT&T INC.,2019-12-31,10-K,2022-02-16,12130000000.0,,13903000000.0,27955000000.0,181193000000.0,,
112,T,AT&T INC.,2019-12-31,10-K,2023-02-13,9702000000.0,,,,,,
108,T,AT&T INC.,2019-09-30,10-K,2020-02-20,,,3700000000.0,7901000000.0,44588000000.0,,
107,T,AT&T INC.,2019-06-30,10-K,2020-02-20,,,3713000000.0,7500000000.0,44957000000.0,,
106,T,AT&T INC.,2019-03-31,10-K,2020-02-20,,,4096000000.0,7233000000.0,44827000000.0,,
102,T,AT&T INC.,2018-12-31,10-K,2019-02-20,5204000000.0,,4858000000.0,6160000000.0,47993000000.0,531864000000.0,
103,T,AT&T INC.,2018-12-31,10-K,2020-02-20,5204000000.0,,4858000000.0,6160000000.0,47993000000.0,531864000000.0,
104,T,AT&T INC.,2018-12-31,10-K,2021-02-25,5204000000.0,,19370000000.0,26096000000.0,170756000000.0,,
105,T,AT&T INC.,2018-12-31,10-K,2022-02-16,5204000000.0,,,,,,
100,T,AT&T INC.,2018-09-30,10-K,2019-02-20,,,4718000000.0,7269000000.0,45739000000.0,,
101,T,AT&T INC.,2018-09-30,10-K,2020-02-20,,,4718000000.0,7269000000.0,45739000000.0,,
98,T,AT&T INC.,2018-06-30,10-K,2019-02-20,,,5132000000.0,6466000000.0,38986000000.0,,
99,T,AT&T INC.,2018-06-30,10-K,2020-02-20,,,5132000000.0,6466000000.0,38986000000.0,,
96,T,AT&T INC.,2018-03-31,10-K,2019-02-20,,,4662000000.0,6201000000.0,38038000000.0,,
97,T,AT&T INC.,2018-03-31,10-K,2020-02-20,,,4662000000.0,6201000000.0,38038000000.0,,
92,T,AT&T INC.,2017-12-31,10-K,2018-02-20,50498000000.0,,19037000000.0,359000000.0,41676000000.0,444097000000.0,
93,T,AT&T INC.,2017-12-31,10-K,2019-02-20,50498000000.0,,19037000000.0,1281000000.0,41676000000.0,444097000000.0,
94,T,AT&T INC.,2017-12-31,10-K,2020-02-20,50498000000.0,,29450000000.0,19970000000.0,160546000000.0,,
95,T,AT&T INC.,2017-12-31,10-K,2021-02-25,50498000000.0,,,,,,
89,T,AT&T INC.,2017-09-30,10-K,2018-02-20,,,3029000000.0,6403000000.0,39668000000.0,,
90,T,AT&T INC.,2017-09-30,10-K,2019-02-20,,,3029000000.0,5807000000.0,39668000000.0,,
91,T,AT&T INC.,2017-09-30,10-K,2020-02-20,,,4718000000.0,7269000000.0,45739000000.0,,
86,T,AT&T INC.,2017-06-30,10-K,2018-02-20,,,3915000000.0,7323000000.0,39837000000.0,,
87,T,AT&T INC.,2017-06-30,10-K,2019-02-20,,,3915000000.0,6526000000.0,39837000000.0,,
88,T,AT&T INC.,2017-06-30,10-K,2020-02-20,,,5132000000.0,6466000000.0,38986000000.0,,
83,T,AT&T INC.,2017-03-31,10-K,2018-02-20,,,3469000000.0,6864000000.0,39365000000.0,,
84,T,AT&T INC.,2017-03-31,10-K,2019-02-20,,,3469000000.0,6356000000.0,39365000000.0,,
85,T,AT&T INC.,2017-03-31,10-K,2020-02-20,,,4662000000.0,6201000000.0,38038000000.0,,
79,T,AT&T INC.,2016-12-31,10-K,2017-02-17,5788000000.0,,,4248000000.0,41841000000.0,403821000000.0,
80,T,AT&T INC.,2016-12-31,10-K,2018-02-20,5788000000.0,,2437000000.0,4248000000.0,41841000000.0,403821000000.0,
81,T,AT&T INC.,2016-12-31,10-K,2019-02-20,5788000000.0,,12976000000.0,23543000000.0,163786000000.0,,
82,T,AT&T INC.,2016-12-31,10-K,2020-02-20,5788000000.0,,,,,,
77,T,AT&T INC.,2016-09-30,10-K,2017-02-17,,,,6408000000.0,40890000000.0,,
78,T,AT&T INC.,2016-09-30,10-K,2018-02-20,,,3328000000.0,6408000000.0,40890000000.0,,
75,T,AT&T INC.,2016-06-30,10-K,2017-02-17,,,,6560000000.0,40520000000.0,,
76,T,AT&T INC.,2016-06-30,10-K,2018-02-20,,,3408000000.0,6560000000.0,40520000000.0,,
73,T,AT&T INC.,2016-03-31,10-K,2017-02-17,,,,7131000000.0,40535000000.0,,
74,T,AT&T INC.,2016-03-31,10-K,2018-02-20,,,3803000000.0,7131000000.0,40535000000.0,,
69,T,AT&T INC.,2015-12-31,10-K,2016-02-18,5121000000.0,,4006000000.0,7532000000.0,42119000000.0,402672000000.0,279032000000.0
70,T,AT&T INC.,2015-12-31,10-K,2017-02-17,5121000000.0,,,7532000000.0,42119000000.0,402672000000.0,
71,T,AT&T INC.,2015-12-31,10-K,2018-02-20,5121000000.0,,13345000000.0,24785000000.0,146801000000.0,,
72,T,AT&T INC.,2015-12-31,10-K,2019-02-20,5121000000.0,,,,,,
67,T,AT&T INC.,2015-09-30,10-K,2016-02-18,,,2994000000.0,5923000000.0,39091000000.0,,
68,T,AT&T INC.,2015-09-30,10-K,2017-02-17,,,,5923000000.0,39091000000.0,,
65,T,AT&T INC.,2015-06-30,10-K,2016-02-18,,,3082000000.0,5773000000.0,33015000000.0,,
66,T,AT&T INC.,2015-06-30,10-K,2017-02-17,,,,5773000000.0,33015000000.0,,
63,T,AT&T INC.,2015-03-31,10-K,2016-02-18,,,3263000000.0,5557000000.0,32576000000.0,,
64,T,AT&T INC.,2015-03-31,10-K,2017-02-17,,,,5557000000.0,32576000000.0,,
59,T,AT&T INC.,2014-12-31,10-K,2015-02-20,8603000000.0,,-3977000000.0,-5550000000.0,34439000000.0,292829000000.0,
60,T,AT&T INC.,2014-12-31,10-K,2016-02-18,8603000000.0,,-3999000000.0,-5469000000.0,34439000000.0,296834000000.0,206564000000.0
61,T,AT&T INC.,2014-12-31,10-K,2017-02-17,8603000000.0,,,12212000000.0,132447000000.0,,
62,T,AT&T INC.,2014-12-31,10-K,2018-02-20,8603000000.0,,,,,,
57,T,AT&T INC.,2014-09-30,10-K,2015-02-20,,,3002000000.0,5402000000.0,32957000000.0,,
58,T,AT&T INC.,2014-09-30,10-K,2016-02-18,,,3130000000.0,5607000000.0,32957000000.0,,
55,T,AT&T INC.,2014-06-30,10-K,2015-02-20,,,3547000000.0,5616000000.0,32575000000.0,,
56,T,AT&T INC.,2014-06-30,10-K,2016-02-18,,,3623000000.0,5739000000.0,32575000000.0,,
53,T,AT&T INC.,2014-03-31,10-K,2015-02-20,,,3652000000.0,6278000000.0,32476000000.0,,
54,T,AT&T INC.,2014-03-31,10-K,2016-02-18,,,3688000000.0,6335000000.0,32476000000.0,,
49,T,AT&T INC.,2013-12-31,10-K,2014-02-21,3339000000.0,,6913000000.0,12238000000.0,33163000000.0,277787000000.0,
50,T,AT&T INC.,2013-12-31,10-K,2015-02-20,3339000000.0,,6913000000.0,12238000000.0,33163000000.0,277787000000.0,
51,T,AT&T INC.,2013-12-31,10-K,2016-02-18,3339000000.0,,18418000000.0,30752000000.0,128752000000.0,,186813000000.0
52,T,AT&T INC.,2013-12-31,10-K,2017-02-17,3339000000.0,,,,,,
47,T,AT&T INC.,2013-09-30,10-K,2014-02-21,,,3814000000.0,6188000000.0,32158000000.0,,
