,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
44,TECH,BIO-TECHNE CORPORATION,2017-09-30,10-K,2019-08-28,,15863000.0,,,,,,
39,TECH,BIO-TECHNE CORPORATION,2017-06-30,10-K,2017-09-07,91612000.0,27609000.0,120584000.0,,,37356041.0,949627000.0,1558219000.0
40,TECH,BIO-TECHNE CORPORATION,2017-06-30,10-K,2018-08-27,91612000.0,27609000.0,120584000.0,,,37356041.0,949627000.0,1558219000.0
41,TECH,BIO-TECHNE CORPORATION,2017-06-30,10-K,2019-08-28,91612000.0,76086000.0,120584000.0,,563003000.0,,949627000.0,
42,TECH,BIO-TECHNE CORPORATION,2017-06-30,10-K,2020-08-26,,,,,,,949627000.0,
37,TECH,BIO-TECHNE CORPORATION,2017-03-31,10-K,2017-09-07,,22167000.0,,,,,,
38,TECH,BIO-TECHNE CORPORATION,2017-03-31,10-K,2018-08-27,,22167000.0,,,,,,
35,TECH,BIO-TECHNE CORPORATION,2016-12-31,10-K,2017-09-07,,7467000.0,,,,,,
36,TECH,BIO-TECHNE CORPORATION,2016-12-31,10-K,2018-08-27,,7467000.0,,,,,,
33,TECH,BIO-TECHNE CORPORATION,2016-09-30,10-K,2017-09-07,,18843000.0,,,,,,
34,TECH,BIO-TECHNE CORPORATION,2016-09-30,10-K,2018-08-27,,18843000.0,,,,,,
29,TECH,BIO-TECHNE CORPORATION,2016-06-30,10-K,2016-08-29,64237000.0,104476000.0,150593000.0,,,37253771.0,879280000.0,1129581000.0
30,TECH,BIO-TECHNE CORPORATION,2016-06-30,10-K,2017-09-07,64237000.0,25626000.0,150593000.0,,,37253771.0,879280000.0,1129581000.0
31,TECH,BIO-TECHNE CORPORATION,2016-06-30,10-K,2018-08-27,64237000.0,104476000.0,150593000.0,,,,879280000.0,
32,TECH,BIO-TECHNE CORPORATION,2016-06-30,10-K,2019-08-28,64237000.0,,,,,,879280000.0,
28,TECH,BIO-TECHNE CORPORATION,2016-03-31,10-K,2017-09-07,,30291000.0,,,,,,
27,TECH,BIO-TECHNE CORPORATION,2015-12-31,10-K,2017-09-07,,25851000.0,,,,,,
26,TECH,BIO-TECHNE CORPORATION,2015-09-30,10-K,2017-09-07,,22707000.0,,,,,,
22,TECH,BIO-TECHNE CORPORATION,2015-06-30,10-K,2015-08-31,54532000.0,107735000.0,147022.0,,,37152979.0,846935000.0,1063360000.0
