,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
68,CNP,"CENTERPOINT ENERGY, INC.",2016-12-31,10-K,2017-02-28,341000000.0,,101000000.0,243000000.0,2081000000.0,,430682504.0,3460000000.0,21829000000.0
69,CNP,"CENTERPOINT ENERGY, INC.",2016-12-31,10-K,2018-02-22,341000000.0,,101000000.0,243000000.0,2081000000.0,,430682504.0,3460000000.0,21829000000.0
70,CNP,"CENTERPOINT ENERGY, INC.",2016-12-31,10-K,2019-02-28,,,432000000.0,1023000000.0,7528000000.0,5711000000.0,,3460000000.0,21829000000.0
66,CNP,"CENTERPOINT ENERGY, INC.",2016-09-30,10-K,2017-02-28,,,179000000.0,284000000.0,1889000000.0,,,,
67,CNP,"CENTERPOINT ENERGY, INC.",2016-09-30,10-K,2018-02-22,,,179000000.0,284000000.0,1889000000.0,,,,
64,CNP,"CENTERPOINT ENERGY, INC.",2016-06-30,10-K,2017-02-28,,,-2000000.0,182000000.0,1574000000.0,,,,
65,CNP,"CENTERPOINT ENERGY, INC.",2016-06-30,10-K,2018-02-22,,,-2000000.0,182000000.0,1574000000.0,,,,
62,CNP,"CENTERPOINT ENERGY, INC.",2016-03-31,10-K,2017-02-28,,,154000000.0,250000000.0,1984000000.0,,,,
63,CNP,"CENTERPOINT ENERGY, INC.",2016-03-31,10-K,2018-02-22,,,154000000.0,250000000.0,1984000000.0,,,,
59,CNP,"CENTERPOINT ENERGY, INC.",2015-12-31,10-K,2016-02-26,264000000.0,,-509000000.0,226000000.0,1791000000.0,,,3461000000.0,21334000000.0
60,CNP,"CENTERPOINT ENERGY, INC.",2015-12-31,10-K,2017-02-28,264000000.0,,-509000000.0,226000000.0,1791000000.0,,430262703.0,3461000000.0,21290000000.0
61,CNP,"CENTERPOINT ENERGY, INC.",2015-12-31,10-K,2018-02-22,264000000.0,,-692000000.0,933000000.0,7386000000.0,,,3461000000.0,21290000000.0
57,CNP,"CENTERPOINT ENERGY, INC.",2015-09-30,10-K,2016-02-26,,,-391000000.0,265000000.0,1630000000.0,,,,
58,CNP,"CENTERPOINT ENERGY, INC.",2015-09-30,10-K,2017-02-28,,,-391000000.0,265000000.0,1630000000.0,,,,
55,CNP,"CENTERPOINT ENERGY, INC.",2015-06-30,10-K,2016-02-26,,,77000000.0,186000000.0,1532000000.0,,,,
56,CNP,"CENTERPOINT ENERGY, INC.",2015-06-30,10-K,2017-02-28,,,77000000.0,186000000.0,1532000000.0,,,,
53,CNP,"CENTERPOINT ENERGY, INC.",2015-03-31,10-K,2016-02-26,,,131000000.0,256000000.0,2433000000.0,,,,
54,CNP,"CENTERPOINT ENERGY, INC.",2015-03-31,10-K,2017-02-28,,,131000000.0,256000000.0,2433000000.0,,,,
49,CNP,"CENTERPOINT ENERGY, INC.",2014-12-31,10-K,2015-02-26,298000000.0,,176000000.0,221000000.0,2372000000.0,,,4548000000.0,23200000000.0
50,CNP,"CENTERPOINT ENERGY, INC.",2014-12-31,10-K,2016-02-26,298000000.0,,176000000.0,221000000.0,2372000000.0,,,4548000000.0,23200000000.0
51,CNP,"CENTERPOINT ENERGY, INC.",2014-12-31,10-K,2017-02-28,298000000.0,,611000000.0,935000000.0,9226000000.0,,,4548000000.0,23150000000.0
52,CNP,"CENTERPOINT ENERGY, INC.",2014-12-31,10-K,2018-02-22,298000000.0,,,,,,,,
47,CNP,"CENTERPOINT ENERGY, INC.",2014-09-30,10-K,2015-02-26,,,143000000.0,233000000.0,1807000000.0,,,,
48,CNP,"CENTERPOINT ENERGY, INC.",2014-09-30,10-K,2016-02-26,,,143000000.0,233000000.0,1807000000.0,,,,
45,CNP,"CENTERPOINT ENERGY, INC.",2014-06-30,10-K,2015-02-26,,,107000000.0,186000000.0,1884000000.0,,,,
46,CNP,"CENTERPOINT ENERGY, INC.",2014-06-30,10-K,2016-02-26,,,107000000.0,186000000.0,1884000000.0,,,,
43,CNP,"CENTERPOINT ENERGY, INC.",2014-03-31,10-K,2015-02-26,,,185000000.0,295000000.0,3163000000.0,,,,
44,CNP,"CENTERPOINT ENERGY, INC.",2014-03-31,10-K,2016-02-26,,,185000000.0,295000000.0,3163000000.0,,,,
39,CNP,"CENTERPOINT ENERGY, INC.",2013-12-31,10-K,2014-02-26,208000000.0,,113000000.0,211000000.0,2184000000.0,,,4329000000.0,21870000000.0
40,CNP,"CENTERPOINT ENERGY, INC.",2013-12-31,10-K,2015-02-26,208000000.0,,113000000.0,211000000.0,2184000000.0,,,4329000000.0,21870000000.0
41,CNP,"CENTERPOINT ENERGY, INC.",2013-12-31,10-K,2016-02-26,208000000.0,,311000000.0,1010000000.0,8106000000.0,,,4329000000.0,21870000000.0
42,CNP,"CENTERPOINT ENERGY, INC.",2013-12-31,10-K,2017-02-28,208000000.0,,,,,,,,
37,CNP,"CENTERPOINT ENERGY, INC.",2013-09-30,10-K,2014-02-26,,,151000000.0,244000000.0,1640000000.0,,,,
38,CNP,"CENTERPOINT ENERGY, INC.",2013-09-30,10-K,2015-02-26,,,151000000.0,244000000.0,1640000000.0,,,,
35,CNP,"CENTERPOINT ENERGY, INC.",2013-06-30,10-K,2014-02-26,,,-100000000.0,223000000.0,1894000000.0,,,,
36,CNP,"CENTERPOINT ENERGY, INC.",2013-06-30,10-K,2015-02-26,,,-100000000.0,223000000.0,1894000000.0,,,,
