,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
64,ANET,"ARISTA NETWORKS, INC.",2019-12-31,10-K,2021-02-19,1111286000.0,260692000.0,175989000.0,552546000.0,76389000.0,2894686000.0,4185290000.0,1290604000.0
65,ANET,"ARISTA NETWORKS, INC.",2019-12-31,10-K,2022-02-15,,859867000.0,805774000.0,2410706000.0,,2894686000.0,,
66,ANET,"ARISTA NETWORKS, INC.",2019-12-31,10-K,2023-02-14,,,,,,2894686000.0,,
61,ANET,"ARISTA NETWORKS, INC.",2019-09-30,10-K,2020-02-14,,208895000.0,228606000.0,654415000.0,,,,
62,ANET,"ARISTA NETWORKS, INC.",2019-09-30,10-K,2021-02-19,,208895000.0,228606000.0,654415000.0,,,,
59,ANET,"ARISTA NETWORKS, INC.",2019-06-30,10-K,2020-02-14,,189251000.0,206837000.0,608321000.0,,,,
60,ANET,"ARISTA NETWORKS, INC.",2019-06-30,10-K,2021-02-19,,189251000.0,206837000.0,608321000.0,,,,
57,ANET,"ARISTA NETWORKS, INC.",2019-03-31,10-K,2020-02-14,,201029000.0,194342000.0,595424000.0,,,,
58,ANET,"ARISTA NETWORKS, INC.",2019-03-31,10-K,2021-02-19,,201029000.0,194342000.0,595424000.0,,,,
53,ANET,"ARISTA NETWORKS, INC.",2018-12-31,10-K,2019-02-15,649950000.0,170322000.0,193642000.0,595726000.0,75668000.0,2143389000.0,3081983000.0,938594000.0
54,ANET,"ARISTA NETWORKS, INC.",2018-12-31,10-K,2020-02-14,649950000.0,170322000.0,193642000.0,595726000.0,75668000.0,2143389000.0,3081983000.0,938594000.0
55,ANET,"ARISTA NETWORKS, INC.",2018-12-31,10-K,2021-02-19,,328115000.0,273347000.0,2151369000.0,,2143389000.0,,
56,ANET,"ARISTA NETWORKS, INC.",2018-12-31,10-K,2022-02-15,,,,,,2143389000.0,,
51,ANET,"ARISTA NETWORKS, INC.",2018-09-30,10-K,2019-02-15,,168524000.0,180770000.0,563309000.0,,,,
52,ANET,"ARISTA NETWORKS, INC.",2018-09-30,10-K,2020-02-14,,168524000.0,180770000.0,563309000.0,,,,
49,ANET,"ARISTA NETWORKS, INC.",2018-06-30,10-K,2019-02-15,,-155269000.0,-239803000.0,519845000.0,,,,
50,ANET,"ARISTA NETWORKS, INC.",2018-06-30,10-K,2020-02-14,,-155269000.0,-239803000.0,519845000.0,,,,
47,ANET,"ARISTA NETWORKS, INC.",2018-03-31,10-K,2019-02-15,,144538000.0,138738000.0,472489000.0,,,,
48,ANET,"ARISTA NETWORKS, INC.",2018-03-31,10-K,2020-02-14,,144538000.0,138738000.0,472489000.0,,,,
43,ANET,"ARISTA NETWORKS, INC.",2017-12-31,10-K,2018-02-20,859192000.0,103833000.0,139388000.0,,73706000.0,1661914000.0,2460860000.0,798946000.0
44,ANET,"ARISTA NETWORKS, INC.",2017-12-31,10-K,2019-02-15,859192000.0,103833000.0,139388000.0,467867000.0,73706000.0,1661914000.0,2460860000.0,798946000.0
45,ANET,"ARISTA NETWORKS, INC.",2017-12-31,10-K,2020-02-14,,423201000.0,470272000.0,1646186000.0,,1661914000.0,,
46,ANET,"ARISTA NETWORKS, INC.",2017-12-31,10-K,2021-02-19,,,,,,1661914000.0,,
41,ANET,"ARISTA NETWORKS, INC.",2017-09-30,10-K,2018-02-20,,133722000.0,140832000.0,,,,,
42,ANET,"ARISTA NETWORKS, INC.",2017-09-30,10-K,2019-02-15,,133722000.0,140832000.0,437633000.0,,,,
39,ANET,"ARISTA NETWORKS, INC.",2017-06-30,10-K,2018-02-20,,102685000.0,116634000.0,,,,,
40,ANET,"ARISTA NETWORKS, INC.",2017-06-30,10-K,2019-02-15,,102685000.0,116634000.0,405211000.0,,,,
37,ANET,"ARISTA NETWORKS, INC.",2017-03-31,10-K,2018-02-20,,82961000.0,73418000.0,,,,,
38,ANET,"ARISTA NETWORKS, INC.",2017-03-31,10-K,2019-02-15,,82961000.0,73418000.0,335475000.0,,,,
33,ANET,"ARISTA NETWORKS, INC.",2016-12-31,10-K,2017-02-17,567923000.0,58783000.0,77495000.0,,70811000.0,1107820000.0,1729007000.0,621187000.0
34,ANET,"ARISTA NETWORKS, INC.",2016-12-31,10-K,2018-02-20,567923000.0,58783000.0,77495000.0,,70811000.0,1107820000.0,1729007000.0,621187000.0
35,ANET,"ARISTA NETWORKS, INC.",2016-12-31,10-K,2019-02-15,567923000.0,184189000.0,243409000.0,1129167000.0,,1107820000.0,,
36,ANET,"ARISTA NETWORKS, INC.",2016-12-31,10-K,2020-02-14,,,,,,1107820000.0,,
31,ANET,"ARISTA NETWORKS, INC.",2016-09-30,10-K,2017-02-17,,51257000.0,63021000.0,,,,,
32,ANET,"ARISTA NETWORKS, INC.",2016-09-30,10-K,2018-02-20,,51257000.0,63021000.0,,,,,
29,ANET,"ARISTA NETWORKS, INC.",2016-06-30,10-K,2017-02-17,,38904000.0,53158000.0,,,,,
30,ANET,"ARISTA NETWORKS, INC.",2016-06-30,10-K,2018-02-20,,38904000.0,53158000.0,,,,,
27,ANET,"ARISTA NETWORKS, INC.",2016-03-31,10-K,2017-02-17,,35245000.0,49735000.0,,,,,
28,ANET,"ARISTA NETWORKS, INC.",2016-03-31,10-K,2018-02-20,,35245000.0,49735000.0,,,,,
23,ANET,"ARISTA NETWORKS, INC.",2015-12-31,10-K,2016-02-25,687326000.0,43924000.0,49397000.0,,68132000.0,788152000.0,1159890000.0,371738000.0
24,ANET,"ARISTA NETWORKS, INC.",2015-12-31,10-K,2017-02-17,687326000.0,43924000.0,49397000.0,,68132000.0,788152000.0,1159890000.0,371738000.0
25,ANET,"ARISTA NETWORKS, INC.",2015-12-31,10-K,2018-02-20,687326000.0,121102000.0,149308000.0,,,788152000.0,,
26,ANET,"ARISTA NETWORKS, INC.",2015-12-31,10-K,2019-02-15,,,,,,788152000.0,,
21,ANET,"ARISTA NETWORKS, INC.",2015-09-30,10-K,2016-02-25,,28690000.0,31297000.0,,,,,
22,ANET,"ARISTA NETWORKS, INC.",2015-09-30,10-K,2017-02-17,,28690000.0,31297000.0,,,,,
19,ANET,"ARISTA NETWORKS, INC.",2015-06-30,10-K,2016-02-25,,23996000.0,32859000.0,,,,,
20,ANET,"ARISTA NETWORKS, INC.",2015-06-30,10-K,2017-02-17,,23996000.0,32859000.0,,,,,
17,ANET,"ARISTA NETWORKS, INC.",2015-03-31,10-K,2016-02-25,,24492000.0,35755000.0,,,,,
18,ANET,"ARISTA NETWORKS, INC.",2015-03-31,10-K,2017-02-17,,24492000.0,35755000.0,,,,,
12,ANET,"ARISTA NETWORKS, INC.",2014-12-31,10-K,2015-03-12,240031000.0,86850000.0,125513000.0,,65528000.0,555658000.0,811023000.0,255365000.0
13,ANET,"ARISTA NETWORKS, INC.",2014-12-31,10-K,2015-05-15,240031000.0,86850000.0,125513000.0,,65528000.0,555658000.0,811023000.0,255365000.0
14,ANET,"ARISTA NETWORKS, INC.",2014-12-31,10-K,2016-02-25,240031000.0,31037000.0,39002000.0,,65528000.0,555658000.0,811023000.0,255365000.0
15,ANET,"ARISTA NETWORKS, INC.",2014-12-31,10-K,2017-02-17,240031000.0,86850000.0,125513000.0,,,555658000.0,,
16,ANET,"ARISTA NETWORKS, INC.",2014-12-31,10-K,2018-02-20,240031000.0,,,,,555658000.0,,
11,ANET,"ARISTA NETWORKS, INC.",2014-09-30,10-K,2016-02-25,,21866000.0,33874000.0,,,,,
10,ANET,"ARISTA NETWORKS, INC.",2014-06-30,10-K,2016-02-25,,21618000.0,30655000.0,,,,,
9,ANET,"ARISTA NETWORKS, INC.",2014-03-31,10-K,2016-02-25,,12329000.0,21982000.0,,,,,
5,ANET,"ARISTA NETWORKS, INC.",2013-12-31,10-K,2015-03-12,113664000.0,42460000.0,66148000.0,,31927000.0,77732000.0,364520000.0,286788000.0
6,ANET,"ARISTA NETWORKS, INC.",2013-12-31,10-K,2015-05-15,113664000.0,42460000.0,66148000.0,,31927000.0,77732000.0,364520000.0,286788000.0
7,ANET,"ARISTA NETWORKS, INC.",2013-12-31,10-K,2016-02-25,113664000.0,42460000.0,66148000.0,,,77732000.0,,
8,ANET,"ARISTA NETWORKS, INC.",2013-12-31,10-K,2017-02-17,113664000.0,,,,,77732000.0,,
2,ANET,"ARISTA NETWORKS, INC.",2012-12-31,10-K,2015-03-12,88655000.0,21349000.0,39897000.0,,,18910000.0,,
3,ANET,"ARISTA NETWORKS, INC.",2012-12-31,10-K,2015-05-15,88655000.0,21349000.0,39897000.0,,,18910000.0,,
4,ANET,"ARISTA NETWORKS, INC.",2012-12-31,10-K,2016-02-25,88655000.0,,,,,18910000.0,,
0,ANET,"ARISTA NETWORKS, INC.",2011-12-31,10-K,2015-03-12,70725000.0,,,,,-8194000.0,,
1,ANET,"ARISTA NETWORKS, INC.",2011-12-31,10-K,2015-05-15,70725000.0,,,,,-8194000.0,,
