,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
87,LYV,"LIVE NATION ENTERTAINMENT, INC.",2019-09-30,10-K,2020-02-27,,,178925000.0,260041000.0,3773684000.0,,,
86,LYV,"LIVE NATION ENTERTAINMENT, INC.",2019-06-30,10-K,2020-02-27,,,103355000.0,171586000.0,3157009000.0,,,
85,LYV,"LIVE NATION ENTERTAINMENT, INC.",2019-03-31,10-K,2020-02-27,,,-52444000.0,-23863000.0,1727828000.0,,,
82,LYV,"LIVE NATION ENTERTAINMENT, INC.",2018-12-31,10-K,2019-02-28,2371540000.0,,-147887000.0,-90378000.0,2601855000.0,210126738.0,1098981000.0,8496886000.0
83,LYV,"LIVE NATION ENTERTAINMENT, INC.",2018-12-31,10-K,2020-02-27,2371540000.0,,-147887000.0,-90378000.0,2601855000.0,210326738.0,1098981000.0,8496886000.0
84,LYV,"LIVE NATION ENTERTAINMENT, INC.",2018-12-31,10-K,2021-03-01,,,60249000.0,272536000.0,10787800000.0,,,
80,LYV,"LIVE NATION ENTERTAINMENT, INC.",2018-09-30,10-K,2019-02-28,,,172683000.0,234219000.0,3835246000.0,,,
81,LYV,"LIVE NATION ENTERTAINMENT, INC.",2018-09-30,10-K,2020-02-27,,,172683000.0,234219000.0,3835246000.0,,,
78,LYV,"LIVE NATION ENTERTAINMENT, INC.",2018-06-30,10-K,2019-02-28,,,69359000.0,134725000.0,2868315000.0,,,
79,LYV,"LIVE NATION ENTERTAINMENT, INC.",2018-06-30,10-K,2020-02-27,,,69359000.0,134725000.0,2868315000.0,,,
76,LYV,"LIVE NATION ENTERTAINMENT, INC.",2018-03-31,10-K,2019-02-28,,,-33906000.0,-6030000.0,1482384000.0,,,
77,LYV,"LIVE NATION ENTERTAINMENT, INC.",2018-03-31,10-K,2020-02-27,,,-33906000.0,-6030000.0,1482384000.0,,,
73,LYV,"LIVE NATION ENTERTAINMENT, INC.",2017-12-31,10-K,2018-02-27,1825322000.0,,-190893000.0,-202017000.0,2546156000.0,208075969.0,1181196000.0,7504263000.0
74,LYV,"LIVE NATION ENTERTAINMENT, INC.",2017-12-31,10-K,2019-02-28,1825322000.0,,-190893000.0,-202017000.0,2320450000.0,208075969.0,1181196000.0,7504263000.0
