,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
120,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2020-09-30,10-K,2023-11-16,,,,,,221017459.0,,,
116,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2020-06-30,10-K,2020-11-19,,,446500000.0,539200000.0,2065200000.0,,,,
115,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2020-03-31,10-K,2020-11-19,,,477800000.0,577200000.0,2216300000.0,,,,
114,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2019-12-31,10-K,2020-11-19,,,475600000.0,561000000.0,2254700000.0,,,,
110,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2019-09-30,10-K,2019-11-26,2248700000.0,,503200000.0,603200000.0,2283200000.0,220415262.0,11053600000.0,18942800000.0,7554500000.0
111,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2019-09-30,10-K,2020-11-19,2248700000.0,,503200000.0,603200000.0,2283200000.0,220415262.0,11053600000.0,18942800000.0,7554500000.0
112,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2019-09-30,10-K,2021-11-18,,,1760000000.0,2144400000.0,8918900000.0,220415262.0,,,
113,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2019-09-30,10-K,2022-11-22,,,,,,220415262.0,,,
108,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2019-06-30,10-K,2019-11-26,,,488000000.0,569700000.0,2224000000.0,,,,
109,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2019-06-30,10-K,2020-11-19,,,488000000.0,569700000.0,2224000000.0,,,,
106,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2019-03-31,10-K,2019-11-26,,,421300000.0,516500000.0,2187700000.0,,,,
107,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2019-03-31,10-K,2020-11-19,,,421300000.0,516500000.0,2187700000.0,,,,
104,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2018-12-31,10-K,2019-11-26,,,347500000.0,455000000.0,2224000000.0,,,,
105,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2018-12-31,10-K,2020-11-19,,,347500000.0,455000000.0,2224000000.0,,,,
103,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2018-10-01,10-K,2018-11-20,2791300000.0,,,,,,,19204500000.0,8028200000.0
99,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2018-09-30,10-K,2018-11-20,2791300000.0,,452900000.0,533700000.0,2298900000.0,219515245.0,10857500000.0,19178300000.0,8002000000.0
100,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2018-09-30,10-K,2019-11-26,2791300000.0,,452900000.0,533700000.0,2298900000.0,219515245.0,10857500000.0,19178300000.0,8002000000.0
101,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2018-09-30,10-K,2020-11-19,,,1497800000.0,1965600000.0,8930200000.0,219515245.0,,,
102,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2018-09-30,10-K,2021-11-18,,,,,,219515245.0,,,
97,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2018-06-30,10-K,2018-11-20,,,473900000.0,515800000.0,2259000000.0,,,,
98,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2018-06-30,10-K,2019-11-26,,,473900000.0,515800000.0,2259000000.0,,,,
95,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2018-03-31,10-K,2018-11-20,,,416400000.0,455400000.0,2155700000.0,,,,
96,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2018-03-31,10-K,2019-11-26,,,416400000.0,455400000.0,2155700000.0,,,,
93,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2017-12-31,10-K,2018-11-20,,,154600000.0,460700000.0,2216600000.0,,,,
94,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2017-12-31,10-K,2019-11-26,,,154600000.0,460700000.0,2216600000.0,,,,
