,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets
41,CCL,Carnival Corporation,2017-11-30,10-K,2021-01-26,,,,,,,24216000000.0,
34,CCL,Carnival Corporation,2016-11-30,10-K,2017-01-30,603000000.0,,2779000000.0,3071000000.0,16389000000.0,,22597000000.0,38936000000.0
35,CCL,Carnival Corporation,2016-11-30,10-K,2018-01-29,603000000.0,,2779000000.0,3071000000.0,16389000000.0,,22597000000.0,38881000000.0
36,CCL,Carnival Corporation,2016-11-30,10-K,2019-01-28,603000000.0,,2779000000.0,3071000000.0,16389000000.0,,22597000000.0,38881000000.0
37,CCL,Carnival Corporation,2016-11-30,10-K,2020-01-28,,,,,,,22597000000.0,
30,CCL,Carnival Corporation,2015-11-30,10-K,2016-01-29,1395000000.0,,1757000000.0,2574000000.0,,,23771000000.0,39237000000.0
31,CCL,Carnival Corporation,2015-11-30,10-K,2017-01-30,1395000000.0,,1757000000.0,2574000000.0,15714000000.0,,23771000000.0,39237000000.0
32,CCL,Carnival Corporation,2015-11-30,10-K,2018-01-29,1395000000.0,,1757000000.0,2574000000.0,15714000000.0,,23771000000.0,39237000000.0
33,CCL,Carnival Corporation,2015-11-30,10-K,2019-01-28,1395000000.0,,,,,,23771000000.0,
26,CCL,Carnival Corporation,2014-11-30,10-K,2015-01-29,331000000.0,,1236000000.0,1792000000.0,,,24288000000.0,39532000000.0
27,CCL,Carnival Corporation,2014-11-30,10-K,2016-01-29,331000000.0,,1216000000.0,1772000000.0,,,24204000000.0,39448000000.0
28,CCL,Carnival Corporation,2014-11-30,10-K,2017-01-30,331000000.0,,1216000000.0,1772000000.0,15884000000.0,,24204000000.0,39448000000.0
29,CCL,Carnival Corporation,2014-11-30,10-K,2018-01-29,331000000.0,,,,,,24204000000.0,
22,CCL,Carnival Corporation,2013-11-30,10-K,2014-01-29,462000000.0,9560000000.0,1078000000.0,1352000000.0,,,24556000000.0,40104000000.0
23,CCL,Carnival Corporation,2013-11-30,10-K,2015-01-29,462000000.0,,1078000000.0,1352000000.0,,,24556000000.0,40104000000.0
24,CCL,Carnival Corporation,2013-11-30,10-K,2016-01-29,462000000.0,,1055000000.0,1329000000.0,,,24492000000.0,40042000000.0
25,CCL,Carnival Corporation,2013-11-30,10-K,2017-01-30,462000000.0,,,,,,24492000000.0,
18,CCL,Carnival Corporation,2012-11-30,10-K,2013-01-29,465000000.0,8902000000.0,1298000000.0,1642000000.0,,,23929000000.0,39161000000.0
19,CCL,Carnival Corporation,2012-11-30,10-K,2014-01-29,465000000.0,8902000000.0,1298000000.0,1642000000.0,,,23929000000.0,39161000000.0
20,CCL,Carnival Corporation,2012-11-30,10-K,2015-01-29,465000000.0,,1298000000.0,1642000000.0,,,23929000000.0,39161000000.0
21,CCL,Carnival Corporation,2012-11-30,10-K,2016-01-29,465000000.0,,,,,,23888000000.0,
14,CCL,Carnival Corporation,2011-11-30,10-K,2012-01-30,450000000.0,9353000000.0,1912000000.0,2255000000.0,,,23832000000.0,38637000000.0
15,CCL,Carnival Corporation,2011-11-30,10-K,2013-01-29,450000000.0,9353000000.0,1912000000.0,2255000000.0,,,23832000000.0,38637000000.0
16,CCL,Carnival Corporation,2011-11-30,10-K,2014-01-29,450000000.0,,1912000000.0,2255000000.0,,,23832000000.0,38637000000.0
17,CCL,Carnival Corporation,2011-11-30,10-K,2015-01-29,450000000.0,,,,,,23832000000.0,
10,CCL,Carnival Corporation,2010-11-30,10-K,2011-01-31,429000000.0,9364000000.0,1978000000.0,2347000000.0,,,23031000000.0,37490000000.0
11,CCL,Carnival Corporation,2010-11-30,10-K,2012-01-30,429000000.0,9364000000.0,1978000000.0,2347000000.0,,,23031000000.0,37490000000.0
12,CCL,Carnival Corporation,2010-11-30,10-K,2013-01-29,429000000.0,,1978000000.0,2347000000.0,,,23031000000.0,37490000000.0
13,CCL,Carnival Corporation,2010-11-30,10-K,2014-01-29,429000000.0,,,,,,23031000000.0,
6,CCL,Carnival Corporation,2009-11-30,10-K,2010-01-29,538000000.0,,1790000000.0,2154000000.0,13157000000.0,,22035000000.0,36835000000.0
7,CCL,Carnival Corporation,2009-11-30,10-K,2011-01-31,538000000.0,10047000000.0,1790000000.0,2154000000.0,,,22039000000.0,36835000000.0
8,CCL,Carnival Corporation,2009-11-30,10-K,2012-01-30,538000000.0,,1790000000.0,2154000000.0,,,22039000000.0,36835000000.0
9,CCL,Carnival Corporation,2009-11-30,10-K,2013-01-29,538000000.0,,,,,,22039000000.0,
3,CCL,Carnival Corporation,2008-11-30,10-K,2010-01-29,650000000.0,,2330000000.0,2729000000.0,14646000000.0,,19098000000.0,33400000000.0
4,CCL,Carnival Corporation,2008-11-30,10-K,2011-01-31,650000000.0,,2324000000.0,2729000000.0,,,19137000000.0,33400000000.0
5,CCL,Carnival Corporation,2008-11-30,10-K,2012-01-30,650000000.0,,,,,,19137000000.0,
1,CCL,Carnival Corporation,2007-11-30,10-K,2010-01-29,943000000.0,,2408000000.0,2725000000.0,13033000000.0,,19963000000.0,
2,CCL,Carnival Corporation,2007-11-30,10-K,2011-01-31,943000000.0,,,,,,20023000000.0,
0,CCL,Carnival Corporation,2006-11-30,10-K,2010-01-29,1163000000.0,,,,,,18210000000.0,
