,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
69,EA,ELECTRONIC ARTS INC.,2016-03-31,10-K,2016-05-27,2493000000.0,899000000.0,536000000.0,,301000000.0,3396000000.0,7050000000.0,3652000000.0
70,EA,ELECTRONIC ARTS INC.,2016-03-31,10-K,2017-05-24,2493000000.0,899000000.0,536000000.0,,301000000.0,3396000000.0,7050000000.0,3652000000.0
71,EA,ELECTRONIC ARTS INC.,2016-03-31,10-K,2018-05-23,2493000000.0,1156000000.0,898000000.0,,,3396000000.0,,
72,EA,ELECTRONIC ARTS INC.,2016-03-31,10-K,2019-05-24,2493000000.0,,,,,3396000000.0,,
67,EA,ELECTRONIC ARTS INC.,2015-12-31,10-K,2016-05-27,,-45000000.0,-31000000.0,,,,,
68,EA,ELECTRONIC ARTS INC.,2015-12-31,10-K,2017-05-24,,-45000000.0,-31000000.0,,,,,
65,EA,ELECTRONIC ARTS INC.,2015-09-30,10-K,2016-05-27,,-140000000.0,-119000000.0,,,,,
66,EA,ELECTRONIC ARTS INC.,2015-09-30,10-K,2017-05-24,,-140000000.0,-119000000.0,,,,,
63,EA,ELECTRONIC ARTS INC.,2015-06-30,10-K,2016-05-27,,442000000.0,512000000.0,,,,,
64,EA,ELECTRONIC ARTS INC.,2015-06-30,10-K,2017-05-24,,442000000.0,512000000.0,,,,,
59,EA,ELECTRONIC ARTS INC.,2015-03-31,10-K,2015-05-21,2068000000.0,395000000.0,400000000.0,,310000000.0,3036000000.0,6147000000.0,3080000000.0
60,EA,ELECTRONIC ARTS INC.,2015-03-31,10-K,2016-05-27,2068000000.0,395000000.0,400000000.0,,310000000.0,3036000000.0,6147000000.0,3080000000.0
61,EA,ELECTRONIC ARTS INC.,2015-03-31,10-K,2017-05-24,2068000000.0,875000000.0,948000000.0,,,3036000000.0,,
62,EA,ELECTRONIC ARTS INC.,2015-03-31,10-K,2018-05-23,2068000000.0,,,,,3036000000.0,,
57,EA,ELECTRONIC ARTS INC.,2014-12-31,10-K,2015-05-21,,142000000.0,162000000.0,,,,,
58,EA,ELECTRONIC ARTS INC.,2014-12-31,10-K,2016-05-27,,142000000.0,162000000.0,,,,,
55,EA,ELECTRONIC ARTS INC.,2014-09-30,10-K,2015-05-21,,3000000.0,24000000.0,,,,,
56,EA,ELECTRONIC ARTS INC.,2014-09-30,10-K,2016-05-27,,3000000.0,24000000.0,,,,,
53,EA,ELECTRONIC ARTS INC.,2014-06-30,10-K,2015-05-21,,335000000.0,362000000.0,,,,,
54,EA,ELECTRONIC ARTS INC.,2014-06-30,10-K,2016-05-27,,335000000.0,362000000.0,,,,,
49,EA,ELECTRONIC ARTS INC.,2014-03-31,10-K,2014-05-21,1782000000.0,367000000.0,344000000.0,,311000000.0,2422000000.0,5716000000.0,3294000000.0
50,EA,ELECTRONIC ARTS INC.,2014-03-31,10-K,2015-05-21,1782000000.0,367000000.0,344000000.0,,311000000.0,2422000000.0,5716000000.0,3294000000.0
51,EA,ELECTRONIC ARTS INC.,2014-03-31,10-K,2016-05-27,1782000000.0,8000000.0,33000000.0,,,2422000000.0,,
52,EA,ELECTRONIC ARTS INC.,2014-03-31,10-K,2017-05-24,1782000000.0,,,,,2422000000.0,,
47,EA,ELECTRONIC ARTS INC.,2013-12-31,10-K,2014-05-21,,-308000000.0,-292000000.0,,,,,
48,EA,ELECTRONIC ARTS INC.,2013-12-31,10-K,2015-05-21,,-308000000.0,-292000000.0,,,,,
45,EA,ELECTRONIC ARTS INC.,2013-09-30,10-K,2014-05-21,,-273000000.0,-252000000.0,,,,,
46,EA,ELECTRONIC ARTS INC.,2013-09-30,10-K,2015-05-21,,-273000000.0,-252000000.0,,,,,
43,EA,ELECTRONIC ARTS INC.,2013-06-30,10-K,2014-05-21,,222000000.0,233000000.0,,,,,
44,EA,ELECTRONIC ARTS INC.,2013-06-30,10-K,2015-05-21,,222000000.0,233000000.0,,,,,
39,EA,ELECTRONIC ARTS INC.,2013-03-31,10-K,2013-05-22,1292000000.0,323000000.0,309000000.0,,302000000.0,2267000000.0,5070000000.0,2803000000.0
40,EA,ELECTRONIC ARTS INC.,2013-03-31,10-K,2014-05-21,1292000000.0,323000000.0,309000000.0,,302000000.0,2267000000.0,5070000000.0,2803000000.0
41,EA,ELECTRONIC ARTS INC.,2013-03-31,10-K,2015-05-21,1292000000.0,98000000.0,121000000.0,,,2267000000.0,,
42,EA,ELECTRONIC ARTS INC.,2013-03-31,10-K,2016-05-27,1292000000.0,,,,,2267000000.0,,
37,EA,ELECTRONIC ARTS INC.,2012-12-31,10-K,2013-05-22,,-45000000.0,-39000000.0,,,,,
38,EA,ELECTRONIC ARTS INC.,2012-12-31,10-K,2014-05-21,,-45000000.0,-39000000.0,,,,,
35,EA,ELECTRONIC ARTS INC.,2012-09-30,10-K,2013-05-22,,-381000000.0,-364000000.0,,,,,
36,EA,ELECTRONIC ARTS INC.,2012-09-30,10-K,2014-05-21,,-381000000.0,-364000000.0,,,,,
33,EA,ELECTRONIC ARTS INC.,2012-06-30,10-K,2013-05-22,,201000000.0,215000000.0,,,,,
34,EA,ELECTRONIC ARTS INC.,2012-06-30,10-K,2014-05-21,,201000000.0,215000000.0,,,,,
29,EA,ELECTRONIC ARTS INC.,2012-03-31,10-K,2012-05-25,1293000000.0,400000000.0,365000000.0,,320000000.0,2458000000.0,5491000000.0,3033000000.0
30,EA,ELECTRONIC ARTS INC.,2012-03-31,10-K,2013-05-22,1293000000.0,400000000.0,365000000.0,,320000000.0,2458000000.0,5491000000.0,3033000000.0
31,EA,ELECTRONIC ARTS INC.,2012-03-31,10-K,2014-05-21,1293000000.0,76000000.0,35000000.0,,,2458000000.0,,
32,EA,ELECTRONIC ARTS INC.,2012-03-31,10-K,2015-05-21,1293000000.0,,,,,2458000000.0,,
27,EA,ELECTRONIC ARTS INC.,2011-12-31,10-K,2012-05-25,,-205000000.0,-183000000.0,,,,,
28,EA,ELECTRONIC ARTS INC.,2011-12-31,10-K,2013-05-22,,-205000000.0,-183000000.0,,,,,
25,EA,ELECTRONIC ARTS INC.,2011-09-30,10-K,2012-05-25,,-340000000.0,-374000000.0,,,,,
26,EA,ELECTRONIC ARTS INC.,2011-09-30,10-K,2013-05-22,,-340000000.0,-374000000.0,,,,,
23,EA,ELECTRONIC ARTS INC.,2011-06-30,10-K,2012-05-25,,221000000.0,227000000.0,,,,,
24,EA,ELECTRONIC ARTS INC.,2011-06-30,10-K,2013-05-22,,221000000.0,227000000.0,,,,,
19,EA,ELECTRONIC ARTS INC.,2011-03-31,10-K,2011-05-24,1579000000.0,151000000.0,145000000.0,,333000000.0,2564000000.0,4928000000.0,2364000000.0
20,EA,ELECTRONIC ARTS INC.,2011-03-31,10-K,2012-05-25,1579000000.0,151000000.0,145000000.0,,333000000.0,2564000000.0,4928000000.0,2364000000.0
21,EA,ELECTRONIC ARTS INC.,2011-03-31,10-K,2013-05-22,1579000000.0,-276000000.0,-312000000.0,,,2564000000.0,,
22,EA,ELECTRONIC ARTS INC.,2011-03-31,10-K,2014-05-21,1579000000.0,,,,,2564000000.0,,
17,EA,ELECTRONIC ARTS INC.,2010-12-31,10-K,2011-05-24,,-322000000.0,-303000000.0,,,,,
18,EA,ELECTRONIC ARTS INC.,2010-12-31,10-K,2012-05-25,,-322000000.0,-303000000.0,,,,,
15,EA,ELECTRONIC ARTS INC.,2010-09-30,10-K,2011-05-24,,-201000000.0,-252000000.0,,,,,
16,EA,ELECTRONIC ARTS INC.,2010-09-30,10-K,2012-05-25,,-201000000.0,-252000000.0,,,,,
13,EA,ELECTRONIC ARTS INC.,2010-06-30,10-K,2011-05-24,,96000000.0,98000000.0,,,,,
14,EA,ELECTRONIC ARTS INC.,2010-06-30,10-K,2012-05-25,,96000000.0,98000000.0,,,,,
9,EA,ELECTRONIC ARTS INC.,2010-03-31,10-K,2010-05-28,1273000000.0,-677000000.0,-686000000.0,,330000000.0,2729000000.0,4646000000.0,1917000000.0
10,EA,ELECTRONIC ARTS INC.,2010-03-31,10-K,2011-05-24,1273000000.0,30000000.0,83000000.0,,330000000.0,2729000000.0,4646000000.0,1917000000.0
11,EA,ELECTRONIC ARTS INC.,2010-03-31,10-K,2012-05-25,1273000000.0,-677000000.0,-686000000.0,,,2729000000.0,,
12,EA,ELECTRONIC ARTS INC.,2010-03-31,10-K,2013-05-22,1273000000.0,,,,,2729000000.0,,
8,EA,ELECTRONIC ARTS INC.,2009-12-31,10-K,2011-05-24,,-82000000.0,-107000000.0,,,,,
7,EA,ELECTRONIC ARTS INC.,2009-09-30,10-K,2011-05-24,,-391000000.0,-417000000.0,,,,,
6,EA,ELECTRONIC ARTS INC.,2009-06-30,10-K,2011-05-24,,-234000000.0,-245000000.0,,,,,
3,EA,ELECTRONIC ARTS INC.,2009-03-31,10-K,2010-05-28,1621000000.0,-1088000000.0,-827000000.0,,323000000.0,3134000000.0,4678000000.0,1544000000.0
4,EA,ELECTRONIC ARTS INC.,2009-03-31,10-K,2011-05-24,1621000000.0,-1088000000.0,-827000000.0,,,3134000000.0,,
5,EA,ELECTRONIC ARTS INC.,2009-03-31,10-K,2012-05-25,1621000000.0,,,,,3134000000.0,,
1,EA,ELECTRONIC ARTS INC.,2008-03-31,10-K,2010-05-28,1553000000.0,-454000000.0,-487000000.0,,,4339000000.0,,
2,EA,ELECTRONIC ARTS INC.,2008-03-31,10-K,2011-05-24,1553000000.0,,,,,4339000000.0,,
0,EA,ELECTRONIC ARTS INC.,2007-04-02,10-K,2010-05-28,1371000000.0,,,,,4032000000.0,,
