,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
99,EOG,"EOG RESOURCES, INC.",2020-12-31,10-K,2023-02-23,,-605000000.0,-544000000.0,11032000000.0,,20302000000.0,
100,EOG,"EOG RESOURCES, INC.",2020-12-31,10-K,2024-02-22,,,,,,20302000000.0,
96,EOG,"EOG RESOURCES, INC.",2020-09-30,10-K,2021-02-25,,-42467000.0,-2714000.0,2245484000.0,,,
95,EOG,"EOG RESOURCES, INC.",2020-06-30,10-K,2021-02-25,,-909384000.0,-1086549000.0,1103374000.0,,,
94,EOG,"EOG RESOURCES, INC.",2020-03-31,10-K,2021-02-25,,9813000.0,57585000.0,4717692000.0,,,
90,EOG,"EOG RESOURCES, INC.",2019-12-31,10-K,2020-02-27,2027972000.0,636521000.0,863751000.0,4320246000.0,,,37124608000.0
91,EOG,"EOG RESOURCES, INC.",2019-12-31,10-K,2021-02-25,2027972000.0,636521000.0,863751000.0,4320246000.0,,,37124608000.0
92,EOG,"EOG RESOURCES, INC.",2019-12-31,10-K,2022-02-24,,2735000000.0,3699000000.0,17380000000.0,,,37125000000.0
93,EOG,"EOG RESOURCES, INC.",2019-12-31,10-K,2023-02-23,,,,,,21640000000.0,
88,EOG,"EOG RESOURCES, INC.",2019-09-30,10-K,2020-02-27,,615122000.0,827959000.0,4303455000.0,,,
89,EOG,"EOG RESOURCES, INC.",2019-09-30,10-K,2021-02-25,,615122000.0,827959000.0,4303455000.0,,,
86,EOG,"EOG RESOURCES, INC.",2019-06-30,10-K,2020-02-27,,847841000.0,1130771000.0,4697630000.0,,,
87,EOG,"EOG RESOURCES, INC.",2019-06-30,10-K,2021-02-25,,847841000.0,1130771000.0,4697630000.0,,,
84,EOG,"EOG RESOURCES, INC.",2019-03-31,10-K,2020-02-27,,635426000.0,876530000.0,4058642000.0,,,
85,EOG,"EOG RESOURCES, INC.",2019-03-31,10-K,2021-02-25,,635426000.0,876530000.0,4058642000.0,,,
81,EOG,"EOG RESOURCES, INC.",2018-12-31,10-K,2019-02-26,1555634000.0,892768000.0,1123140000.0,4574536000.0,,,33934474000.0
82,EOG,"EOG RESOURCES, INC.",2018-12-31,10-K,2020-02-27,1555634000.0,892768000.0,1123140000.0,4574536000.0,,,33934474000.0
83,EOG,"EOG RESOURCES, INC.",2018-12-31,10-K,2021-02-25,1555634000.0,3419040000.0,4469346000.0,17275399000.0,,,33934474000.0
79,EOG,"EOG RESOURCES, INC.",2018-09-30,10-K,2019-02-26,,1190952000.0,1506687000.0,4781624000.0,,,
80,EOG,"EOG RESOURCES, INC.",2018-09-30,10-K,2020-02-27,,1190952000.0,1506687000.0,4781624000.0,,,
77,EOG,"EOG RESOURCES, INC.",2018-06-30,10-K,2019-02-26,,696731000.0,964931000.0,4238077000.0,,,
78,EOG,"EOG RESOURCES, INC.",2018-06-30,10-K,2020-02-27,,696731000.0,964931000.0,4238077000.0,,,
75,EOG,"EOG RESOURCES, INC.",2018-03-31,10-K,2019-02-26,,638589000.0,874588000.0,3681162000.0,,,
76,EOG,"EOG RESOURCES, INC.",2018-03-31,10-K,2020-02-27,,638589000.0,874588000.0,3681162000.0,,,
71,EOG,"EOG RESOURCES, INC.",2017-12-31,10-K,2018-02-27,834228000.0,2430468000.0,475912000.0,3340439000.0,,,29833078000.0
72,EOG,"EOG RESOURCES, INC.",2017-12-31,10-K,2019-02-26,834228000.0,2430468000.0,475912000.0,3340439000.0,,,29833078000.0
73,EOG,"EOG RESOURCES, INC.",2017-12-31,10-K,2020-02-27,834228000.0,2582579000.0,926402000.0,11208320000.0,,,29833078000.0
74,EOG,"EOG RESOURCES, INC.",2017-12-31,10-K,2021-02-25,834228000.0,,,,,,
69,EOG,"EOG RESOURCES, INC.",2017-09-30,10-K,2018-02-27,,100541000.0,214836000.0,2644844000.0,,,
70,EOG,"EOG RESOURCES, INC.",2017-09-30,10-K,2019-02-26,,100541000.0,214836000.0,2644844000.0,,,
67,EOG,"EOG RESOURCES, INC.",2017-06-30,10-K,2018-02-27,,23053000.0,127908000.0,2612472000.0,,,
68,EOG,"EOG RESOURCES, INC.",2017-06-30,10-K,2019-02-26,,23053000.0,127908000.0,2612472000.0,,,
65,EOG,"EOG RESOURCES, INC.",2017-03-31,10-K,2018-02-27,,28517000.0,107746000.0,2610565000.0,,,
66,EOG,"EOG RESOURCES, INC.",2017-03-31,10-K,2019-02-26,,28517000.0,107746000.0,2610565000.0,,,
61,EOG,"EOG RESOURCES, INC.",2016-12-31,10-K,2017-02-27,1599895000.0,-142352000.0,-105487000.0,2402039000.0,,,29459433000.0
62,EOG,"EOG RESOURCES, INC.",2016-12-31,10-K,2018-02-27,1599895000.0,-142352000.0,-105487000.0,2402039000.0,,,29299201000.0
63,EOG,"EOG RESOURCES, INC.",2016-12-31,10-K,2019-02-26,1599895000.0,-1096686000.0,-1225281000.0,7650632000.0,,,29299201000.0
64,EOG,"EOG RESOURCES, INC.",2016-12-31,10-K,2020-02-27,1599895000.0,,,,,,
59,EOG,"EOG RESOURCES, INC.",2016-09-30,10-K,2017-02-27,,-190000000.0,-193480000.0,2118504000.0,,,
60,EOG,"EOG RESOURCES, INC.",2016-09-30,10-K,2018-02-27,,-190000000.0,-193480000.0,2118504000.0,,,
57,EOG,"EOG RESOURCES, INC.",2016-06-30,10-K,2017-02-27,,-292558000.0,-288173000.0,1775740000.0,,,
58,EOG,"EOG RESOURCES, INC.",2016-06-30,10-K,2018-02-27,,-292558000.0,-288173000.0,1775740000.0,,,
55,EOG,"EOG RESOURCES, INC.",2016-03-31,10-K,2017-02-27,,-471776000.0,-638141000.0,1354349000.0,,,
56,EOG,"EOG RESOURCES, INC.",2016-03-31,10-K,2018-02-27,,-471776000.0,-638141000.0,1354349000.0,,,
51,EOG,"EOG RESOURCES, INC.",2015-12-31,10-K,2016-02-25,718506000.0,-284296000.0,-329753000.0,1796761000.0,,,26975244000.0
52,EOG,"EOG RESOURCES, INC.",2015-12-31,10-K,2017-02-27,718506000.0,-284296000.0,-329753000.0,1796761000.0,,,26970470000.0
53,EOG,"EOG RESOURCES, INC.",2015-12-31,10-K,2018-02-27,718506000.0,-4524515000.0,-6686079000.0,8757428000.0,,,26834908000.0
54,EOG,"EOG RESOURCES, INC.",2015-12-31,10-K,2019-02-26,718506000.0,,,,,,
49,EOG,"EOG RESOURCES, INC.",2015-09-30,10-K,2016-02-25,,-4075739000.0,-6222957000.0,2172428000.0,,,
50,EOG,"EOG RESOURCES, INC.",2015-09-30,10-K,2017-02-27,,-4075739000.0,-6222957000.0,2172428000.0,,,
47,EOG,"EOG RESOURCES, INC.",2015-06-30,10-K,2016-02-25,,5268000.0,39626000.0,2469701000.0,,,
48,EOG,"EOG RESOURCES, INC.",2015-06-30,10-K,2017-02-27,,5268000.0,39626000.0,2469701000.0,,,
45,EOG,"EOG RESOURCES, INC.",2015-03-31,10-K,2016-02-25,,-169748000.0,-172995000.0,2318538000.0,,,
