,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,stockholders_equity,total_assets
53,BDX,"BECTON, DICKINSON AND COMPANY",2016-12-31,10-K,2018-11-21,,562000000.0,,2922000000.0,,
49,BDX,"BECTON, DICKINSON AND COMPANY",2016-09-30,10-K,2016-11-23,1541000000.0,19000000.0,1430000000.0,,7633000000.0,25586000000.0
50,BDX,"BECTON, DICKINSON AND COMPANY",2016-09-30,10-K,2017-11-22,1541000000.0,19000000.0,1430000000.0,,7633000000.0,25586000000.0
51,BDX,"BECTON, DICKINSON AND COMPANY",2016-09-30,10-K,2018-11-21,1541000000.0,976000000.0,1430000000.0,12483000000.0,,25586000000.0
47,BDX,"BECTON, DICKINSON AND COMPANY",2016-06-30,10-K,2016-11-23,,390000000.0,,,,
48,BDX,"BECTON, DICKINSON AND COMPANY",2016-06-30,10-K,2017-11-22,,390000000.0,,,,
45,BDX,"BECTON, DICKINSON AND COMPANY",2016-03-31,10-K,2016-11-23,,338000000.0,,,,
46,BDX,"BECTON, DICKINSON AND COMPANY",2016-03-31,10-K,2017-11-22,,338000000.0,,,,
43,BDX,"BECTON, DICKINSON AND COMPANY",2015-12-31,10-K,2016-11-23,,229000000.0,,,,
44,BDX,"BECTON, DICKINSON AND COMPANY",2015-12-31,10-K,2017-11-22,,229000000.0,,,,
39,BDX,"BECTON, DICKINSON AND COMPANY",2015-09-30,10-K,2015-11-25,1424000000.0,181000000.0,1074000000.0,,7164000000.0,26820000000.0
40,BDX,"BECTON, DICKINSON AND COMPANY",2015-09-30,10-K,2016-11-23,1424000000.0,181000000.0,1074000000.0,,7164000000.0,26478000000.0
41,BDX,"BECTON, DICKINSON AND COMPANY",2015-09-30,10-K,2017-11-22,1424000000.0,695000000.0,1074000000.0,,,26478000000.0
42,BDX,"BECTON, DICKINSON AND COMPANY",2015-09-30,10-K,2018-11-21,1424000000.0,,,,,
37,BDX,"BECTON, DICKINSON AND COMPANY",2015-06-30,10-K,2015-11-25,,62000000.0,,,,
38,BDX,"BECTON, DICKINSON AND COMPANY",2015-06-30,10-K,2016-11-23,,62000000.0,,,,
35,BDX,"BECTON, DICKINSON AND COMPANY",2015-03-31,10-K,2015-11-25,,216000000.0,,,,
36,BDX,"BECTON, DICKINSON AND COMPANY",2015-03-31,10-K,2016-11-23,,216000000.0,,,,
33,BDX,"BECTON, DICKINSON AND COMPANY",2014-12-31,10-K,2015-11-25,,236000000.0,,,,
34,BDX,"BECTON, DICKINSON AND COMPANY",2014-12-31,10-K,2016-11-23,,236000000.0,,,,
29,BDX,"BECTON, DICKINSON AND COMPANY",2014-09-30,10-K,2014-11-26,1861000000.0,1185000000.0,1606000000.0,,5053000000.0,12447000000.0
30,BDX,"BECTON, DICKINSON AND COMPANY",2014-09-30,10-K,2015-11-25,1861000000.0,301000000.0,1606000000.0,,5053000000.0,12447000000.0
31,BDX,"BECTON, DICKINSON AND COMPANY",2014-09-30,10-K,2016-11-23,1861000000.0,1185000000.0,1606000000.0,,,12384000000.0
32,BDX,"BECTON, DICKINSON AND COMPANY",2014-09-30,10-K,2017-11-22,1861000000.0,,,,,
28,BDX,"BECTON, DICKINSON AND COMPANY",2014-06-30,10-K,2015-11-25,,326000000.0,,,,
27,BDX,"BECTON, DICKINSON AND COMPANY",2014-03-31,10-K,2015-11-25,,287000000.0,,,,
26,BDX,"BECTON, DICKINSON AND COMPANY",2013-12-31,10-K,2015-11-25,,271000000.0,,,,
22,BDX,"BECTON, DICKINSON AND COMPANY",2013-09-30,10-K,2013-11-27,1890000000.0,,1254000000.0,,5043000000.0,12149000000.0
23,BDX,"BECTON, DICKINSON AND COMPANY",2013-09-30,10-K,2014-11-26,1890000000.0,1293000000.0,1254000000.0,,5043000000.0,12149000000.0
24,BDX,"BECTON, DICKINSON AND COMPANY",2013-09-30,10-K,2015-11-25,1890000000.0,1293000000.0,1254000000.0,,,12149000000.0
25,BDX,"BECTON, DICKINSON AND COMPANY",2013-09-30,10-K,2016-11-23,1890000000.0,,,,,
18,BDX,"BECTON, DICKINSON AND COMPANY",2012-09-30,10-K,2012-11-21,1671165000.0,,1557885000.0,,4135889000.0,11360909000.0
19,BDX,"BECTON, DICKINSON AND COMPANY",2012-09-30,10-K,2013-11-27,1671000000.0,,1558000000.0,,4136000000.0,11361000000.0
20,BDX,"BECTON, DICKINSON AND COMPANY",2012-09-30,10-K,2014-11-26,1671000000.0,1170000000.0,1558000000.0,,,11361000000.0
21,BDX,"BECTON, DICKINSON AND COMPANY",2012-09-30,10-K,2015-11-25,1671000000.0,,,,,
14,BDX,"BECTON, DICKINSON AND COMPANY",2011-09-30,10-K,2011-11-23,1175282000.0,,1763282000.0,,4828175000.0,10430428000.0
15,BDX,"BECTON, DICKINSON AND COMPANY",2011-09-30,10-K,2012-11-21,1175282000.0,,1665861000.0,,4828175000.0,10430428000.0
16,BDX,"BECTON, DICKINSON AND COMPANY",2011-09-30,10-K,2013-11-27,1175000000.0,,1666000000.0,,,10430000000.0
17,BDX,"BECTON, DICKINSON AND COMPANY",2011-09-30,10-K,2014-11-26,1175000000.0,,,,,
10,BDX,"BECTON, DICKINSON AND COMPANY",2010-09-30,10-K,2010-11-24,1215989000.0,,1676797000.0,,5434580000.0,9650694000.0
11,BDX,"BECTON, DICKINSON AND COMPANY",2010-09-30,10-K,2011-11-23,1215989000.0,,1676797000.0,,5434580000.0,9650694000.0
12,BDX,"BECTON, DICKINSON AND COMPANY",2010-09-30,10-K,2012-11-21,1215989000.0,,1582378000.0,,,9650694000.0
13,BDX,"BECTON, DICKINSON AND COMPANY",2010-09-30,10-K,2013-11-27,1216000000.0,,,,,
6,BDX,"BECTON, DICKINSON AND COMPANY",2009-09-30,10-K,2009-11-25,1394244000.0,1231603000.0,1650353000.0,,5142712000.0,9304624000.0
7,BDX,"BECTON, DICKINSON AND COMPANY",2009-09-30,10-K,2010-11-24,1394244000.0,,1589682000.0,,5142712000.0,9304624000.0
8,BDX,"BECTON, DICKINSON AND COMPANY",2009-09-30,10-K,2011-11-23,1394244000.0,,1589682000.0,,,9304624000.0
9,BDX,"BECTON, DICKINSON AND COMPANY",2009-09-30,10-K,2012-11-21,1394244000.0,,,,,
3,BDX,"BECTON, DICKINSON AND COMPANY",2008-09-30,10-K,2009-11-25,830477000.0,1126996000.0,1536863000.0,,4935568000.0,7912943000.0
4,BDX,"BECTON, DICKINSON AND COMPANY",2008-09-30,10-K,2010-11-24,830477000.0,,1488144000.0,,,7912943000.0
5,BDX,"BECTON, DICKINSON AND COMPANY",2008-09-30,10-K,2011-11-23,830477000.0,,,,,
1,BDX,"BECTON, DICKINSON AND COMPANY",2007-09-30,10-K,2009-11-25,511482000.0,890033000.0,1184664000.0,,,
2,BDX,"BECTON, DICKINSON AND COMPANY",2007-09-30,10-K,2010-11-24,511482000.0,,,,,
0,BDX,"BECTON, DICKINSON AND COMPANY",2006-09-30,10-K,2009-11-25,1000289000.0,,,,,
