,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
20,ATO,ATMOS ENERGY CORP,2011-09-30,10-K,2012-11-13,131419000.0,1961000.0,39195000.0,,,2255421000.0,7282871000.0
21,ATO,ATMOS ENERGY CORP,2011-09-30,10-K,2013-11-13,131419000.0,207601000.0,425986000.0,,,2255421000.0,
22,ATO,ATMOS ENERGY CORP,2011-09-30,10-K,2014-11-06,131419000.0,,,,,2255421000.0,
17,ATO,ATMOS ENERGY CORP,2011-06-30,10-K,2011-11-22,,-566000.0,34078000.0,,,,
18,ATO,ATMOS ENERGY CORP,2011-06-30,10-K,2012-11-13,,-566000.0,31394000.0,,,,
15,ATO,ATMOS ENERGY CORP,2011-03-31,10-K,2011-11-22,,132209000.0,211199000.0,,,,
16,ATO,ATMOS ENERGY CORP,2011-03-31,10-K,2012-11-13,,132209000.0,204624000.0,,,,
13,ATO,ATMOS ENERGY CORP,2010-12-31,10-K,2011-11-22,,73997000.0,155289000.0,,,,
14,ATO,ATMOS ENERGY CORP,2010-12-31,10-K,2012-11-13,,73997000.0,150773000.0,,,,
9,ATO,ATMOS ENERGY CORP,2010-09-30,10-K,2010-11-12,131952000.0,205839000.0,489436000.0,,,2178348000.0,6763791000.0
10,ATO,ATMOS ENERGY CORP,2010-09-30,10-K,2011-11-22,131952000.0,1537000.0,38537000.0,,,2178348000.0,6763791000.0
11,ATO,ATMOS ENERGY CORP,2010-09-30,10-K,2012-11-13,131952000.0,205839000.0,463833000.0,,,2178348000.0,
12,ATO,ATMOS ENERGY CORP,2010-09-30,10-K,2013-11-13,131952000.0,,,,,2178348000.0,
8,ATO,ATMOS ENERGY CORP,2010-06-30,10-K,2011-11-22,,-3154000.0,32259000.0,,,,
7,ATO,ATMOS ENERGY CORP,2010-03-31,10-K,2011-11-22,,114126000.0,219757000.0,,,,
6,ATO,ATMOS ENERGY CORP,2009-12-31,10-K,2011-11-22,,93330000.0,186598000.0,,,,
3,ATO,ATMOS ENERGY CORP,2009-09-30,10-K,2010-11-12,111203000.0,190978000.0,447402000.0,,,2176761000.0,6367083000.0
4,ATO,ATMOS ENERGY CORP,2009-09-30,10-K,2011-11-22,111203000.0,190978000.0,436366000.0,,,,
5,ATO,ATMOS ENERGY CORP,2009-09-30,10-K,2012-11-13,111203000.0,,,,,2176761000.0,
1,ATO,ATMOS ENERGY CORP,2008-09-30,10-K,2010-11-12,46717000.0,180331000.0,427895000.0,,,2052492000.0,
2,ATO,ATMOS ENERGY CORP,2008-09-30,10-K,2011-11-22,46717000.0,,,,,,
0,ATO,ATMOS ENERGY CORP,2007-09-30,10-K,2010-11-12,60725000.0,,,,,1965754000.0,
