,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
83,APTV,Aptiv PLC,2020-09-30,10-K,2021-02-08,,,299000000.0,364000000.0,3668000000.0,,,,,
82,APTV,Aptiv PLC,2020-06-30,10-K,2021-02-08,,,-366000000.0,-311000000.0,1960000000.0,,,,,
81,APTV,Aptiv PLC,2020-03-31,10-K,2021-02-08,,,1572000000.0,1619000000.0,3226000000.0,,,,,
78,APTV,Aptiv PLC,2019-12-31,10-K,2020-02-03,412000000.0,,230000000.0,324000000.0,3596000000.0,,255288240.0,3819000000.0,13459000000.0,9448000000.0
79,APTV,Aptiv PLC,2019-12-31,10-K,2021-02-08,412000000.0,,230000000.0,324000000.0,3596000000.0,,255288240.0,3819000000.0,13459000000.0,9448000000.0
80,APTV,Aptiv PLC,2019-12-31,10-K,2022-02-07,,,990000000.0,1276000000.0,14357000000.0,,,,,
76,APTV,Aptiv PLC,2019-09-30,10-K,2020-02-03,,,246000000.0,320000000.0,3559000000.0,,,,,
77,APTV,Aptiv PLC,2019-09-30,10-K,2021-02-08,,,246000000.0,320000000.0,3559000000.0,,,,,
74,APTV,Aptiv PLC,2019-06-30,10-K,2020-02-03,,,274000000.0,335000000.0,3627000000.0,,,,,
75,APTV,Aptiv PLC,2019-06-30,10-K,2021-02-08,,,274000000.0,335000000.0,3627000000.0,,,,,
72,APTV,Aptiv PLC,2019-03-31,10-K,2020-02-03,,,240000000.0,297000000.0,3575000000.0,,,,,
73,APTV,Aptiv PLC,2019-03-31,10-K,2021-02-08,,,240000000.0,297000000.0,3575000000.0,,,,,
69,APTV,Aptiv PLC,2018-12-31,10-K,2019-02-04,567000000.0,,247000000.0,355000000.0,3636000000.0,,259991022.0,3459000000.0,12480000000.0,8810000000.0
70,APTV,Aptiv PLC,2018-12-31,10-K,2020-02-03,567000000.0,,247000000.0,355000000.0,3636000000.0,,259991022.0,3459000000.0,12480000000.0,8810000000.0
71,APTV,Aptiv PLC,2018-12-31,10-K,2021-02-08,,,1067000000.0,1473000000.0,14435000000.0,,,,,
67,APTV,Aptiv PLC,2018-09-30,10-K,2019-02-04,,,222000000.0,323000000.0,3485000000.0,,,,,
68,APTV,Aptiv PLC,2018-09-30,10-K,2020-02-03,,,222000000.0,323000000.0,3485000000.0,,,,,
65,APTV,Aptiv PLC,2018-06-30,10-K,2019-02-04,,,291000000.0,421000000.0,3684000000.0,,,,,
66,APTV,Aptiv PLC,2018-06-30,10-K,2020-02-03,,,291000000.0,421000000.0,3684000000.0,,,,,
63,APTV,Aptiv PLC,2018-03-31,10-K,2019-02-04,,,307000000.0,374000000.0,3630000000.0,,,,,
64,APTV,Aptiv PLC,2018-03-31,10-K,2020-02-03,,,307000000.0,374000000.0,3630000000.0,,,,,
60,APTV,Aptiv PLC,2017-12-31,10-K,2018-02-05,1596000000.0,,256000000.0,386000000.0,,,265839794.0,3299000000.0,12169000000.0,8652000000.0
61,APTV,Aptiv PLC,2017-12-31,10-K,2019-02-04,1596000000.0,,256000000.0,386000000.0,3440000000.0,,265839794.0,3299000000.0,12169000000.0,8652000000.0
62,APTV,Aptiv PLC,2017-12-31,10-K,2020-02-03,,,1355000000.0,1416000000.0,12884000000.0,,,,,
58,APTV,Aptiv PLC,2017-09-30,10-K,2018-02-05,,,395000000.0,373000000.0,,,,,,
59,APTV,Aptiv PLC,2017-09-30,10-K,2019-02-04,,,395000000.0,373000000.0,3148000000.0,,,,,
56,APTV,Aptiv PLC,2017-06-30,10-K,2018-02-05,,,369000000.0,364000000.0,,,,,,
57,APTV,Aptiv PLC,2017-06-30,10-K,2019-02-04,,,369000000.0,364000000.0,3153000000.0,,,,,
54,APTV,Aptiv PLC,2017-03-31,10-K,2018-02-05,,,335000000.0,293000000.0,,,,,,
55,APTV,Aptiv PLC,2017-03-31,10-K,2019-02-04,,,335000000.0,293000000.0,3143000000.0,,,,,
51,APTV,Aptiv PLC,2016-12-31,10-K,2017-02-06,838000000.0,,281000000.0,655000000.0,,,269789959.0,2401000000.0,12292000000.0,9529000000.0
52,APTV,Aptiv PLC,2016-12-31,10-K,2018-02-05,737000000.0,,281000000.0,525000000.0,,,269789959.0,2401000000.0,12292000000.0,9529000000.0
53,APTV,Aptiv PLC,2016-12-31,10-K,2019-02-04,,,1257000000.0,1539000000.0,12274000000.0,,,,,
49,APTV,Aptiv PLC,2016-09-30,10-K,2017-02-06,,,293000000.0,460000000.0,,,,,,
50,APTV,Aptiv PLC,2016-09-30,10-K,2018-02-05,,,293000000.0,335000000.0,,,,,,
47,APTV,Aptiv PLC,2016-06-30,10-K,2017-02-06,,,258000000.0,391000000.0,,,,,,
48,APTV,Aptiv PLC,2016-06-30,10-K,2018-02-05,,,258000000.0,376000000.0,,,,,,
45,APTV,Aptiv PLC,2016-03-31,10-K,2017-02-06,,,425000000.0,441000000.0,,,,,,
46,APTV,Aptiv PLC,2016-03-31,10-K,2018-02-05,,,425000000.0,303000000.0,,,,,,
42,APTV,Aptiv PLC,2015-12-31,10-K,2016-02-08,535000000.0,,192000000.0,335000000.0,,,278208470.0,2250000000.0,11973000000.0,9240000000.0
43,APTV,Aptiv PLC,2015-12-31,10-K,2017-02-06,535000000.0,,192000000.0,335000000.0,,,278208470.0,2250000000.0,11973000000.0,9240000000.0
44,APTV,Aptiv PLC,2015-12-31,10-K,2018-02-05,427000000.0,,1450000000.0,1235000000.0,,,,,,
40,APTV,Aptiv PLC,2015-09-30,10-K,2016-02-08,,,404000000.0,461000000.0,,,,,,
41,APTV,Aptiv PLC,2015-09-30,10-K,2017-02-06,,,404000000.0,461000000.0,,,,,,
38,APTV,Aptiv PLC,2015-06-30,10-K,2016-02-08,,,645000000.0,481000000.0,,,,,,
39,APTV,Aptiv PLC,2015-06-30,10-K,2017-02-06,,,645000000.0,481000000.0,,,,,,
36,APTV,Aptiv PLC,2015-03-31,10-K,2016-02-08,,,209000000.0,446000000.0,,,,,,
37,APTV,Aptiv PLC,2015-03-31,10-K,2017-02-06,,,209000000.0,446000000.0,,,,,,
33,APTV,Aptiv PLC,2014-12-31,10-K,2015-02-09,904000000.0,,344000000.0,486000000.0,,,291619411.0,2510000000.0,10746000000.0,7733000000.0
34,APTV,Aptiv PLC,2014-12-31,10-K,2016-02-08,859000000.0,,344000000.0,464000000.0,,,291619411.0,2510000000.0,10721000000.0,7708000000.0
35,APTV,Aptiv PLC,2014-12-31,10-K,2017-02-06,859000000.0,,1351000000.0,1758000000.0,,,,,,
31,APTV,Aptiv PLC,2014-09-30,10-K,2015-02-09,,,305000000.0,414000000.0,,,,,,
32,APTV,Aptiv PLC,2014-09-30,10-K,2016-02-08,,,305000000.0,392000000.0,,,,,,
29,APTV,Aptiv PLC,2014-06-30,10-K,2015-02-09,,,382000000.0,488000000.0,,,,,,
30,APTV,Aptiv PLC,2014-06-30,10-K,2016-02-08,,,382000000.0,462000000.0,,,,,,
27,APTV,Aptiv PLC,2014-03-31,10-K,2015-02-09,,,320000000.0,459000000.0,,,,,,
28,APTV,Aptiv PLC,2014-03-31,10-K,2016-02-08,,,320000000.0,440000000.0,,,,,,
24,APTV,Aptiv PLC,2013-12-31,10-K,2014-02-10,1389000000.0,,298000000.0,417000000.0,,,306389149.0,2911000000.0,11047000000.0,7613000000.0
25,APTV,Aptiv PLC,2013-12-31,10-K,2015-02-09,1389000000.0,,298000000.0,417000000.0,,,306389149.0,2911000000.0,11047000000.0,7613000000.0
26,APTV,Aptiv PLC,2013-12-31,10-K,2016-02-08,1337000000.0,,1212000000.0,1627000000.0,,,,,,
22,APTV,Aptiv PLC,2013-09-30,10-K,2014-02-10,,,271000000.0,387000000.0,,,,,,
23,APTV,Aptiv PLC,2013-09-30,10-K,2015-02-09,,,271000000.0,387000000.0,,,,,,
20,APTV,Aptiv PLC,2013-06-30,10-K,2014-02-10,,,367000000.0,483000000.0,,,,,,
21,APTV,Aptiv PLC,2013-06-30,10-K,2015-02-09,,,367000000.0,483000000.0,,,,,,
18,APTV,Aptiv PLC,2013-03-31,10-K,2014-02-10,,,276000000.0,397000000.0,,,,,,
19,APTV,Aptiv PLC,2013-03-31,10-K,2015-02-09,,,276000000.0,397000000.0,,,,,,
15,APTV,Aptiv PLC,2012-12-31,10-K,2013-02-11,1105000000.0,,136000000.0,177000000.0,,,315299183.0,2345000000.0,10176000000.0,7346000000.0
16,APTV,Aptiv PLC,2012-12-31,10-K,2014-02-10,1105000000.0,,136000000.0,177000000.0,,,315299183.0,2345000000.0,10176000000.0,7346000000.0
17,APTV,Aptiv PLC,2012-12-31,10-K,2015-02-09,1105000000.0,,1077000000.0,1476000000.0,,,,,,
13,APTV,Aptiv PLC,2012-09-30,10-K,2013-02-11,,,269000000.0,367000000.0,,,,,,
14,APTV,Aptiv PLC,2012-09-30,10-K,2014-02-10,,,269000000.0,367000000.0,,,,,,
11,APTV,Aptiv PLC,2012-06-30,10-K,2013-02-11,,,330000000.0,468000000.0,,,,,,
12,APTV,Aptiv PLC,2012-06-30,10-K,2014-02-10,,,330000000.0,468000000.0,,,,,,
9,APTV,Aptiv PLC,2012-03-31,10-K,2013-02-11,,,342000000.0,464000000.0,,,,,,
10,APTV,Aptiv PLC,2012-03-31,10-K,2014-02-10,,,342000000.0,464000000.0,,,,,,
6,APTV,Aptiv PLC,2011-12-31,10-K,2013-02-11,1363000000.0,,290000000.0,411000000.0,,,328244510.0,1688000000.0,9128000000.0,6957000000.0
7,APTV,Aptiv PLC,2011-12-31,10-K,2014-02-10,1363000000.0,,1145000000.0,1644000000.0,,,,,,
8,APTV,Aptiv PLC,2011-12-31,10-K,2015-02-09,1363000000.0,,,,,,,,,
5,APTV,Aptiv PLC,2011-09-30,10-K,2013-02-11,,,266000000.0,393000000.0,,,,,,
4,APTV,Aptiv PLC,2011-06-30,10-K,2013-02-11,,,298000000.0,428000000.0,,,,,,
3,APTV,Aptiv PLC,2011-03-31,10-K,2013-02-11,,,291000000.0,412000000.0,,,,,,
1,APTV,Aptiv PLC,2010-12-31,10-K,2013-02-11,3219000000.0,,631000000.0,940000000.0,,,,,,
2,APTV,Aptiv PLC,2010-12-31,10-K,2014-02-10,3219000000.0,,,,,,,,,
0,APTV,Aptiv PLC,2009-12-31,10-K,2013-02-11,3107000000.0,,,,,,,,,
