,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets
87,CMCSA,Comcast Corporation,2017-12-31,10-K,2018-01-31,3428000000.0,14985000000.0,4107000000.0,21915000000.0,,68606000000.0,186949000000.0
88,CMCSA,Comcast Corporation,2017-12-31,10-K,2019-01-31,3428000000.0,14999000000.0,4129000000.0,22075000000.0,,68616000000.0,187462000000.0
89,CMCSA,Comcast Corporation,2017-12-31,10-K,2020-01-30,,22735000000.0,18018000000.0,85029000000.0,,,
85,CMCSA,Comcast Corporation,2017-09-30,10-K,2018-01-31,,2650000000.0,4792000000.0,20983000000.0,,,
86,CMCSA,Comcast Corporation,2017-09-30,10-K,2019-01-31,,2642000000.0,4779000000.0,21081000000.0,,,
83,CMCSA,Comcast Corporation,2017-06-30,10-K,2018-01-31,,2513000000.0,4558000000.0,21165000000.0,,,
84,CMCSA,Comcast Corporation,2017-06-30,10-K,2019-01-31,,2521000000.0,4568000000.0,21286000000.0,,,
81,CMCSA,Comcast Corporation,2017-03-31,10-K,2018-01-31,,2566000000.0,4530000000.0,20463000000.0,,,
82,CMCSA,Comcast Corporation,2017-03-31,10-K,2019-01-31,,2573000000.0,4542000000.0,20587000000.0,,,
78,CMCSA,Comcast Corporation,2016-12-31,10-K,2017-02-03,3301000000.0,2296000000.0,4264000000.0,21025000000.0,,53943000000.0,180500000000.0
79,CMCSA,Comcast Corporation,2016-12-31,10-K,2018-01-31,3301000000.0,2296000000.0,4264000000.0,21025000000.0,,53943000000.0,180500000000.0
80,CMCSA,Comcast Corporation,2016-12-31,10-K,2019-01-31,,8678000000.0,16831000000.0,80736000000.0,,,
76,CMCSA,Comcast Corporation,2016-09-30,10-K,2017-02-03,,2237000000.0,4440000000.0,21319000000.0,,,
77,CMCSA,Comcast Corporation,2016-09-30,10-K,2018-01-31,,2237000000.0,4440000000.0,21319000000.0,,,
74,CMCSA,Comcast Corporation,2016-06-30,10-K,2017-02-03,,2028000000.0,4066000000.0,19269000000.0,,,
75,CMCSA,Comcast Corporation,2016-06-30,10-K,2018-01-31,,2028000000.0,4066000000.0,19269000000.0,,,
72,CMCSA,Comcast Corporation,2016-03-31,10-K,2017-02-03,,2134000000.0,4089000000.0,18790000000.0,,,
