,ticker,company,end_date,form,filed,cash,long_term_debt,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
43,BSX,BOSTON SCIENTIFIC CORPORATION,2017-12-31,10-K,2020-02-25,188000000.0,,1285000000.0,,9048000000.0,,,
38,BSX,BOSTON SCIENTIFIC CORPORATION,2016-12-31,10-K,2017-02-23,196000000.0,5400000000.0,447000000.0,9076000000.0,,1362104547.0,,18096000000.0
39,BSX,BOSTON SCIENTIFIC CORPORATION,2016-12-31,10-K,2018-02-20,196000000.0,5420000000.0,447000000.0,,,1362104547.0,,18096000000.0
40,BSX,BOSTON SCIENTIFIC CORPORATION,2016-12-31,10-K,2019-02-19,196000000.0,,447000000.0,,8386000000.0,,,
35,BSX,BOSTON SCIENTIFIC CORPORATION,2015-12-31,10-K,2016-02-24,319000000.0,5650000000.0,-327000000.0,8068000000.0,,1346647516.0,,18133000000.0
36,BSX,BOSTON SCIENTIFIC CORPORATION,2015-12-31,10-K,2017-02-23,319000000.0,,-327000000.0,8068000000.0,,1346647516.0,,18133000000.0
37,BSX,BOSTON SCIENTIFIC CORPORATION,2015-12-31,10-K,2018-02-20,319000000.0,,-283000000.0,,,,,
32,BSX,BOSTON SCIENTIFIC CORPORATION,2014-12-31,10-K,2015-02-25,587000000.0,4200000000.0,-301000000.0,7462000000.0,,1327451966.0,,17042000000.0
33,BSX,BOSTON SCIENTIFIC CORPORATION,2014-12-31,10-K,2016-02-24,587000000.0,,-301000000.0,7462000000.0,,1327451966.0,,17024000000.0
34,BSX,BOSTON SCIENTIFIC CORPORATION,2014-12-31,10-K,2017-02-23,587000000.0,,-301000000.0,7462000000.0,,,,
28,BSX,BOSTON SCIENTIFIC CORPORATION,2013-12-31,10-K,2014-02-26,217000000.0,4200000000.0,120000000.0,,,1322296064.0,,16571000000.0
29,BSX,BOSTON SCIENTIFIC CORPORATION,2013-12-31,10-K,2015-02-25,217000000.0,,120000000.0,7072000000.0,,1322296064.0,,16571000000.0
30,BSX,BOSTON SCIENTIFIC CORPORATION,2013-12-31,10-K,2016-02-24,217000000.0,,120000000.0,7072000000.0,,,,
31,BSX,BOSTON SCIENTIFIC CORPORATION,2013-12-31,10-K,2017-02-23,217000000.0,,,,,,,
24,BSX,BOSTON SCIENTIFIC CORPORATION,2012-12-31,10-K,2013-02-22,207000000.0,4200000000.0,-3868000000.0,,,1355711656.0,,17154000000.0
25,BSX,BOSTON SCIENTIFIC CORPORATION,2012-12-31,10-K,2014-02-26,207000000.0,,-3868000000.0,,,1355711656.0,,17154000000.0
26,BSX,BOSTON SCIENTIFIC CORPORATION,2012-12-31,10-K,2015-02-25,207000000.0,,-3868000000.0,6958000000.0,,,,
27,BSX,BOSTON SCIENTIFIC CORPORATION,2012-12-31,10-K,2016-02-24,207000000.0,,,,,,,
20,BSX,BOSTON SCIENTIFIC CORPORATION,2011-12-31,10-K,2012-02-17,267000000.0,4200000000.0,904000000.0,,,1449055674.0,,21290000000.0
21,BSX,BOSTON SCIENTIFIC CORPORATION,2011-12-31,10-K,2013-02-22,267000000.0,,904000000.0,,,1449055674.0,,21290000000.0
22,BSX,BOSTON SCIENTIFIC CORPORATION,2011-12-31,10-K,2014-02-26,267000000.0,,904000000.0,,,,,
23,BSX,BOSTON SCIENTIFIC CORPORATION,2011-12-31,10-K,2015-02-25,267000000.0,,,,,,,
16,BSX,BOSTON SCIENTIFIC CORPORATION,2010-12-31,10-K,2011-02-17,213000000.0,5450000000.0,349000000.0,,,,,22128000000.0
17,BSX,BOSTON SCIENTIFIC CORPORATION,2010-12-31,10-K,2012-02-17,213000000.0,,-656000000.0,,,1520780112.0,,22128000000.0
18,BSX,BOSTON SCIENTIFIC CORPORATION,2010-12-31,10-K,2013-02-22,213000000.0,,-656000000.0,,,,,
19,BSX,BOSTON SCIENTIFIC CORPORATION,2010-12-31,10-K,2014-02-26,213000000.0,,,,,,,
15,BSX,BOSTON SCIENTIFIC CORPORATION,2010-09-30,10-K,2011-02-17,,,251000000.0,,,,,
14,BSX,BOSTON SCIENTIFIC CORPORATION,2010-06-30,10-K,2011-02-17,,,231000000.0,,,,,
13,BSX,BOSTON SCIENTIFIC CORPORATION,2010-03-31,10-K,2011-02-17,,,-1486000000.0,,,,,
9,BSX,BOSTON SCIENTIFIC CORPORATION,2009-12-31,10-K,2010-02-26,864000000.0,,-894000000.0,,,,,25177000000.0
10,BSX,BOSTON SCIENTIFIC CORPORATION,2009-12-31,10-K,2011-02-17,864000000.0,,-1231000000.0,,,,,25177000000.0
11,BSX,BOSTON SCIENTIFIC CORPORATION,2009-12-31,10-K,2012-02-17,864000000.0,,-894000000.0,,,,,
12,BSX,BOSTON SCIENTIFIC CORPORATION,2009-12-31,10-K,2013-02-22,864000000.0,,,,,,,
8,BSX,BOSTON SCIENTIFIC CORPORATION,2009-09-30,10-K,2011-02-17,,,51000000.0,,,,,
7,BSX,BOSTON SCIENTIFIC CORPORATION,2009-06-30,10-K,2011-02-17,,,275000000.0,,,,,
6,BSX,BOSTON SCIENTIFIC CORPORATION,2009-03-31,10-K,2011-02-17,,,11000000.0,,,,,
3,BSX,BOSTON SCIENTIFIC CORPORATION,2008-12-31,10-K,2010-02-26,1641000000.0,,-1505000000.0,,,,,27139000000.0
4,BSX,BOSTON SCIENTIFIC CORPORATION,2008-12-31,10-K,2011-02-17,1641000000.0,,-1505000000.0,,,,,
5,BSX,BOSTON SCIENTIFIC CORPORATION,2008-12-31,10-K,2012-02-17,1641000000.0,,,,,,,
1,BSX,BOSTON SCIENTIFIC CORPORATION,2007-12-31,10-K,2010-02-26,1452000000.0,,-14000000.0,,,,,
2,BSX,BOSTON SCIENTIFIC CORPORATION,2007-12-31,10-K,2011-02-17,1452000000.0,,,,,,,
0,BSX,BOSTON SCIENTIFIC CORPORATION,2006-12-31,10-K,2010-02-26,1668000000.0,,,,,,,
