,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets,total_liabilities
101,CAG,"Conagra Brands, Inc.",2020-05-31,10-K,2022-07-21,,,840100000.0,1815600000.0,,11054400000.0,,,
98,CAG,"Conagra Brands, Inc.",2020-02-23,10-K,2020-07-24,,,204400000.0,,,2555000000.0,,,
97,CAG,"Conagra Brands, Inc.",2019-11-24,10-K,2020-07-24,,,260500000.0,,,2820800000.0,,,
96,CAG,"Conagra Brands, Inc.",2019-08-25,10-K,2020-07-24,,,173800000.0,,,2390700000.0,,,
93,CAG,"Conagra Brands, Inc.",2019-05-26,10-K,2019-07-19,236600000.0,10680000000.0,126500000.0,1641800000.0,,2613200000.0,7384600000.0,22213800000.0,14750100000.0
94,CAG,"Conagra Brands, Inc.",2019-05-26,10-K,2020-07-24,236600000.0,10680000000.0,126500000.0,1641800000.0,,2613200000.0,7384600000.0,22213800000.0,14750100000.0
95,CAG,"Conagra Brands, Inc.",2019-05-26,10-K,2021-07-23,,,678300000.0,1641800000.0,,9538400000.0,,,
91,CAG,"Conagra Brands, Inc.",2019-02-24,10-K,2019-07-19,,,242000000.0,,,2707100000.0,,,
92,CAG,"Conagra Brands, Inc.",2019-02-24,10-K,2020-07-24,,,242000000.0,,,2707100000.0,,,
89,CAG,"Conagra Brands, Inc.",2018-11-25,10-K,2019-07-19,,,131600000.0,,,2383700000.0,,,
90,CAG,"Conagra Brands, Inc.",2018-11-25,10-K,2020-07-24,,,131600000.0,,,2383700000.0,,,
87,CAG,"Conagra Brands, Inc.",2018-08-26,10-K,2019-07-19,,,178200000.0,,,1834400000.0,,,
88,CAG,"Conagra Brands, Inc.",2018-08-26,10-K,2020-07-24,,,178200000.0,,,1834400000.0,,,
84,CAG,"Conagra Brands, Inc.",2018-05-27,10-K,2018-07-20,128000000.0,3540000000.0,69600000.0,1412500000.0,,,3676200000.0,10389500000.0,6632900000.0
