,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
75,ALB,ALBEMARLE CORPORATION,2017-06-30,10-K,2018-02-28,,,103333000.0,,,,,
76,ALB,ALBEMARLE CORPORATION,2017-06-30,10-K,2019-02-27,,,103333000.0,,737258000.0,,,
73,ALB,ALBEMARLE CORPORATION,2017-03-31,10-K,2018-02-28,,,51213000.0,,,,,
74,ALB,ALBEMARLE CORPORATION,2017-03-31,10-K,2019-02-27,,,51213000.0,,722063000.0,,,
69,ALB,ALBEMARLE CORPORATION,2016-12-31,10-K,2017-02-28,2269756000.0,2369262000.0,602090000.0,574551000.0,,112524000.0,3795062000.0,8161207000.0
70,ALB,ALBEMARLE CORPORATION,2016-12-31,10-K,2018-02-28,2269756000.0,2369262000.0,602090000.0,574551000.0,,112524000.0,3795062000.0,8161207000.0
71,ALB,ALBEMARLE CORPORATION,2016-12-31,10-K,2019-02-27,2269756000.0,,643675000.0,600980000.0,2677203000.0,,,8161207000.0
72,ALB,ALBEMARLE CORPORATION,2016-12-31,10-K,2020-02-26,2269756000.0,,,,,,,
67,ALB,ALBEMARLE CORPORATION,2016-09-30,10-K,2017-02-28,,,128220000.0,,,,,
68,ALB,ALBEMARLE CORPORATION,2016-09-30,10-K,2018-02-28,,,128220000.0,,,,,
65,ALB,ALBEMARLE CORPORATION,2016-06-30,10-K,2017-02-28,,,-314821000.0,,,,,
66,ALB,ALBEMARLE CORPORATION,2016-06-30,10-K,2018-02-28,,,-314821000.0,,,,,
63,ALB,ALBEMARLE CORPORATION,2016-03-31,10-K,2017-02-28,,,228186000.0,,,,,
64,ALB,ALBEMARLE CORPORATION,2016-03-31,10-K,2018-02-28,,,228186000.0,,,,,
59,ALB,ALBEMARLE CORPORATION,2015-12-31,10-K,2016-02-29,213734000.0,,174252000.0,442435000.0,,112219000.0,3254392000.0,9615014000.0
60,ALB,ALBEMARLE CORPORATION,2015-12-31,10-K,2017-02-28,213734000.0,3817157000.0,174252000.0,345111000.0,,112219000.0,3254392000.0,9597954000.0
61,ALB,ALBEMARLE CORPORATION,2015-12-31,10-K,2018-02-28,213734000.0,,334906000.0,345111000.0,,,,9597954000.0
62,ALB,ALBEMARLE CORPORATION,2015-12-31,10-K,2019-02-27,213734000.0,,,,,,,
57,ALB,ALBEMARLE CORPORATION,2015-09-30,10-K,2016-02-29,,,65392000.0,,,,,
58,ALB,ALBEMARLE CORPORATION,2015-09-30,10-K,2017-02-28,,,65392000.0,,,,,
55,ALB,ALBEMARLE CORPORATION,2015-06-30,10-K,2016-02-29,,,52147000.0,,,,,
56,ALB,ALBEMARLE CORPORATION,2015-06-30,10-K,2017-02-28,,,52147000.0,,,,,
53,ALB,ALBEMARLE CORPORATION,2015-03-31,10-K,2016-02-29,,,43115000.0,,,,,
54,ALB,ALBEMARLE CORPORATION,2015-03-31,10-K,2017-02-28,,,43115000.0,,,,,
49,ALB,ALBEMARLE CORPORATION,2014-12-31,10-K,2015-03-02,2489768000.0,2934131000.0,-18508000.0,271298000.0,,78031000.0,1359465000.0,5223103000.0
50,ALB,ALBEMARLE CORPORATION,2014-12-31,10-K,2016-02-29,2489768000.0,,-18508000.0,271298000.0,,78031000.0,1359465000.0,5223103000.0
51,ALB,ALBEMARLE CORPORATION,2014-12-31,10-K,2017-02-28,2489768000.0,,133316000.0,271298000.0,,,,5202437000.0
52,ALB,ALBEMARLE CORPORATION,2014-12-31,10-K,2018-02-28,2489768000.0,,,,,,,
47,ALB,ALBEMARLE CORPORATION,2014-09-30,10-K,2015-03-02,,,72794000.0,,,,,
48,ALB,ALBEMARLE CORPORATION,2014-09-30,10-K,2016-02-29,,,72794000.0,,,,,
45,ALB,ALBEMARLE CORPORATION,2014-06-30,10-K,2015-03-02,,,22447000.0,,,,,
46,ALB,ALBEMARLE CORPORATION,2014-06-30,10-K,2016-02-29,,,22447000.0,,,,,
43,ALB,ALBEMARLE CORPORATION,2014-03-31,10-K,2015-03-02,,,56583000.0,,,,,
44,ALB,ALBEMARLE CORPORATION,2014-03-31,10-K,2016-02-29,,,56583000.0,,,,,
39,ALB,ALBEMARLE CORPORATION,2013-12-31,10-K,2014-02-25,477239000.0,1078864000.0,155933000.0,582909000.0,,80053000.0,1627361000.0,3584797000.0
40,ALB,ALBEMARLE CORPORATION,2013-12-31,10-K,2015-03-02,477239000.0,1078864000.0,155933000.0,576675000.0,,80053000.0,1627361000.0,3584797000.0
41,ALB,ALBEMARLE CORPORATION,2013-12-31,10-K,2016-02-29,477239000.0,,413171000.0,576675000.0,,,,3584797000.0
42,ALB,ALBEMARLE CORPORATION,2013-12-31,10-K,2017-02-28,477239000.0,,,,,,,
37,ALB,ALBEMARLE CORPORATION,2013-09-30,10-K,2014-02-25,,,90512000.0,,,,,
38,ALB,ALBEMARLE CORPORATION,2013-09-30,10-K,2015-03-02,,,90512000.0,,,,,
35,ALB,ALBEMARLE CORPORATION,2013-06-30,10-K,2014-02-25,,,82739000.0,,,,,
36,ALB,ALBEMARLE CORPORATION,2013-06-30,10-K,2015-03-02,,,82739000.0,,,,,
33,ALB,ALBEMARLE CORPORATION,2013-03-31,10-K,2014-02-25,,,83987000.0,,,,,
34,ALB,ALBEMARLE CORPORATION,2013-03-31,10-K,2015-03-02,,,83987000.0,,,,,
29,ALB,ALBEMARLE CORPORATION,2012-12-31,10-K,2013-02-15,477696000.0,699288000.0,37726000.0,406164000.0,,88899000.0,1833598000.0,3437291000.0
30,ALB,ALBEMARLE CORPORATION,2012-12-31,10-K,2014-02-25,477696000.0,699288000.0,37726000.0,406164000.0,,88899000.0,1833598000.0,3437291000.0
31,ALB,ALBEMARLE CORPORATION,2012-12-31,10-K,2015-03-02,477696000.0,,311536000.0,399783000.0,,,,3437291000.0
32,ALB,ALBEMARLE CORPORATION,2012-12-31,10-K,2016-02-29,477696000.0,,,,,,,
27,ALB,ALBEMARLE CORPORATION,2012-09-30,10-K,2013-02-15,,,109459000.0,,,,,
28,ALB,ALBEMARLE CORPORATION,2012-09-30,10-K,2014-02-25,,,109459000.0,,,,,
25,ALB,ALBEMARLE CORPORATION,2012-06-30,10-K,2013-02-15,,,50089000.0,,,,,
26,ALB,ALBEMARLE CORPORATION,2012-06-30,10-K,2014-02-25,,,50089000.0,,,,,
23,ALB,ALBEMARLE CORPORATION,2012-03-31,10-K,2013-02-15,,,114262000.0,,,,,
24,ALB,ALBEMARLE CORPORATION,2012-03-31,10-K,2014-02-25,,,114262000.0,,,,,
19,ALB,ALBEMARLE CORPORATION,2011-12-31,10-K,2012-02-22,469416000.0,763673000.0,99443000.0,587840000.0,,88841000.0,1591277000.0,3203824000.0
20,ALB,ALBEMARLE CORPORATION,2011-12-31,10-K,2013-02-15,469416000.0,763673000.0,45548000.0,517794000.0,,88841000.0,1591277000.0,3203824000.0
21,ALB,ALBEMARLE CORPORATION,2011-12-31,10-K,2014-02-25,469416000.0,,392114000.0,517794000.0,,,,3203824000.0
22,ALB,ALBEMARLE CORPORATION,2011-12-31,10-K,2015-03-02,469416000.0,,,,,,,
17,ALB,ALBEMARLE CORPORATION,2011-09-30,10-K,2012-02-22,,,116098000.0,,,,,
18,ALB,ALBEMARLE CORPORATION,2011-09-30,10-K,2013-02-15,,,120662000.0,,,,,
15,ALB,ALBEMARLE CORPORATION,2011-06-30,10-K,2012-02-22,,,114159000.0,,,,,
16,ALB,ALBEMARLE CORPORATION,2011-06-30,10-K,2013-02-15,,,114843000.0,,,,,
13,ALB,ALBEMARLE CORPORATION,2011-03-31,10-K,2012-02-22,,,106580000.0,,,,,
14,ALB,ALBEMARLE CORPORATION,2011-03-31,10-K,2013-02-15,,,111061000.0,,,,,
9,ALB,ALBEMARLE CORPORATION,2010-12-31,10-K,2011-02-25,529650000.0,,323720000.0,414848000.0,,91594000.0,1416074000.0,3068081000.0
10,ALB,ALBEMARLE CORPORATION,2010-12-31,10-K,2012-02-22,529650000.0,860910000.0,84972000.0,414848000.0,,91594000.0,1416074000.0,3068081000.0
11,ALB,ALBEMARLE CORPORATION,2010-12-31,10-K,2013-02-15,529650000.0,,315778000.0,401943000.0,,,,3068081000.0
12,ALB,ALBEMARLE CORPORATION,2010-12-31,10-K,2014-02-25,529650000.0,,,,,,,
8,ALB,ALBEMARLE CORPORATION,2010-09-30,10-K,2012-02-22,,,93689000.0,,,,,
7,ALB,ALBEMARLE CORPORATION,2010-06-30,10-K,2012-02-22,,,81751000.0,,,,,
6,ALB,ALBEMARLE CORPORATION,2010-03-31,10-K,2012-02-22,,,63308000.0,,,,,
3,ALB,ALBEMARLE CORPORATION,2009-12-31,10-K,2011-02-25,308791000.0,,178368000.0,186280000.0,,91509000.0,1205696000.0,2771557000.0
4,ALB,ALBEMARLE CORPORATION,2009-12-31,10-K,2012-02-22,308791000.0,,178368000.0,186280000.0,,,,2771557000.0
5,ALB,ALBEMARLE CORPORATION,2009-12-31,10-K,2013-02-15,308791000.0,,,,,,,
1,ALB,ALBEMARLE CORPORATION,2008-12-31,10-K,2011-02-25,253303000.0,,194202000.0,220917000.0,,,,
2,ALB,ALBEMARLE CORPORATION,2008-12-31,10-K,2012-02-22,253303000.0,,,,,,,
0,ALB,ALBEMARLE CORPORATION,2007-12-31,10-K,2011-02-25,130551000.0,,,,,,,
