,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets,total_liabilities
108,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2021-12-31,10-K,2023-02-23,403400000.0,33454500000.0,,3411300000.0,16792000000.0,,22433200000.0,87668700000.0,64945200000.0
109,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2021-12-31,10-K,2024-02-26,,,,3411300000.0,16792000000.0,,,,
104,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2020-12-31,10-K,2021-02-25,392700000.0,31072500000.0,,2987700000.0,14918500000.0,,20550900000.0,80757200000.0,59937500000.0
105,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2020-12-31,10-K,2022-02-24,392700000.0,31072500000.0,,2987700000.0,14918500000.0,,20550900000.0,80757200000.0,59937500000.0
106,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2020-12-31,10-K,2023-02-23,,,,2987700000.0,14918500000.0,,,,
101,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2019-12-31,10-K,2020-02-20,246800000.0,26725500000.0,,294700000.0,3616000000.0,,19632200000.0,75892300000.0,55870500000.0
102,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2019-12-31,10-K,2021-02-25,246800000.0,26725500000.0,,2592300000.0,15561400000.0,,19632200000.0,75892300000.0,55870500000.0
103,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2019-12-31,10-K,2022-02-24,,26725500000.0,,2592300000.0,15561400000.0,,,75892300000.0,
100,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2019-09-30,10-K,2020-02-20,,,,958200000.0,4315000000.0,,,,
99,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2019-06-30,10-K,2020-02-20,,,,551000000.0,3573600000.0,,,,
98,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2019-03-31,10-K,2020-02-20,,,,788400000.0,4056800000.0,,,,
95,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2018-12-31,10-K,2019-02-21,234100000.0,23346700000.0,,551100000.0,3801100000.0,,19028400000.0,68802800000.0,49634600000.0
96,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2018-12-31,10-K,2020-02-20,234100000.0,23346700000.0,,551100000.0,3801100000.0,,19028400000.0,68802800000.0,49634600000.0
97,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2018-12-31,10-K,2021-02-25,,,,2682700000.0,16195700000.0,,,68802800000.0,
93,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2018-09-30,10-K,2019-02-21,,,,668600000.0,4333100000.0,,,,
94,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2018-09-30,10-K,2020-02-20,,,,668600000.0,4333100000.0,,,,
91,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2018-06-30,10-K,2019-02-21,,,,757000000.0,4013200000.0,,,,
92,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2018-06-30,10-K,2020-02-20,,,,757000000.0,4013200000.0,,,,
89,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2018-03-31,10-K,2019-02-21,,,,706000000.0,4048300000.0,,,,
90,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2018-03-31,10-K,2020-02-20,,,,706000000.0,4048300000.0,,,,
86,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2017-12-31,10-K,2018-02-23,214600000.0,21173300000.0,,742200000.0,3810400000.0,,18287000000.0,64729100000.0,46403600000.0
87,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2017-12-31,10-K,2019-02-21,214600000.0,21173300000.0,,730900000.0,3810400000.0,,18287000000.0,64729100000.0,46403600000.0
88,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2017-12-31,10-K,2020-02-20,,,,3525000000.0,15424900000.0,,,64729100000.0,
84,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2017-09-30,10-K,2018-02-23,,,,986500000.0,4104700000.0,,,,
85,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2017-09-30,10-K,2019-02-21,,,,975100000.0,4104700000.0,,,,
