,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
60,CF,"CF INDUSTRIES HOLDINGS, INC.",2019-12-31,10-K,2022-02-24,,,,1003000000.0,4590000000.0,216023826.0,,
61,CF,"CF INDUSTRIES HOLDINGS, INC.",2019-12-31,10-K,2023-02-23,,,,,,216023826.0,,
57,CF,"CF INDUSTRIES HOLDINGS, INC.",2019-09-30,10-K,2020-02-24,,,,,1038000000.0,,,
56,CF,"CF INDUSTRIES HOLDINGS, INC.",2019-06-30,10-K,2020-02-24,,,,,1502000000.0,,,
55,CF,"CF INDUSTRIES HOLDINGS, INC.",2019-03-31,10-K,2020-02-24,,,,,1001000000.0,,,
51,CF,"CF INDUSTRIES HOLDINGS, INC.",2018-12-31,10-K,2019-02-22,682000000.0,4698000000.0,,766000000.0,1132000000.0,222818495.0,2958000000.0,12661000000.0
52,CF,"CF INDUSTRIES HOLDINGS, INC.",2018-12-31,10-K,2020-02-24,682000000.0,4698000000.0,,766000000.0,1132000000.0,222818495.0,2958000000.0,12661000000.0
53,CF,"CF INDUSTRIES HOLDINGS, INC.",2018-12-31,10-K,2021-02-24,,,,766000000.0,4429000000.0,222818495.0,,
54,CF,"CF INDUSTRIES HOLDINGS, INC.",2018-12-31,10-K,2022-02-24,,,,,,222818495.0,,
49,CF,"CF INDUSTRIES HOLDINGS, INC.",2018-09-30,10-K,2019-02-22,,,,,1040000000.0,,,
50,CF,"CF INDUSTRIES HOLDINGS, INC.",2018-09-30,10-K,2020-02-24,,,,,1040000000.0,,,
47,CF,"CF INDUSTRIES HOLDINGS, INC.",2018-06-30,10-K,2019-02-22,,,,,1300000000.0,,,
48,CF,"CF INDUSTRIES HOLDINGS, INC.",2018-06-30,10-K,2020-02-24,,,,,1300000000.0,,,
45,CF,"CF INDUSTRIES HOLDINGS, INC.",2018-03-31,10-K,2019-02-22,,,,,957000000.0,,,
46,CF,"CF INDUSTRIES HOLDINGS, INC.",2018-03-31,10-K,2020-02-24,,,,,957000000.0,,,
41,CF,"CF INDUSTRIES HOLDINGS, INC.",2017-12-31,10-K,2018-02-22,835000000.0,4692000000.0,,229000000.0,,233287089.0,3579000000.0,13463000000.0
42,CF,"CF INDUSTRIES HOLDINGS, INC.",2017-12-31,10-K,2019-02-22,835000000.0,4692000000.0,,234000000.0,1099000000.0,233287089.0,3579000000.0,13463000000.0
43,CF,"CF INDUSTRIES HOLDINGS, INC.",2017-12-31,10-K,2020-02-24,835000000.0,,,234000000.0,4130000000.0,233287089.0,,
44,CF,"CF INDUSTRIES HOLDINGS, INC.",2017-12-31,10-K,2021-02-24,,,,,,233287089.0,,
40,CF,"CF INDUSTRIES HOLDINGS, INC.",2017-09-30,10-K,2019-02-22,,,,,870000000.0,,,
39,CF,"CF INDUSTRIES HOLDINGS, INC.",2017-06-30,10-K,2019-02-22,,,,,1124000000.0,,,
38,CF,"CF INDUSTRIES HOLDINGS, INC.",2017-03-31,10-K,2019-02-22,,,,,1037000000.0,,,
34,CF,"CF INDUSTRIES HOLDINGS, INC.",2016-12-31,10-K,2017-02-23,1164000000.0,5778000000.0,,134000000.0,,233114169.0,3348000000.0,15131000000.0
35,CF,"CF INDUSTRIES HOLDINGS, INC.",2016-12-31,10-K,2018-02-22,1164000000.0,5778000000.0,,134000000.0,,233114169.0,3348000000.0,15131000000.0
36,CF,"CF INDUSTRIES HOLDINGS, INC.",2016-12-31,10-K,2019-02-22,1169000000.0,,,138000000.0,3685000000.0,233114169.0,,
37,CF,"CF INDUSTRIES HOLDINGS, INC.",2016-12-31,10-K,2020-02-24,1169000000.0,,,,,233114169.0,,
30,CF,"CF INDUSTRIES HOLDINGS, INC.",2015-12-31,10-K,2016-02-25,286000000.0,,,1193100000.0,,233081556.0,4035200000.0,12738900000.0
31,CF,"CF INDUSTRIES HOLDINGS, INC.",2015-12-31,10-K,2017-02-23,286000000.0,5537000000.0,,1193000000.0,,233081556.0,4035000000.0,12683000000.0
32,CF,"CF INDUSTRIES HOLDINGS, INC.",2015-12-31,10-K,2018-02-22,286000000.0,,,1193000000.0,,233081556.0,,
33,CF,"CF INDUSTRIES HOLDINGS, INC.",2015-12-31,10-K,2019-02-22,309000000.0,,,,,233081556.0,,
26,CF,"CF INDUSTRIES HOLDINGS, INC.",2014-12-31,10-K,2015-02-26,1996600000.0,4592500000.0,,2366500000.0,,48334610.0,4209700000.0,11338200000.0
27,CF,"CF INDUSTRIES HOLDINGS, INC.",2014-12-31,10-K,2016-02-25,1996600000.0,,,2366500000.0,,241673050.0,4209700000.0,11254200000.0
28,CF,"CF INDUSTRIES HOLDINGS, INC.",2014-12-31,10-K,2017-02-23,1997000000.0,,,2366000000.0,,241673050.0,,
29,CF,"CF INDUSTRIES HOLDINGS, INC.",2014-12-31,10-K,2018-02-22,1997000000.0,,,,,241673050.0,,
22,CF,"CF INDUSTRIES HOLDINGS, INC.",2013-12-31,10-K,2014-02-27,1710800000.0,3098100000.0,,2411700000.0,,55864813.0,5076100000.0,10678100000.0
23,CF,"CF INDUSTRIES HOLDINGS, INC.",2013-12-31,10-K,2015-02-26,1710800000.0,3098100000.0,,2411700000.0,,55848194.0,5076100000.0,10678100000.0
24,CF,"CF INDUSTRIES HOLDINGS, INC.",2013-12-31,10-K,2016-02-25,1710800000.0,,,2411700000.0,,279240970.0,,
25,CF,"CF INDUSTRIES HOLDINGS, INC.",2013-12-31,10-K,2017-02-23,1711000000.0,,,,,279240970.0,,
18,CF,"CF INDUSTRIES HOLDINGS, INC.",2012-12-31,10-K,2013-02-27,2274900000.0,1600000000.0,,2959400000.0,,62950688.0,5902200000.0,10166900000.0
19,CF,"CF INDUSTRIES HOLDINGS, INC.",2012-12-31,10-K,2014-02-27,2274900000.0,1600000000.0,,2959400000.0,,62950688.0,5902200000.0,10166900000.0
20,CF,"CF INDUSTRIES HOLDINGS, INC.",2012-12-31,10-K,2015-02-26,2274900000.0,,,2959400000.0,,62950688.0,,
21,CF,"CF INDUSTRIES HOLDINGS, INC.",2012-12-31,10-K,2016-02-25,2274900000.0,,,,,314753440.0,,
14,CF,"CF INDUSTRIES HOLDINGS, INC.",2011-12-31,10-K,2012-02-27,1207000000.0,1613000000.0,1539200000.0,2790500000.0,,65419989.0,4547000000.0,8974500000.0
15,CF,"CF INDUSTRIES HOLDINGS, INC.",2011-12-31,10-K,2013-02-27,1207000000.0,1613000000.0,,2790500000.0,,65419989.0,4547000000.0,8974500000.0
16,CF,"CF INDUSTRIES HOLDINGS, INC.",2011-12-31,10-K,2014-02-27,1207000000.0,,,2790500000.0,,65419989.0,,
17,CF,"CF INDUSTRIES HOLDINGS, INC.",2011-12-31,10-K,2015-02-26,1207000000.0,,,,,65419989.0,,
10,CF,"CF INDUSTRIES HOLDINGS, INC.",2010-12-31,10-K,2011-02-25,797700000.0,,349200000.0,895700000.0,,71267185.0,4050400000.0,8758500000.0
11,CF,"CF INDUSTRIES HOLDINGS, INC.",2010-12-31,10-K,2012-02-27,797700000.0,1954100000.0,349200000.0,895700000.0,,71267185.0,4050400000.0,8754000000.0
12,CF,"CF INDUSTRIES HOLDINGS, INC.",2010-12-31,10-K,2013-02-27,797700000.0,,,895700000.0,,71267185.0,,
13,CF,"CF INDUSTRIES HOLDINGS, INC.",2010-12-31,10-K,2014-02-27,797700000.0,,,,,71267185.0,,
6,CF,"CF INDUSTRIES HOLDINGS, INC.",2009-12-31,10-K,2010-02-25,697100000.0,,365600000.0,679800000.0,,48569985.0,1728900000.0,2494900000.0
7,CF,"CF INDUSTRIES HOLDINGS, INC.",2009-12-31,10-K,2011-02-25,697100000.0,,365600000.0,679800000.0,,48569985.0,1728900000.0,2494900000.0
8,CF,"CF INDUSTRIES HOLDINGS, INC.",2009-12-31,10-K,2012-02-27,697100000.0,,365600000.0,679800000.0,,48569985.0,,
9,CF,"CF INDUSTRIES HOLDINGS, INC.",2009-12-31,10-K,2013-02-27,697100000.0,,,,,48569985.0,,
3,CF,"CF INDUSTRIES HOLDINGS, INC.",2008-12-31,10-K,2010-02-25,625000000.0,,684600000.0,1150200000.0,,48391584.0,1338100000.0,2387600000.0
4,CF,"CF INDUSTRIES HOLDINGS, INC.",2008-12-31,10-K,2011-02-25,625000000.0,,684600000.0,1150200000.0,,,,
5,CF,"CF INDUSTRIES HOLDINGS, INC.",2008-12-31,10-K,2012-02-27,625000000.0,,,,,48391584.0,,
1,CF,"CF INDUSTRIES HOLDINGS, INC.",2007-12-31,10-K,2010-02-25,366500000.0,,372700000.0,601600000.0,,,,
2,CF,"CF INDUSTRIES HOLDINGS, INC.",2007-12-31,10-K,2011-02-25,366500000.0,,,,,,,
0,CF,"CF INDUSTRIES HOLDINGS, INC.",2006-12-31,10-K,2010-02-25,25400000.0,,,,,,,
