,ticker,company,end_date,form,filed,cash,eps_basic,eps_diluted,long_term_debt,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
105,AME,"AMETEK, Inc.",2019-12-31,10-K,2020-02-20,393030000.0,,,2768741000.0,220777000.0,297655000.0,,229100000.0,5115492000.0,9844559000.0,4729067000.0
106,AME,"AMETEK, Inc.",2019-12-31,10-K,2021-02-18,393030000.0,,,2768741000.0,861297000.0,1177380000.0,,229100000.0,5115492000.0,9844559000.0,4729067000.0
107,AME,"AMETEK, Inc.",2019-12-31,10-K,2022-02-22,,,,,861297000.0,1177380000.0,,,5115492000.0,,
104,AME,"AMETEK, Inc.",2019-09-30,10-K,2020-02-20,,,,,220749000.0,301056000.0,,,,,
103,AME,"AMETEK, Inc.",2019-06-30,10-K,2020-02-20,,,,,215503000.0,295410000.0,,,,,
102,AME,"AMETEK, Inc.",2019-03-31,10-K,2020-02-20,,,,,204268000.0,283259000.0,,,,,
99,AME,"AMETEK, Inc.",2018-12-31,10-K,2019-02-21,353975000.0,,,2632713000.0,211520000.0,282020000.0,,227100000.0,4241922000.0,8662288000.0,4420366000.0
100,AME,"AMETEK, Inc.",2018-12-31,10-K,2020-02-20,353975000.0,,,2632713000.0,211520000.0,282020000.0,,227100000.0,4241922000.0,8662288000.0,4420366000.0
101,AME,"AMETEK, Inc.",2018-12-31,10-K,2021-02-18,,,,,777933000.0,1075540000.0,,,4241922000.0,,
97,AME,"AMETEK, Inc.",2018-09-30,10-K,2019-02-21,,,,,191213000.0,265266000.0,,,,,
98,AME,"AMETEK, Inc.",2018-09-30,10-K,2020-02-20,,,,,191213000.0,265266000.0,,,,,
95,AME,"AMETEK, Inc.",2018-06-30,10-K,2019-02-21,,,,,193860000.0,270086000.0,,,,,
96,AME,"AMETEK, Inc.",2018-06-30,10-K,2020-02-20,,,,,193860000.0,270086000.0,,,,,
93,AME,"AMETEK, Inc.",2018-03-31,10-K,2019-02-21,,,,,181340000.0,258168000.0,,,,,
94,AME,"AMETEK, Inc.",2018-03-31,10-K,2020-02-20,,,,,181340000.0,258168000.0,,,,,
90,AME,"AMETEK, Inc.",2017-12-31,10-K,2018-02-22,646300000.0,,,2174289000.0,238532000.0,229580000.0,,231200000.0,4027633000.0,7796064000.0,3768431000.0
91,AME,"AMETEK, Inc.",2017-12-31,10-K,2019-02-21,646300000.0,,,2174289000.0,238532000.0,226586000.0,,231200000.0,4027633000.0,7796064000.0,3768431000.0
92,AME,"AMETEK, Inc.",2017-12-31,10-K,2020-02-20,646300000.0,,,,681470000.0,903620000.0,,,4027633000.0,,
