,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
59,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2016-06-30,10-K,2016-08-09,727700000.0,1022500000.0,,270300000.0,974500000.0,,118300000.0,1045500000.0,2879800000.0,1834300000.0
60,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2016-06-30,10-K,2017-08-10,727700000.0,1015500000.0,,270300000.0,974500000.0,,118300000.0,1045500000.0,2872700000.0,1827300000.0
61,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2016-06-30,10-K,2018-08-07,727700000.0,,,,,2897000000.0,,1045500000.0,2872700000.0,
62,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2016-06-30,10-K,2019-08-06,727700000.0,,,,,,,1045500000.0,,
57,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2016-03-31,10-K,2016-08-09,,,,100600000.0,688800000.0,,,,,
58,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2016-03-31,10-K,2017-08-10,,,,100600000.0,688800000.0,,,,,
55,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2015-12-31,10-K,2016-08-09,,,,70200000.0,638900000.0,,,,,
56,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2015-12-31,10-K,2017-08-10,,,,70200000.0,638900000.0,,,,,
53,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2015-09-30,10-K,2016-08-09,,,,59100000.0,594700000.0,,,,,
54,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2015-09-30,10-K,2017-08-10,,,,59100000.0,594700000.0,,,,,
49,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2015-06-30,10-K,2015-08-07,324100000.0,689400000.0,,438900000.0,929600000.0,,118200000.0,927800000.0,2368100000.0,1440300000.0
50,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2015-06-30,10-K,2016-08-09,324100000.0,689400000.0,,261800000.0,929600000.0,,118200000.0,927800000.0,2368100000.0,1440300000.0
51,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2015-06-30,10-K,2017-08-10,324100000.0,,,,2694200000.0,,,927800000.0,2364800000.0,
52,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2015-06-30,10-K,2018-08-07,324100000.0,,,,,,,927800000.0,,
47,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2015-03-31,10-K,2015-08-07,,,,,634200000.0,,,,,
48,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2015-03-31,10-K,2016-08-09,,,,89000000.0,634200000.0,,,,,
45,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2014-12-31,10-K,2015-08-07,,,,,574600000.0,,,,,
46,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2014-12-31,10-K,2016-08-09,,,,59100000.0,574600000.0,,,,,
43,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2014-09-30,10-K,2015-08-07,,,,,555800000.0,,,,,
44,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2014-09-30,10-K,2016-08-09,,,,57100000.0,555800000.0,,,,,
39,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2014-06-30,10-K,2014-08-07,347600000.0,524100000.0,,,885900000.0,,119500000.0,961700000.0,2192100000.0,1230400000.0
40,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2014-06-30,10-K,2015-08-07,347600000.0,524100000.0,,395500000.0,885900000.0,,119500000.0,961700000.0,2192100000.0,1230400000.0
41,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2014-06-30,10-K,2016-08-09,347600000.0,,,395500000.0,2558000000.0,,,961700000.0,2192100000.0,
42,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2014-06-30,10-K,2017-08-10,347600000.0,,,,,,,961700000.0,,
37,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2014-03-31,10-K,2014-08-07,,,,,606300000.0,,,,,
38,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2014-03-31,10-K,2015-08-07,,,,,606300000.0,,,,,
35,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2013-12-31,10-K,2014-08-07,,,,,520600000.0,,,,,
36,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2013-12-31,10-K,2015-08-07,,,,,520600000.0,,,,,
33,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2013-09-30,10-K,2014-08-07,,,,,545200000.0,,,,,
34,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2013-09-30,10-K,2015-08-07,,,,,545200000.0,,,,,
29,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2013-06-30,10-K,2013-08-08,266000000.0,524500000.0,212100000.0,323200000.0,865100000.0,,119000000.0,816000000.0,2018200000.0,1202200000.0
30,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2013-06-30,10-K,2014-08-07,266000000.0,524500000.0,,,865100000.0,,119000000.0,816000000.0,2018200000.0,1202200000.0
31,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2013-06-30,10-K,2015-08-07,266000000.0,,,323200000.0,2430800000.0,,,816000000.0,2018200000.0,
32,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2013-06-30,10-K,2016-08-09,266000000.0,,,,,,,816000000.0,,
27,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2013-03-31,10-K,2013-08-08,,,,,576700000.0,,,,,
28,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2013-03-31,10-K,2014-08-07,,,,,576700000.0,,,,,
25,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2012-12-31,10-K,2013-08-08,,,,,493200000.0,,,,,
26,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2012-12-31,10-K,2014-08-07,,,,,493200000.0,,,,,
23,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2012-09-30,10-K,2013-08-08,,,,,495800000.0,,,,,
24,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2012-09-30,10-K,2014-08-07,,,,,495800000.0,,,,,
19,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2012-06-30,10-K,2012-08-09,320500000.0,524400000.0,,200900000.0,800300000.0,,124800000.0,850500000.0,1987600000.0,1137100000.0
20,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2012-06-30,10-K,2013-08-08,320500000.0,524400000.0,123600000.0,200900000.0,800300000.0,,124800000.0,850500000.0,1987600000.0,1137100000.0
21,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2012-06-30,10-K,2014-08-07,320500000.0,,,,2303500000.0,,,850500000.0,1987600000.0,
22,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2012-06-30,10-K,2015-08-07,320500000.0,,,,,,,850500000.0,,
17,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2012-03-31,10-K,2012-08-09,,,,,547000000.0,,,,,
18,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2012-03-31,10-K,2013-08-08,,,,,547000000.0,,,,,
15,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2011-12-31,10-K,2012-08-09,,,,,479800000.0,,,,,
16,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2011-12-31,10-K,2013-08-08,,,,,479800000.0,,,,,
13,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2011-09-30,10-K,2012-08-09,,,,,476400000.0,,,,,
