,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets
101,AMD,"ADVANCED MICRO DEVICES, INC.",2020-09-26,10-K,2021-01-29,,,390000000.0,449000000.0,2801000000.0,,,
100,AMD,"ADVANCED MICRO DEVICES, INC.",2020-06-27,10-K,2021-01-29,,,157000000.0,173000000.0,1932000000.0,,,
99,AMD,"ADVANCED MICRO DEVICES, INC.",2020-03-28,10-K,2021-01-29,,,162000000.0,177000000.0,1786000000.0,,,
96,AMD,"ADVANCED MICRO DEVICES, INC.",2019-12-28,10-K,2020-02-04,1466000000.0,486000000.0,170000000.0,348000000.0,2127000000.0,1170000000.0,2827000000.0,6028000000.0
97,AMD,"ADVANCED MICRO DEVICES, INC.",2019-12-28,10-K,2021-01-29,1466000000.0,486000000.0,170000000.0,348000000.0,2127000000.0,1170000000.0,2827000000.0,6028000000.0
98,AMD,"ADVANCED MICRO DEVICES, INC.",2019-12-28,10-K,2022-02-03,1466000000.0,,341000000.0,631000000.0,6731000000.0,,2827000000.0,
94,AMD,"ADVANCED MICRO DEVICES, INC.",2019-09-28,10-K,2020-02-04,,,120000000.0,186000000.0,1801000000.0,,,
95,AMD,"ADVANCED MICRO DEVICES, INC.",2019-09-28,10-K,2021-01-29,,,120000000.0,186000000.0,1801000000.0,,,
92,AMD,"ADVANCED MICRO DEVICES, INC.",2019-06-29,10-K,2020-02-04,,,35000000.0,59000000.0,1531000000.0,,,
93,AMD,"ADVANCED MICRO DEVICES, INC.",2019-06-29,10-K,2021-01-29,,,35000000.0,59000000.0,1531000000.0,,,
90,AMD,"ADVANCED MICRO DEVICES, INC.",2019-03-30,10-K,2020-02-04,,,16000000.0,38000000.0,1272000000.0,,,
91,AMD,"ADVANCED MICRO DEVICES, INC.",2019-03-30,10-K,2021-01-29,,,16000000.0,38000000.0,1272000000.0,,,
87,AMD,"ADVANCED MICRO DEVICES, INC.",2018-12-29,10-K,2019-02-08,1078000000.0,1250000000.0,38000000.0,28000000.0,1419000000.0,1005000000.0,1266000000.0,4556000000.0
88,AMD,"ADVANCED MICRO DEVICES, INC.",2018-12-29,10-K,2020-02-04,1078000000.0,1250000000.0,38000000.0,28000000.0,1419000000.0,1005000000.0,1266000000.0,4556000000.0
89,AMD,"ADVANCED MICRO DEVICES, INC.",2018-12-29,10-K,2021-01-29,1078000000.0,,337000000.0,451000000.0,6475000000.0,,1266000000.0,
85,AMD,"ADVANCED MICRO DEVICES, INC.",2018-09-29,10-K,2019-02-08,,,102000000.0,150000000.0,1653000000.0,,,
86,AMD,"ADVANCED MICRO DEVICES, INC.",2018-09-29,10-K,2020-02-04,,,102000000.0,150000000.0,1653000000.0,,,
83,AMD,"ADVANCED MICRO DEVICES, INC.",2018-06-30,10-K,2019-02-08,,,116000000.0,153000000.0,1756000000.0,,,
84,AMD,"ADVANCED MICRO DEVICES, INC.",2018-06-30,10-K,2020-02-04,,,116000000.0,153000000.0,1756000000.0,,,
81,AMD,"ADVANCED MICRO DEVICES, INC.",2018-03-31,10-K,2019-02-08,,,81000000.0,120000000.0,1647000000.0,,,
82,AMD,"ADVANCED MICRO DEVICES, INC.",2018-03-31,10-K,2020-02-04,,,81000000.0,120000000.0,1647000000.0,,,
78,AMD,"ADVANCED MICRO DEVICES, INC.",2017-12-30,10-K,2018-02-27,1185000000.0,1395000000.0,61000000.0,82000000.0,,967000000.0,611000000.0,3540000000.0
79,AMD,"ADVANCED MICRO DEVICES, INC.",2017-12-30,10-K,2019-02-08,1185000000.0,1395000000.0,-19000000.0,-2000000.0,1340000000.0,967000000.0,596000000.0,3552000000.0
80,AMD,"ADVANCED MICRO DEVICES, INC.",2017-12-30,10-K,2020-02-04,1185000000.0,,-33000000.0,127000000.0,5253000000.0,,596000000.0,
76,AMD,"ADVANCED MICRO DEVICES, INC.",2017-09-30,10-K,2018-02-27,,,71000000.0,126000000.0,,,,
77,AMD,"ADVANCED MICRO DEVICES, INC.",2017-09-30,10-K,2019-02-08,,,61000000.0,119000000.0,1584000000.0,,,
74,AMD,"ADVANCED MICRO DEVICES, INC.",2017-07-01,10-K,2018-02-27,,,-16000000.0,25000000.0,,,,
75,AMD,"ADVANCED MICRO DEVICES, INC.",2017-07-01,10-K,2019-02-08,,,-42000000.0,-1000000.0,1151000000.0,,,
72,AMD,"ADVANCED MICRO DEVICES, INC.",2017-04-01,10-K,2018-02-27,,,-73000000.0,-29000000.0,,,,
73,AMD,"ADVANCED MICRO DEVICES, INC.",2017-04-01,10-K,2019-02-08,,,-33000000.0,11000000.0,1178000000.0,,,
69,AMD,"ADVANCED MICRO DEVICES, INC.",2016-12-31,10-K,2017-02-21,1264000000.0,1435000000.0,-497000000.0,-3000000.0,,935000000.0,416000000.0,3321000000.0
70,AMD,"ADVANCED MICRO DEVICES, INC.",2016-12-31,10-K,2018-02-27,1264000000.0,1435000000.0,-51000000.0,-3000000.0,,935000000.0,416000000.0,3321000000.0
71,AMD,"ADVANCED MICRO DEVICES, INC.",2016-12-31,10-K,2019-02-08,1264000000.0,,-498000000.0,-373000000.0,4319000000.0,,477000000.0,
67,AMD,"ADVANCED MICRO DEVICES, INC.",2016-09-24,10-K,2017-02-21,,,,-293000000.0,,,,
68,AMD,"ADVANCED MICRO DEVICES, INC.",2016-09-24,10-K,2018-02-27,,,-406000000.0,-293000000.0,,,,
65,AMD,"ADVANCED MICRO DEVICES, INC.",2016-06-25,10-K,2017-02-21,,,,-8000000.0,,,,
66,AMD,"ADVANCED MICRO DEVICES, INC.",2016-06-25,10-K,2018-02-27,,,69000000.0,-8000000.0,,,,
63,AMD,"ADVANCED MICRO DEVICES, INC.",2016-03-26,10-K,2017-02-21,,,,-68000000.0,,,,
64,AMD,"ADVANCED MICRO DEVICES, INC.",2016-03-26,10-K,2018-02-27,,,-109000000.0,-68000000.0,,,,
59,AMD,"ADVANCED MICRO DEVICES, INC.",2015-12-26,10-K,2016-02-18,785000000.0,,-102000000.0,-49000000.0,,792000000.0,-412000000.0,3109000000.0
60,AMD,"ADVANCED MICRO DEVICES, INC.",2015-12-26,10-K,2017-02-21,785000000.0,2237000000.0,-660000000.0,-49000000.0,,792000000.0,-412000000.0,3084000000.0
61,AMD,"ADVANCED MICRO DEVICES, INC.",2015-12-26,10-K,2018-02-27,785000000.0,,-660000000.0,-481000000.0,,,-412000000.0,
62,AMD,"ADVANCED MICRO DEVICES, INC.",2015-12-26,10-K,2019-02-08,,,,,,,-350000000.0,
57,AMD,"ADVANCED MICRO DEVICES, INC.",2015-09-26,10-K,2016-02-18,,,-197000000.0,-158000000.0,,,,
58,AMD,"ADVANCED MICRO DEVICES, INC.",2015-09-26,10-K,2017-02-21,,,,-158000000.0,,,,
55,AMD,"ADVANCED MICRO DEVICES, INC.",2015-06-27,10-K,2016-02-18,,,-181000000.0,-137000000.0,,,,
56,AMD,"ADVANCED MICRO DEVICES, INC.",2015-06-27,10-K,2017-02-21,,,,-137000000.0,,,,
53,AMD,"ADVANCED MICRO DEVICES, INC.",2015-03-28,10-K,2016-02-18,,,-180000000.0,-137000000.0,,,,
54,AMD,"ADVANCED MICRO DEVICES, INC.",2015-03-28,10-K,2017-02-21,,,,-137000000.0,,,,
49,AMD,"ADVANCED MICRO DEVICES, INC.",2014-12-27,10-K,2015-02-19,805000000.0,,-364000000.0,-330000000.0,,,187000000.0,3767000000.0
50,AMD,"ADVANCED MICRO DEVICES, INC.",2014-12-27,10-K,2016-02-18,805000000.0,,-364000000.0,-330000000.0,,776000000.0,187000000.0,3767000000.0
51,AMD,"ADVANCED MICRO DEVICES, INC.",2014-12-27,10-K,2017-02-21,805000000.0,,-403000000.0,-155000000.0,,,187000000.0,
52,AMD,"ADVANCED MICRO DEVICES, INC.",2014-12-27,10-K,2018-02-27,805000000.0,,,,,,187000000.0,
47,AMD,"ADVANCED MICRO DEVICES, INC.",2014-09-27,10-K,2015-02-19,,,17000000.0,63000000.0,,,,
48,AMD,"ADVANCED MICRO DEVICES, INC.",2014-09-27,10-K,2016-02-18,,,17000000.0,63000000.0,,,,
45,AMD,"ADVANCED MICRO DEVICES, INC.",2014-06-28,10-K,2015-02-19,,,-36000000.0,63000000.0,,,,
46,AMD,"ADVANCED MICRO DEVICES, INC.",2014-06-28,10-K,2016-02-18,,,-36000000.0,63000000.0,,,,
43,AMD,"ADVANCED MICRO DEVICES, INC.",2014-03-29,10-K,2015-02-19,,,-20000000.0,49000000.0,,,,
44,AMD,"ADVANCED MICRO DEVICES, INC.",2014-03-29,10-K,2016-02-18,,,-20000000.0,49000000.0,,,,
39,AMD,"ADVANCED MICRO DEVICES, INC.",2013-12-28,10-K,2014-02-18,869000000.0,,89000000.0,135000000.0,,,544000000.0,4337000000.0
40,AMD,"ADVANCED MICRO DEVICES, INC.",2013-12-28,10-K,2015-02-19,869000000.0,,89000000.0,135000000.0,,,544000000.0,4337000000.0
41,AMD,"ADVANCED MICRO DEVICES, INC.",2013-12-28,10-K,2016-02-18,869000000.0,,-83000000.0,103000000.0,,,544000000.0,
42,AMD,"ADVANCED MICRO DEVICES, INC.",2013-12-28,10-K,2017-02-21,869000000.0,,,,,,544000000.0,
37,AMD,"ADVANCED MICRO DEVICES, INC.",2013-09-28,10-K,2014-02-18,,,48000000.0,95000000.0,,,,
38,AMD,"ADVANCED MICRO DEVICES, INC.",2013-09-28,10-K,2015-02-19,,,48000000.0,95000000.0,,,,
35,AMD,"ADVANCED MICRO DEVICES, INC.",2013-06-29,10-K,2014-02-18,,,-74000000.0,-29000000.0,,,,
36,AMD,"ADVANCED MICRO DEVICES, INC.",2013-06-29,10-K,2015-02-19,,,-74000000.0,-29000000.0,,,,
33,AMD,"ADVANCED MICRO DEVICES, INC.",2013-03-30,10-K,2014-02-18,,,-146000000.0,-98000000.0,,,,
34,AMD,"ADVANCED MICRO DEVICES, INC.",2013-03-30,10-K,2015-02-19,,,-146000000.0,-98000000.0,,,,
29,AMD,"ADVANCED MICRO DEVICES, INC.",2012-12-29,10-K,2013-02-21,549000000.0,,-473000000.0,-422000000.0,,,538000000.0,4000000000.0
30,AMD,"ADVANCED MICRO DEVICES, INC.",2012-12-29,10-K,2014-02-18,549000000.0,,-473000000.0,-422000000.0,,,538000000.0,4000000000.0
31,AMD,"ADVANCED MICRO DEVICES, INC.",2012-12-29,10-K,2015-02-19,549000000.0,,-1183000000.0,-1056000000.0,,,538000000.0,
32,AMD,"ADVANCED MICRO DEVICES, INC.",2012-12-29,10-K,2016-02-18,549000000.0,,,,,,538000000.0,
27,AMD,"ADVANCED MICRO DEVICES, INC.",2012-09-29,10-K,2013-02-21,,,-157000000.0,-131000000.0,,,,
28,AMD,"ADVANCED MICRO DEVICES, INC.",2012-09-29,10-K,2014-02-18,,,-157000000.0,-131000000.0,,,,
25,AMD,"ADVANCED MICRO DEVICES, INC.",2012-06-30,10-K,2013-02-21,,,37000000.0,77000000.0,,,,
26,AMD,"ADVANCED MICRO DEVICES, INC.",2012-06-30,10-K,2014-02-18,,,37000000.0,77000000.0,,,,
23,AMD,"ADVANCED MICRO DEVICES, INC.",2012-03-31,10-K,2013-02-21,,,-590000000.0,-580000000.0,,,,
24,AMD,"ADVANCED MICRO DEVICES, INC.",2012-03-31,10-K,2014-02-18,,,-590000000.0,-580000000.0,,,,
19,AMD,"ADVANCED MICRO DEVICES, INC.",2011-12-31,10-K,2012-02-24,869000000.0,2065000000.0,,71000000.0,,698000000.0,1590000000.0,4954000000.0
20,AMD,"ADVANCED MICRO DEVICES, INC.",2011-12-31,10-K,2013-02-21,869000000.0,,-177000000.0,71000000.0,,,1590000000.0,4954000000.0
21,AMD,"ADVANCED MICRO DEVICES, INC.",2011-12-31,10-K,2014-02-18,869000000.0,,491000000.0,368000000.0,,,1590000000.0,
22,AMD,"ADVANCED MICRO DEVICES, INC.",2011-12-31,10-K,2015-02-19,869000000.0,,,,,,1590000000.0,
17,AMD,"ADVANCED MICRO DEVICES, INC.",2011-10-01,10-K,2012-02-24,,,,138000000.0,,,,
18,AMD,"ADVANCED MICRO DEVICES, INC.",2011-10-01,10-K,2013-02-21,,,97000000.0,138000000.0,,,,
15,AMD,"ADVANCED MICRO DEVICES, INC.",2011-07-02,10-K,2012-02-24,,,,105000000.0,,,,
16,AMD,"ADVANCED MICRO DEVICES, INC.",2011-07-02,10-K,2013-02-21,,,61000000.0,105000000.0,,,,
13,AMD,"ADVANCED MICRO DEVICES, INC.",2011-04-02,10-K,2012-02-24,,,,54000000.0,,,,
14,AMD,"ADVANCED MICRO DEVICES, INC.",2011-04-02,10-K,2013-02-21,,,510000000.0,54000000.0,,,,
9,AMD,"ADVANCED MICRO DEVICES, INC.",2010-12-25,10-K,2011-02-18,606000000.0,,,848000000.0,,683000000.0,1013000000.0,4964000000.0
10,AMD,"ADVANCED MICRO DEVICES, INC.",2010-12-25,10-K,2012-02-24,606000000.0,,,413000000.0,,683000000.0,1013000000.0,4964000000.0
11,AMD,"ADVANCED MICRO DEVICES, INC.",2010-12-25,10-K,2013-02-21,,,471000000.0,848000000.0,,,1013000000.0,
12,AMD,"ADVANCED MICRO DEVICES, INC.",2010-12-25,10-K,2014-02-18,606000000.0,,,,,,1013000000.0,
8,AMD,"ADVANCED MICRO DEVICES, INC.",2010-09-25,10-K,2012-02-24,,,,128000000.0,,,,
7,AMD,"ADVANCED MICRO DEVICES, INC.",2010-06-26,10-K,2012-02-24,,,,125000000.0,,,,
6,AMD,"ADVANCED MICRO DEVICES, INC.",2010-03-27,10-K,2012-02-24,,,,182000000.0,,,,
3,AMD,"ADVANCED MICRO DEVICES, INC.",2009-12-26,10-K,2011-02-18,1657000000.0,,,664000000.0,,671000000.0,648000000.0,9078000000.0
4,AMD,"ADVANCED MICRO DEVICES, INC.",2009-12-26,10-K,2012-02-24,1657000000.0,,,664000000.0,,,648000000.0,
5,AMD,"ADVANCED MICRO DEVICES, INC.",2009-12-26,10-K,2013-02-21,,,,,,,648000000.0,
1,AMD,"ADVANCED MICRO DEVICES, INC.",2008-12-27,10-K,2011-02-18,933000000.0,,,-1955000000.0,,,127000000.0,
2,AMD,"ADVANCED MICRO DEVICES, INC.",2008-12-27,10-K,2012-02-24,933000000.0,,,,,,127000000.0,
0,AMD,"ADVANCED MICRO DEVICES, INC.",2007-12-29,10-K,2011-02-18,1432000000.0,,,,,,3230000000.0,
