,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
47,ALGN,"ALIGN TECHNOLOGY, INC.",2019-12-31,10-K,2023-02-27,,,,,,,1346169000.0,,
40,ALGN,"ALIGN TECHNOLOGY, INC.",2018-12-31,10-K,2019-02-28,636899000.0,400235000.0,466564000.0,,1966492000.0,79778000.0,1252891000.0,2052458000.0,799567000.0
41,ALGN,"ALIGN TECHNOLOGY, INC.",2018-12-31,10-K,2020-02-28,636899000.0,400235000.0,466564000.0,,1966492000.0,79778000.0,1252891000.0,2052458000.0,799567000.0
42,ALGN,"ALIGN TECHNOLOGY, INC.",2018-12-31,10-K,2021-02-26,,400235000.0,466564000.0,,1966492000.0,,1252891000.0,,
43,ALGN,"ALIGN TECHNOLOGY, INC.",2018-12-31,10-K,2022-02-25,,,,,,,1252891000.0,,
36,ALGN,"ALIGN TECHNOLOGY, INC.",2017-12-31,10-K,2018-02-28,449511000.0,231418000.0,353611000.0,,,80040000.0,1150370000.0,1777856000.0,627486000.0
37,ALGN,"ALIGN TECHNOLOGY, INC.",2017-12-31,10-K,2019-02-28,449511000.0,231418000.0,353611000.0,,1473413000.0,80040000.0,1154288000.0,1784009000.0,629721000.0
38,ALGN,"ALIGN TECHNOLOGY, INC.",2017-12-31,10-K,2020-02-28,,231418000.0,353611000.0,,1473413000.0,,1154288000.0,,
39,ALGN,"ALIGN TECHNOLOGY, INC.",2017-12-31,10-K,2021-02-26,,,,,,,1154288000.0,,
32,ALGN,"ALIGN TECHNOLOGY, INC.",2016-12-31,10-K,2017-02-28,389275000.0,189682000.0,248921000.0,,,79553000.0,995389000.0,1396151000.0,400762000.0
33,ALGN,"ALIGN TECHNOLOGY, INC.",2016-12-31,10-K,2018-02-28,389275000.0,189682000.0,248921000.0,,,79553000.0,995389000.0,1396151000.0,400762000.0
34,ALGN,"ALIGN TECHNOLOGY, INC.",2016-12-31,10-K,2019-02-28,,189682000.0,248921000.0,,1079874000.0,,999307000.0,,
35,ALGN,"ALIGN TECHNOLOGY, INC.",2016-12-31,10-K,2020-02-28,,,,,,,999307000.0,,
28,ALGN,"ALIGN TECHNOLOGY, INC.",2015-12-31,10-K,2016-02-25,167714000.0,144020000.0,188634000.0,,,79500000.0,847926000.0,1158633000.0,310707000.0
