,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
112,CLX,THE CLOROX COMPANY,2019-06-30,10-K,2021-08-10,,,820000000.0,,6214000000.0,,,5116000000.0,
108,CLX,THE CLOROX COMPANY,2019-03-31,10-K,2019-08-14,,,187000000.0,,1551000000.0,,,,
109,CLX,THE CLOROX COMPANY,2019-03-31,10-K,2020-08-13,,,187000000.0,,1551000000.0,,,,
106,CLX,THE CLOROX COMPANY,2018-12-31,10-K,2019-08-14,,,182000000.0,,1473000000.0,,,,
107,CLX,THE CLOROX COMPANY,2018-12-31,10-K,2020-08-13,,,182000000.0,,1473000000.0,,,,
104,CLX,THE CLOROX COMPANY,2018-09-30,10-K,2019-08-14,,,210000000.0,,1563000000.0,,,,
105,CLX,THE CLOROX COMPANY,2018-09-30,10-K,2020-08-13,,,210000000.0,,1563000000.0,,,,
100,CLX,THE CLOROX COMPANY,2018-06-30,10-K,2018-08-14,131000000.0,2284000000.0,217000000.0,1691000000.0,,127982767.0,726000000.0,5060000000.0,4334000000.0
101,CLX,THE CLOROX COMPANY,2018-06-30,10-K,2019-08-14,131000000.0,2284000000.0,217000000.0,1691000000.0,,127982767.0,726000000.0,5060000000.0,4334000000.0
102,CLX,THE CLOROX COMPANY,2018-06-30,10-K,2020-08-13,,,823000000.0,6124000000.0,,,726000000.0,5060000000.0,
103,CLX,THE CLOROX COMPANY,2018-06-30,10-K,2021-08-10,,,823000000.0,6124000000.0,,,,5060000000.0,
98,CLX,THE CLOROX COMPANY,2018-03-31,10-K,2018-08-14,,,181000000.0,1517000000.0,,,,,
99,CLX,THE CLOROX COMPANY,2018-03-31,10-K,2019-08-14,,,181000000.0,1517000000.0,,,,,
96,CLX,THE CLOROX COMPANY,2017-12-31,10-K,2018-08-14,,,233000000.0,1416000000.0,,,,,
97,CLX,THE CLOROX COMPANY,2017-12-31,10-K,2019-08-14,,,233000000.0,1416000000.0,,,,,
94,CLX,THE CLOROX COMPANY,2017-09-30,10-K,2018-08-14,,,192000000.0,1500000000.0,,,,,
95,CLX,THE CLOROX COMPANY,2017-09-30,10-K,2019-08-14,,,192000000.0,1500000000.0,,,,,
89,CLX,THE CLOROX COMPANY,2017-06-30,10-K,2017-08-15,418000000.0,1791000000.0,201000000.0,,,129014172.0,542000000.0,4573000000.0,4031000000.0
90,CLX,THE CLOROX COMPANY,2017-06-30,10-K,2018-08-14,418000000.0,1791000000.0,201000000.0,1647000000.0,,129014172.0,542000000.0,4573000000.0,4031000000.0
91,CLX,THE CLOROX COMPANY,2017-06-30,10-K,2019-08-14,,,701000000.0,5973000000.0,,,542000000.0,4573000000.0,
92,CLX,THE CLOROX COMPANY,2017-06-30,10-K,2020-08-13,,,701000000.0,5973000000.0,,,542000000.0,4573000000.0,
93,CLX,THE CLOROX COMPANY,2017-06-30,10-K,2021-08-10,,,701000000.0,5973000000.0,,,,4573000000.0,
87,CLX,THE CLOROX COMPANY,2017-03-31,10-K,2017-08-15,,,172000000.0,,,,,,
88,CLX,THE CLOROX COMPANY,2017-03-31,10-K,2018-08-14,,,172000000.0,1477000000.0,,,,,
85,CLX,THE CLOROX COMPANY,2016-12-31,10-K,2017-08-15,,,149000000.0,,,,,,
86,CLX,THE CLOROX COMPANY,2016-12-31,10-K,2018-08-14,,,149000000.0,1406000000.0,,,,,
83,CLX,THE CLOROX COMPANY,2016-09-30,10-K,2017-08-15,,,179000000.0,,,,,,
84,CLX,THE CLOROX COMPANY,2016-09-30,10-K,2018-08-14,,,179000000.0,1443000000.0,,,,,
78,CLX,THE CLOROX COMPANY,2016-06-30,10-K,2016-08-16,401000000.0,1797000000.0,165000000.0,,,129355263.0,297000000.0,4518000000.0,4221000000.0
79,CLX,THE CLOROX COMPANY,2016-06-30,10-K,2017-08-15,401000000.0,1789000000.0,165000000.0,,,129355263.0,297000000.0,4510000000.0,4213000000.0
80,CLX,THE CLOROX COMPANY,2016-06-30,10-K,2018-08-14,401000000.0,,648000000.0,5761000000.0,,,297000000.0,4510000000.0,
81,CLX,THE CLOROX COMPANY,2016-06-30,10-K,2019-08-14,,,648000000.0,5761000000.0,,,297000000.0,4510000000.0,
82,CLX,THE CLOROX COMPANY,2016-06-30,10-K,2020-08-13,,,648000000.0,5761000000.0,,,,4510000000.0,
76,CLX,THE CLOROX COMPANY,2016-03-31,10-K,2016-08-16,,,162000000.0,,,,,,
77,CLX,THE CLOROX COMPANY,2016-03-31,10-K,2017-08-15,,,162000000.0,,,,,,
74,CLX,THE CLOROX COMPANY,2015-12-31,10-K,2016-08-16,,,149000000.0,,,,,,
75,CLX,THE CLOROX COMPANY,2015-12-31,10-K,2017-08-15,,,149000000.0,,,,,,
72,CLX,THE CLOROX COMPANY,2015-09-30,10-K,2016-08-16,,,172000000.0,,,,,,
73,CLX,THE CLOROX COMPANY,2015-09-30,10-K,2017-08-15,,,172000000.0,,,,,,
67,CLX,THE CLOROX COMPANY,2015-06-30,10-K,2015-08-21,382000000.0,2096000000.0,191000000.0,,,128614310.0,118000000.0,4164000000.0,4046000000.0
68,CLX,THE CLOROX COMPANY,2015-06-30,10-K,2016-08-16,382000000.0,2096000000.0,191000000.0,,,128614310.0,118000000.0,4164000000.0,4046000000.0
69,CLX,THE CLOROX COMPANY,2015-06-30,10-K,2017-08-15,382000000.0,,580000000.0,,,,118000000.0,4154000000.0,
70,CLX,THE CLOROX COMPANY,2015-06-30,10-K,2018-08-14,382000000.0,,580000000.0,5655000000.0,,,118000000.0,4154000000.0,
71,CLX,THE CLOROX COMPANY,2015-06-30,10-K,2019-08-14,,,580000000.0,5655000000.0,,,,4154000000.0,
65,CLX,THE CLOROX COMPANY,2015-03-31,10-K,2015-08-21,,,174000000.0,,,,,,
66,CLX,THE CLOROX COMPANY,2015-03-31,10-K,2016-08-16,,,174000000.0,,,,,,
63,CLX,THE CLOROX COMPANY,2014-12-31,10-K,2015-08-21,,,125000000.0,,,,,,
64,CLX,THE CLOROX COMPANY,2014-12-31,10-K,2016-08-16,,,125000000.0,,,,,,
61,CLX,THE CLOROX COMPANY,2014-09-30,10-K,2015-08-21,,,90000000.0,,,,,,
62,CLX,THE CLOROX COMPANY,2014-09-30,10-K,2016-08-16,,,90000000.0,,,,,,
56,CLX,THE CLOROX COMPANY,2014-06-30,10-K,2014-08-25,329000000.0,2170000000.0,170000000.0,,,128796228.0,154000000.0,4258000000.0,4104000000.0
57,CLX,THE CLOROX COMPANY,2014-06-30,10-K,2015-08-21,329000000.0,2170000000.0,170000000.0,,,128796228.0,154000000.0,4258000000.0,4104000000.0
58,CLX,THE CLOROX COMPANY,2014-06-30,10-K,2016-08-16,329000000.0,,558000000.0,,,,154000000.0,,
59,CLX,THE CLOROX COMPANY,2014-06-30,10-K,2017-08-15,329000000.0,,558000000.0,,,,154000000.0,4251000000.0,
60,CLX,THE CLOROX COMPANY,2014-06-30,10-K,2018-08-14,,,558000000.0,5514000000.0,,,,4251000000.0,
54,CLX,THE CLOROX COMPANY,2014-03-31,10-K,2014-08-25,,,137000000.0,,,,,,
55,CLX,THE CLOROX COMPANY,2014-03-31,10-K,2015-08-21,,,137000000.0,,,,,,
52,CLX,THE CLOROX COMPANY,2013-12-31,10-K,2014-08-25,,,115000000.0,,,,,,
53,CLX,THE CLOROX COMPANY,2013-12-31,10-K,2015-08-21,,,115000000.0,,,,,,
50,CLX,THE CLOROX COMPANY,2013-09-30,10-K,2014-08-25,,,136000000.0,,,,,,
51,CLX,THE CLOROX COMPANY,2013-09-30,10-K,2015-08-21,,,136000000.0,,,,,,
45,CLX,THE CLOROX COMPANY,2013-06-30,10-K,2013-08-23,299000000.0,2170000000.0,183000000.0,5623000000.0,,130366911.0,146000000.0,4311000000.0,4165000000.0
46,CLX,THE CLOROX COMPANY,2013-06-30,10-K,2014-08-25,299000000.0,2170000000.0,183000000.0,,,130366911.0,146000000.0,4311000000.0,4165000000.0
47,CLX,THE CLOROX COMPANY,2013-06-30,10-K,2015-08-21,299000000.0,,572000000.0,,,,146000000.0,,
48,CLX,THE CLOROX COMPANY,2013-06-30,10-K,2016-08-16,299000000.0,,,,,,146000000.0,,
49,CLX,THE CLOROX COMPANY,2013-06-30,10-K,2017-08-15,,,572000000.0,,,,,4302000000.0,
43,CLX,THE CLOROX COMPANY,2013-03-31,10-K,2013-08-23,,,133000000.0,,,,,,
44,CLX,THE CLOROX COMPANY,2013-03-31,10-K,2014-08-25,,,133000000.0,,,,,,
41,CLX,THE CLOROX COMPANY,2012-12-31,10-K,2013-08-23,,,123000000.0,,,,,,
42,CLX,THE CLOROX COMPANY,2012-12-31,10-K,2014-08-25,,,123000000.0,,,,,,
39,CLX,THE CLOROX COMPANY,2012-09-30,10-K,2013-08-23,,,133000000.0,,,,,,
40,CLX,THE CLOROX COMPANY,2012-09-30,10-K,2014-08-25,,,133000000.0,,,,,,
35,CLX,THE CLOROX COMPANY,2012-06-30,10-K,2012-08-24,267000000.0,2421000000.0,174000000.0,,,129562082.0,-135000000.0,4355000000.0,4490000000.0
36,CLX,THE CLOROX COMPANY,2012-06-30,10-K,2013-08-23,267000000.0,2421000000.0,174000000.0,5468000000.0,,129562082.0,-135000000.0,4355000000.0,4490000000.0
37,CLX,THE CLOROX COMPANY,2012-06-30,10-K,2014-08-25,267000000.0,,541000000.0,,,,-135000000.0,,
38,CLX,THE CLOROX COMPANY,2012-06-30,10-K,2015-08-21,267000000.0,,,,,,-135000000.0,,
33,CLX,THE CLOROX COMPANY,2012-03-31,10-K,2012-08-24,,,132000000.0,,,,,,
34,CLX,THE CLOROX COMPANY,2012-03-31,10-K,2013-08-23,,,132000000.0,,,,,,
31,CLX,THE CLOROX COMPANY,2011-12-31,10-K,2012-08-24,,,105000000.0,,,,,,
32,CLX,THE CLOROX COMPANY,2011-12-31,10-K,2013-08-23,,,105000000.0,,,,,,
29,CLX,THE CLOROX COMPANY,2011-09-30,10-K,2012-08-24,,,130000000.0,,,,,,
30,CLX,THE CLOROX COMPANY,2011-09-30,10-K,2013-08-23,,,130000000.0,,,,,,
25,CLX,THE CLOROX COMPANY,2011-06-30,10-K,2011-08-26,259000000.0,,169000000.0,,,131066864.0,-86000000.0,4163000000.0,4249000000.0
26,CLX,THE CLOROX COMPANY,2011-06-30,10-K,2012-08-24,259000000.0,2125000000.0,169000000.0,,,131066864.0,-86000000.0,4163000000.0,4249000000.0
27,CLX,THE CLOROX COMPANY,2011-06-30,10-K,2013-08-23,259000000.0,,557000000.0,5231000000.0,,,,,
28,CLX,THE CLOROX COMPANY,2011-06-30,10-K,2014-08-25,259000000.0,,,,,,-86000000.0,,
23,CLX,THE CLOROX COMPANY,2011-03-31,10-K,2011-08-26,,,151000000.0,,,,,,
24,CLX,THE CLOROX COMPANY,2011-03-31,10-K,2012-08-24,,,151000000.0,,,,,,
21,CLX,THE CLOROX COMPANY,2010-12-31,10-K,2011-08-26,,,21000000.0,,,,,,
22,CLX,THE CLOROX COMPANY,2010-12-31,10-K,2012-08-24,,,21000000.0,,,,,,
19,CLX,THE CLOROX COMPANY,2010-09-30,10-K,2011-08-26,,,216000000.0,,,,,,
20,CLX,THE CLOROX COMPANY,2010-09-30,10-K,2012-08-24,,,216000000.0,,,,,,
15,CLX,THE CLOROX COMPANY,2010-06-30,10-K,2010-08-26,87000000.0,,171000000.0,,,138764511.0,83000000.0,4555000000.0,4472000000.0
16,CLX,THE CLOROX COMPANY,2010-06-30,10-K,2011-08-26,87000000.0,,171000000.0,,,138764511.0,83000000.0,4548000000.0,4465000000.0
17,CLX,THE CLOROX COMPANY,2010-06-30,10-K,2012-08-24,87000000.0,,603000000.0,,,,,,
18,CLX,THE CLOROX COMPANY,2010-06-30,10-K,2013-08-23,87000000.0,,,,,,,,
13,CLX,THE CLOROX COMPANY,2010-03-31,10-K,2010-08-26,,,165000000.0,,,,,,
14,CLX,THE CLOROX COMPANY,2010-03-31,10-K,2011-08-26,,,165000000.0,,,,,,
11,CLX,THE CLOROX COMPANY,2009-12-31,10-K,2010-08-26,,,110000000.0,,,,,,
12,CLX,THE CLOROX COMPANY,2009-12-31,10-K,2011-08-26,,,110000000.0,,,,,,
9,CLX,THE CLOROX COMPANY,2009-09-30,10-K,2010-08-26,,,157000000.0,,,,,,
10,CLX,THE CLOROX COMPANY,2009-09-30,10-K,2011-08-26,,,157000000.0,,,,,,
6,CLX,THE CLOROX COMPANY,2009-06-30,10-K,2010-08-26,206000000.0,,170000000.0,,,139157976.0,-175000000.0,4576000000.0,4751000000.0
7,CLX,THE CLOROX COMPANY,2009-06-30,10-K,2011-08-26,206000000.0,,537000000.0,,,,,,
8,CLX,THE CLOROX COMPANY,2009-06-30,10-K,2012-08-24,206000000.0,,,,,,,,
5,CLX,THE CLOROX COMPANY,2009-03-31,10-K,2010-08-26,,,153000000.0,,,,,,
4,CLX,THE CLOROX COMPANY,2008-12-31,10-K,2010-08-26,,,86000000.0,,,,,,
3,CLX,THE CLOROX COMPANY,2008-09-30,10-K,2010-08-26,,,128000000.0,,,,,,
1,CLX,THE CLOROX COMPANY,2008-06-30,10-K,2010-08-26,214000000.0,,461000000.0,,,,,,
2,CLX,THE CLOROX COMPANY,2008-06-30,10-K,2011-08-26,214000000.0,,,,,,,,
0,CLX,THE CLOROX COMPANY,2007-06-30,10-K,2010-08-26,182000000.0,,,,,,,,
