,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,stockholders_equity,total_assets,total_liabilities
80,AOS,A. O. Smith Corporation,2019-12-31,10-K,2021-02-12,374000000.0,284000000.0,91300000.0,529100000.0,750900000.0,1666800000.0,3058000000.0,1391200000.0
81,AOS,A. O. Smith Corporation,2019-12-31,10-K,2022-02-11,,,370000000.0,529100000.0,2992700000.0,1666800000.0,3058000000.0,
77,AOS,A. O. Smith Corporation,2019-09-30,10-K,2020-02-24,,,87300000.0,,728200000.0,,,
78,AOS,A. O. Smith Corporation,2019-09-30,10-K,2021-02-12,,,87300000.0,,728200000.0,,,
75,AOS,A. O. Smith Corporation,2019-06-30,10-K,2020-02-24,,,102100000.0,,765400000.0,,,
76,AOS,A. O. Smith Corporation,2019-06-30,10-K,2021-02-12,,,102100000.0,,765400000.0,,,
73,AOS,A. O. Smith Corporation,2019-03-31,10-K,2020-02-24,,,89300000.0,,748200000.0,,,
74,AOS,A. O. Smith Corporation,2019-03-31,10-K,2021-02-12,,,89300000.0,,748200000.0,,,
70,AOS,A. O. Smith Corporation,2018-12-31,10-K,2019-02-15,259700000.0,221400000.0,126300000.0,613400000.0,812500000.0,1717000000.0,3071500000.0,1354500000.0
71,AOS,A. O. Smith Corporation,2018-12-31,10-K,2020-02-24,259700000.0,221400000.0,126300000.0,613400000.0,812500000.0,1717000000.0,3071500000.0,1354500000.0
72,AOS,A. O. Smith Corporation,2018-12-31,10-K,2021-02-12,,,444200000.0,613400000.0,3187900000.0,1717000000.0,3071500000.0,
68,AOS,A. O. Smith Corporation,2018-09-30,10-K,2019-02-15,,,104600000.0,,754100000.0,,,
69,AOS,A. O. Smith Corporation,2018-09-30,10-K,2020-02-24,,,104600000.0,,754100000.0,,,
66,AOS,A. O. Smith Corporation,2018-06-30,10-K,2019-02-15,,,114500000.0,,833300000.0,,,
67,AOS,A. O. Smith Corporation,2018-06-30,10-K,2020-02-24,,,114500000.0,,833300000.0,,,
64,AOS,A. O. Smith Corporation,2018-03-31,10-K,2019-02-15,,,98800000.0,,788000000.0,,,
65,AOS,A. O. Smith Corporation,2018-03-31,10-K,2020-02-24,,,98800000.0,,788000000.0,,,
61,AOS,A. O. Smith Corporation,2017-12-31,10-K,2018-02-16,346600000.0,410400000.0,22700000.0,577900000.0,,1648800000.0,3197300000.0,1548500000.0
62,AOS,A. O. Smith Corporation,2017-12-31,10-K,2019-02-15,346600000.0,410400000.0,22700000.0,577900000.0,768600000.0,1644900000.0,3197400000.0,1552500000.0
63,AOS,A. O. Smith Corporation,2017-12-31,10-K,2020-02-24,346600000.0,,296500000.0,577900000.0,2996700000.0,1644900000.0,3197400000.0,
59,AOS,A. O. Smith Corporation,2017-09-30,10-K,2018-02-16,,,93700000.0,,,,,
60,AOS,A. O. Smith Corporation,2017-09-30,10-K,2019-02-15,,,93700000.0,,749900000.0,,,
57,AOS,A. O. Smith Corporation,2017-06-30,10-K,2018-02-16,,,92400000.0,,,,,
58,AOS,A. O. Smith Corporation,2017-06-30,10-K,2019-02-15,,,92400000.0,,738200000.0,,,
55,AOS,A. O. Smith Corporation,2017-03-31,10-K,2018-02-16,,,87700000.0,,,,,
56,AOS,A. O. Smith Corporation,2017-03-31,10-K,2019-02-15,,,87700000.0,,740000000.0,,,
51,AOS,A. O. Smith Corporation,2016-12-31,10-K,2017-02-17,330400000.0,323600000.0,82700000.0,515000000.0,,1515300000.0,2891000000.0,1375700000.0
52,AOS,A. O. Smith Corporation,2016-12-31,10-K,2018-02-16,330400000.0,323600000.0,82700000.0,515000000.0,,1515300000.0,2891000000.0,1375700000.0
53,AOS,A. O. Smith Corporation,2016-12-31,10-K,2019-02-15,330400000.0,,326500000.0,515000000.0,2685900000.0,1511400000.0,2891000000.0,
54,AOS,A. O. Smith Corporation,2016-12-31,10-K,2020-02-24,330400000.0,,,,,,,
49,AOS,A. O. Smith Corporation,2016-09-30,10-K,2017-02-17,,,83200000.0,,,,,
50,AOS,A. O. Smith Corporation,2016-09-30,10-K,2018-02-16,,,83200000.0,,,,,
47,AOS,A. O. Smith Corporation,2016-06-30,10-K,2017-02-17,,,87100000.0,,,,,
48,AOS,A. O. Smith Corporation,2016-06-30,10-K,2018-02-16,,,87100000.0,,,,,
45,AOS,A. O. Smith Corporation,2016-03-31,10-K,2017-02-17,,,73500000.0,,,,,
46,AOS,A. O. Smith Corporation,2016-03-31,10-K,2018-02-16,,,73500000.0,,,,,
41,AOS,A. O. Smith Corporation,2015-12-31,10-K,2016-02-17,323600000.0,249000000.0,79800000.0,452900000.0,,1442300000.0,2646500000.0,1204200000.0
42,AOS,A. O. Smith Corporation,2015-12-31,10-K,2017-02-17,323600000.0,249000000.0,79800000.0,452900000.0,,1442300000.0,2629200000.0,1186900000.0
43,AOS,A. O. Smith Corporation,2015-12-31,10-K,2018-02-16,323600000.0,,282900000.0,452900000.0,,1442300000.0,2629200000.0,
44,AOS,A. O. Smith Corporation,2015-12-31,10-K,2019-02-15,323600000.0,,,,,,,
39,AOS,A. O. Smith Corporation,2015-09-30,10-K,2016-02-17,,,73600000.0,,,,,
40,AOS,A. O. Smith Corporation,2015-09-30,10-K,2017-02-17,,,73600000.0,,,,,
37,AOS,A. O. Smith Corporation,2015-06-30,10-K,2016-02-17,,,71100000.0,,,,,
38,AOS,A. O. Smith Corporation,2015-06-30,10-K,2017-02-17,,,71100000.0,,,,,
35,AOS,A. O. Smith Corporation,2015-03-31,10-K,2016-02-17,,,58400000.0,,,,,
36,AOS,A. O. Smith Corporation,2015-03-31,10-K,2017-02-17,,,58400000.0,,,,,
31,AOS,A. O. Smith Corporation,2014-12-31,10-K,2015-02-18,319400000.0,223800000.0,207800000.0,345300000.0,,1381300000.0,2515300000.0,1134000000.0
32,AOS,A. O. Smith Corporation,2014-12-31,10-K,2016-02-17,319400000.0,223800000.0,53200000.0,345300000.0,,1381300000.0,2515300000.0,1134000000.0
33,AOS,A. O. Smith Corporation,2014-12-31,10-K,2017-02-17,319400000.0,,207800000.0,345300000.0,,1381300000.0,2498100000.0,
34,AOS,A. O. Smith Corporation,2014-12-31,10-K,2018-02-16,319400000.0,,,,,,,
30,AOS,A. O. Smith Corporation,2014-09-30,10-K,2016-02-17,,,50600000.0,,,,,
29,AOS,A. O. Smith Corporation,2014-06-30,10-K,2016-02-17,,,57300000.0,,,,,
28,AOS,A. O. Smith Corporation,2014-03-31,10-K,2016-02-17,,,46700000.0,,,,,
24,AOS,A. O. Smith Corporation,2013-12-31,10-K,2014-02-20,380700000.0,191900000.0,,299900000.0,,,2391500000.0,1062800000.0
25,AOS,A. O. Smith Corporation,2013-12-31,10-K,2015-02-18,380700000.0,191900000.0,169700000.0,299900000.0,,1328700000.0,2391500000.0,1062800000.0
26,AOS,A. O. Smith Corporation,2013-12-31,10-K,2016-02-17,380700000.0,,169700000.0,299900000.0,,,2391500000.0,
27,AOS,A. O. Smith Corporation,2013-12-31,10-K,2017-02-17,380700000.0,,,,,,,
20,AOS,A. O. Smith Corporation,2012-12-31,10-K,2013-02-27,266900000.0,243700000.0,158700000.0,259400000.0,,,2265200000.0,1071100000.0
21,AOS,A. O. Smith Corporation,2012-12-31,10-K,2014-02-20,266900000.0,243700000.0,,259400000.0,,,2278800000.0,1084700000.0
22,AOS,A. O. Smith Corporation,2012-12-31,10-K,2015-02-18,266900000.0,,158700000.0,259400000.0,,,2278800000.0,
23,AOS,A. O. Smith Corporation,2012-12-31,10-K,2016-02-17,266900000.0,,,,,,,
16,AOS,A. O. Smith Corporation,2011-12-31,10-K,2012-02-27,463400000.0,461600000.0,32100000.0,,,,2349000000.0,1263200000.0
17,AOS,A. O. Smith Corporation,2011-12-31,10-K,2013-02-27,463400000.0,461600000.0,305700000.0,196500000.0,,,2349000000.0,1263200000.0
18,AOS,A. O. Smith Corporation,2011-12-31,10-K,2014-02-20,463400000.0,,,196500000.0,,,2349000000.0,
19,AOS,A. O. Smith Corporation,2011-12-31,10-K,2015-02-18,463400000.0,,,,,,,
15,AOS,A. O. Smith Corporation,2011-09-30,10-K,2012-02-27,,,182300000.0,,,,,
14,AOS,A. O. Smith Corporation,2011-06-30,10-K,2012-02-27,,,50300000.0,,,,,
13,AOS,A. O. Smith Corporation,2011-03-31,10-K,2012-02-27,,,41000000.0,,,,,
9,AOS,A. O. Smith Corporation,2010-12-31,10-K,2011-02-24,118900000.0,,111700000.0,,,,2112000000.0,1230600000.0
10,AOS,A. O. Smith Corporation,2010-12-31,10-K,2012-02-27,118900000.0,261000000.0,32200000.0,,,,2110600000.0,1229200000.0
11,AOS,A. O. Smith Corporation,2010-12-31,10-K,2013-02-27,118900000.0,,111700000.0,132900000.0,,,2110600000.0,
12,AOS,A. O. Smith Corporation,2010-12-31,10-K,2014-02-20,118900000.0,,,,,,,
8,AOS,A. O. Smith Corporation,2010-09-30,10-K,2012-02-27,,,32000000.0,,,,,
7,AOS,A. O. Smith Corporation,2010-06-30,10-K,2012-02-27,,,16600000.0,,,,,
6,AOS,A. O. Smith Corporation,2010-03-31,10-K,2012-02-27,,,30900000.0,,,,,
3,AOS,A. O. Smith Corporation,2009-12-31,10-K,2011-02-24,76300000.0,,81300000.0,,,,1974500000.0,1184700000.0
4,AOS,A. O. Smith Corporation,2009-12-31,10-K,2012-02-27,76300000.0,,81300000.0,,,,1973000000.0,
5,AOS,A. O. Smith Corporation,2009-12-31,10-K,2013-02-27,76300000.0,,,,,,,
1,AOS,A. O. Smith Corporation,2008-12-31,10-K,2011-02-24,35300000.0,,21700000.0,,,,,
2,AOS,A. O. Smith Corporation,2008-12-31,10-K,2012-02-27,35300000.0,,,,,,,
0,AOS,A. O. Smith Corporation,2007-12-31,10-K,2011-02-24,55000000.0,,,,,,,
