,ticker,company,end_date,form,filed,long_term_debt,net_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
85,ALL,ALLSTATE CORP,2018-09-30,10-K,2019-02-15,,,10465000000.0,,,,
86,ALL,ALLSTATE CORP,2018-09-30,10-K,2020-02-21,,,10465000000.0,,,,
83,ALL,ALLSTATE CORP,2018-06-30,10-K,2019-02-15,,,10099000000.0,,,,
84,ALL,ALLSTATE CORP,2018-06-30,10-K,2020-02-21,,,10099000000.0,,,,
81,ALL,ALLSTATE CORP,2018-03-31,10-K,2019-02-15,,,9770000000.0,,,,
82,ALL,ALLSTATE CORP,2018-03-31,10-K,2020-02-21,,,9770000000.0,,,,
78,ALL,ALLSTATE CORP,2017-12-31,10-K,2018-02-26,6350000000.0,3189000000.0,9843000000.0,355000000.0,22551000000.0,112422000000.0,89871000000.0
79,ALL,ALLSTATE CORP,2017-12-31,10-K,2019-02-15,6350000000.0,3189000000.0,10062000000.0,355000000.0,22551000000.0,112422000000.0,89871000000.0
80,ALL,ALLSTATE CORP,2017-12-31,10-K,2020-02-21,,3554000000.0,39407000000.0,,22551000000.0,,
76,ALL,ALLSTATE CORP,2017-09-30,10-K,2018-02-26,,,9660000000.0,,,,
77,ALL,ALLSTATE CORP,2017-09-30,10-K,2019-02-15,,,9888000000.0,,,,
74,ALL,ALLSTATE CORP,2017-06-30,10-K,2018-02-26,,,9587000000.0,,,,
75,ALL,ALLSTATE CORP,2017-06-30,10-K,2019-02-15,,,9813000000.0,,,,
72,ALL,ALLSTATE CORP,2017-03-31,10-K,2018-02-26,,,9434000000.0,,,,
73,ALL,ALLSTATE CORP,2017-03-31,10-K,2019-02-15,,,9644000000.0,,,,
69,ALL,ALLSTATE CORP,2016-12-31,10-K,2017-02-17,6347000000.0,1877000000.0,9278000000.0,366000000.0,20573000000.0,108610000000.0,88037000000.0
70,ALL,ALLSTATE CORP,2016-12-31,10-K,2018-02-26,6347000000.0,1877000000.0,9278000000.0,366000000.0,20573000000.0,108610000000.0,88037000000.0
71,ALL,ALLSTATE CORP,2016-12-31,10-K,2019-02-15,,1877000000.0,37399000000.0,,20573000000.0,,
67,ALL,ALLSTATE CORP,2016-09-30,10-K,2017-02-17,,,9221000000.0,,,,
68,ALL,ALLSTATE CORP,2016-09-30,10-K,2018-02-26,,,9221000000.0,,,,
65,ALL,ALLSTATE CORP,2016-06-30,10-K,2017-02-17,,,9164000000.0,,,,
66,ALL,ALLSTATE CORP,2016-06-30,10-K,2018-02-26,,,9164000000.0,,,,
63,ALL,ALLSTATE CORP,2016-03-31,10-K,2017-02-17,,,8871000000.0,,,,
64,ALL,ALLSTATE CORP,2016-03-31,10-K,2018-02-26,,,8871000000.0,,,,
60,ALL,ALLSTATE CORP,2015-12-31,10-K,2016-02-19,5124000000.0,2171000000.0,8691000000.0,381000000.0,20025000000.0,104656000000.0,84631000000.0
61,ALL,ALLSTATE CORP,2015-12-31,10-K,2017-02-17,5124000000.0,2171000000.0,8691000000.0,381000000.0,20025000000.0,104656000000.0,84631000000.0
62,ALL,ALLSTATE CORP,2015-12-31,10-K,2018-02-26,,2171000000.0,35653000000.0,,20025000000.0,,
58,ALL,ALLSTATE CORP,2015-09-30,10-K,2016-02-19,,,9028000000.0,,,,
59,ALL,ALLSTATE CORP,2015-09-30,10-K,2017-02-17,,,9028000000.0,,,,
56,ALL,ALLSTATE CORP,2015-06-30,10-K,2016-02-19,,,8982000000.0,,,,
57,ALL,ALLSTATE CORP,2015-06-30,10-K,2017-02-17,,,8982000000.0,,,,
54,ALL,ALLSTATE CORP,2015-03-31,10-K,2016-02-19,,,8952000000.0,,,,
55,ALL,ALLSTATE CORP,2015-03-31,10-K,2017-02-17,,,8952000000.0,,,,
51,ALL,ALLSTATE CORP,2014-12-31,10-K,2015-02-19,5194000000.0,2850000000.0,8759000000.0,418000000.0,22304000000.0,108533000000.0,86229000000.0
52,ALL,ALLSTATE CORP,2014-12-31,10-K,2016-02-19,5140000000.0,2850000000.0,8759000000.0,418000000.0,22304000000.0,108479000000.0,86175000000.0
53,ALL,ALLSTATE CORP,2014-12-31,10-K,2017-02-17,,2850000000.0,35239000000.0,,,108479000000.0,
49,ALL,ALLSTATE CORP,2014-09-30,10-K,2015-02-19,,,8936000000.0,,,,
50,ALL,ALLSTATE CORP,2014-09-30,10-K,2016-02-19,,,8936000000.0,,,,
47,ALL,ALLSTATE CORP,2014-06-30,10-K,2015-02-19,,,8860000000.0,,,,
48,ALL,ALLSTATE CORP,2014-06-30,10-K,2016-02-19,,,8860000000.0,,,,
45,ALL,ALLSTATE CORP,2014-03-31,10-K,2015-02-19,,,8684000000.0,,,,
46,ALL,ALLSTATE CORP,2014-03-31,10-K,2016-02-19,,,8684000000.0,,,,
42,ALL,ALLSTATE CORP,2013-12-31,10-K,2014-02-20,6201000000.0,2280000000.0,8792000000.0,449000000.0,21480000000.0,123520000000.0,102040000000.0
43,ALL,ALLSTATE CORP,2013-12-31,10-K,2015-02-19,6201000000.0,2280000000.0,8792000000.0,449000000.0,21480000000.0,123520000000.0,102040000000.0
44,ALL,ALLSTATE CORP,2013-12-31,10-K,2016-02-19,,2280000000.0,34507000000.0,,,123460000000.0,
40,ALL,ALLSTATE CORP,2013-09-30,10-K,2014-02-20,,,8465000000.0,,,,
41,ALL,ALLSTATE CORP,2013-09-30,10-K,2015-02-19,,,8465000000.0,,,,
38,ALL,ALLSTATE CORP,2013-06-30,10-K,2014-02-20,,,8787000000.0,,,,
39,ALL,ALLSTATE CORP,2013-06-30,10-K,2015-02-19,,,8787000000.0,,,,
36,ALL,ALLSTATE CORP,2013-03-31,10-K,2014-02-20,,,8463000000.0,,,,
37,ALL,ALLSTATE CORP,2013-03-31,10-K,2015-02-19,,,8463000000.0,,,,
33,ALL,ALLSTATE CORP,2012-12-31,10-K,2013-02-20,6057000000.0,394000000.0,8547000000.0,479000000.0,20580000000.0,126947000000.0,106367000000.0
34,ALL,ALLSTATE CORP,2012-12-31,10-K,2014-02-20,6057000000.0,2306000000.0,8547000000.0,479000000.0,20580000000.0,126947000000.0,106367000000.0
35,ALL,ALLSTATE CORP,2012-12-31,10-K,2015-02-19,,2306000000.0,33315000000.0,,,126947000000.0,
31,ALL,ALLSTATE CORP,2012-09-30,10-K,2013-02-20,,723000000.0,8128000000.0,,,,
32,ALL,ALLSTATE CORP,2012-09-30,10-K,2014-02-20,,,8128000000.0,,,,
29,ALL,ALLSTATE CORP,2012-06-30,10-K,2013-02-20,,423000000.0,8278000000.0,,,,
30,ALL,ALLSTATE CORP,2012-06-30,10-K,2014-02-20,,,8278000000.0,,,,
27,ALL,ALLSTATE CORP,2012-03-31,10-K,2013-02-20,,766000000.0,8362000000.0,,,,
28,ALL,ALLSTATE CORP,2012-03-31,10-K,2014-02-20,,,8362000000.0,,,,
24,ALL,ALLSTATE CORP,2011-12-31,10-K,2012-02-22,5908000000.0,724000000.0,8236000000.0,501000000.0,18674000000.0,125563000000.0,106861000000.0
25,ALL,ALLSTATE CORP,2011-12-31,10-K,2013-02-20,5908000000.0,712000000.0,8236000000.0,501000000.0,18298000000.0,125193000000.0,106867000000.0
26,ALL,ALLSTATE CORP,2011-12-31,10-K,2014-02-20,,787000000.0,32654000000.0,,,125193000000.0,
22,ALL,ALLSTATE CORP,2011-09-30,10-K,2012-02-22,,165000000.0,8242000000.0,,,,
23,ALL,ALLSTATE CORP,2011-09-30,10-K,2013-02-20,,175000000.0,8242000000.0,,,,
20,ALL,ALLSTATE CORP,2011-06-30,10-K,2012-02-22,,-620000000.0,8081000000.0,,,,
21,ALL,ALLSTATE CORP,2011-06-30,10-K,2013-02-20,,-624000000.0,8081000000.0,,,,
18,ALL,ALLSTATE CORP,2011-03-31,10-K,2012-02-22,,519000000.0,8095000000.0,,,,
19,ALL,ALLSTATE CORP,2011-03-31,10-K,2013-02-20,,524000000.0,8095000000.0,,,,
15,ALL,ALLSTATE CORP,2010-12-31,10-K,2011-02-24,5908000000.0,,8087000000.0,533000000.0,19016000000.0,130874000000.0,111830000000.0
16,ALL,ALLSTATE CORP,2010-12-31,10-K,2012-02-22,5908000000.0,296000000.0,8087000000.0,533000000.0,19016000000.0,130874000000.0,111830000000.0
17,ALL,ALLSTATE CORP,2010-12-31,10-K,2013-02-20,,911000000.0,31400000000.0,,,130500000000.0,
13,ALL,ALLSTATE CORP,2010-09-30,10-K,2011-02-24,,,7908000000.0,,,,
14,ALL,ALLSTATE CORP,2010-09-30,10-K,2012-02-22,,367000000.0,7908000000.0,,,,
11,ALL,ALLSTATE CORP,2010-06-30,10-K,2011-02-24,,,7656000000.0,,,,
12,ALL,ALLSTATE CORP,2010-06-30,10-K,2012-02-22,,145000000.0,7656000000.0,,,,
9,ALL,ALLSTATE CORP,2010-03-31,10-K,2011-02-24,,,7749000000.0,,,,
10,ALL,ALLSTATE CORP,2010-03-31,10-K,2012-02-22,,120000000.0,7749000000.0,,,,
6,ALL,ALLSTATE CORP,2009-12-31,10-K,2010-02-25,5910000000.0,,32013000000.0,537000000.0,16692000000.0,132652000000.0,115931000000.0
7,ALL,ALLSTATE CORP,2009-12-31,10-K,2011-02-24,5910000000.0,,8058000000.0,537000000.0,16692000000.0,132652000000.0,115931000000.0
8,ALL,ALLSTATE CORP,2009-12-31,10-K,2012-02-22,,854000000.0,32013000000.0,,,132652000000.0,
5,ALL,ALLSTATE CORP,2009-09-30,10-K,2011-02-24,,,7582000000.0,,,,
4,ALL,ALLSTATE CORP,2009-06-30,10-K,2011-02-24,,,8490000000.0,,,,
3,ALL,ALLSTATE CORP,2009-03-31,10-K,2011-02-24,,,7883000000.0,,,,
1,ALL,ALLSTATE CORP,2008-12-31,10-K,2010-02-25,5659000000.0,,29394000000.0,536000000.0,12641000000.0,134798000000.0,122125000000.0
2,ALL,ALLSTATE CORP,2008-12-31,10-K,2011-02-24,,,29394000000.0,,,134798000000.0,
0,ALL,ALLSTATE CORP,2007-12-31,10-K,2010-02-25,,,36769000000.0,,,,
