,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
59,AFL,Aflac Incorporated,2014-12-31,10-K,2015-02-26,4658000000.0,2951000000.0,4253000000.0,5514000000.0,442445000.0,18347000000.0,119767000000.0,101420000000.0
60,AFL,Aflac Incorporated,2014-12-31,10-K,2016-02-25,4658000000.0,2951000000.0,4253000000.0,5514000000.0,442445000.0,18347000000.0,119767000000.0,101420000000.0
61,AFL,Aflac Incorporated,2014-12-31,10-K,2017-02-24,4658000000.0,2951000000.0,4253000000.0,22728000000.0,442445000.0,18347000000.0,119727000000.0,
62,AFL,Aflac Incorporated,2014-12-31,10-K,2018-02-23,4658000000.0,,,,,,,
57,AFL,Aflac Incorporated,2014-09-30,10-K,2015-02-26,,,,5736000000.0,,,,
58,AFL,Aflac Incorporated,2014-09-30,10-K,2016-02-25,,,,5736000000.0,,,,
55,AFL,Aflac Incorporated,2014-06-30,10-K,2015-02-26,,,,5838000000.0,,,,
56,AFL,Aflac Incorporated,2014-06-30,10-K,2016-02-25,,,,5838000000.0,,,,
53,AFL,Aflac Incorporated,2014-03-31,10-K,2015-02-26,,,,5640000000.0,,,,
54,AFL,Aflac Incorporated,2014-03-31,10-K,2016-02-25,,,,5640000000.0,,,,
49,AFL,Aflac Incorporated,2013-12-31,10-K,2014-02-27,2543000000.0,3158000000.0,4399000000.0,5801000000.0,459413000.0,14620000000.0,121307000000.0,106687000000.0
50,AFL,Aflac Incorporated,2013-12-31,10-K,2015-02-26,2543000000.0,3158000000.0,4399000000.0,5801000000.0,459413000.0,14620000000.0,121307000000.0,106687000000.0
51,AFL,Aflac Incorporated,2013-12-31,10-K,2016-02-25,2543000000.0,3158000000.0,4399000000.0,23939000000.0,459413000.0,14620000000.0,,
52,AFL,Aflac Incorporated,2013-12-31,10-K,2017-02-24,2543000000.0,,,,,,,
47,AFL,Aflac Incorporated,2013-09-30,10-K,2014-02-27,,,,5886000000.0,,,,
48,AFL,Aflac Incorporated,2013-09-30,10-K,2015-02-26,,,,5886000000.0,,,,
45,AFL,Aflac Incorporated,2013-06-30,10-K,2014-02-27,,,,6044000000.0,,,,
46,AFL,Aflac Incorporated,2013-06-30,10-K,2015-02-26,,,,6044000000.0,,,,
43,AFL,Aflac Incorporated,2013-03-31,10-K,2014-02-27,,,,6208000000.0,,,,
44,AFL,Aflac Incorporated,2013-03-31,10-K,2015-02-26,,,,6208000000.0,,,,
39,AFL,Aflac Incorporated,2012-12-31,10-K,2013-02-27,2041000000.0,2866000000.0,4658000000.0,6375000000.0,467786000.0,15978000000.0,131094000000.0,115116000000.0
40,AFL,Aflac Incorporated,2012-12-31,10-K,2014-02-27,2041000000.0,2866000000.0,4658000000.0,6375000000.0,467786000.0,15978000000.0,131094000000.0,115116000000.0
41,AFL,Aflac Incorporated,2012-12-31,10-K,2015-02-26,2041000000.0,2866000000.0,4658000000.0,25364000000.0,467786000.0,15978000000.0,131094000000.0,
42,AFL,Aflac Incorporated,2012-12-31,10-K,2016-02-25,2041000000.0,,,,,,121307000000.0,
37,AFL,Aflac Incorporated,2012-09-30,10-K,2013-02-27,,,,6847000000.0,,,,
38,AFL,Aflac Incorporated,2012-09-30,10-K,2014-02-27,,,,6847000000.0,,,,
35,AFL,Aflac Incorporated,2012-06-30,10-K,2013-02-27,,,,5902000000.0,,,,
36,AFL,Aflac Incorporated,2012-06-30,10-K,2014-02-27,,,,5902000000.0,,,,
33,AFL,Aflac Incorporated,2012-03-31,10-K,2013-02-27,,,,6240000000.0,,,,
34,AFL,Aflac Incorporated,2012-03-31,10-K,2014-02-27,,,,6240000000.0,,,,
29,AFL,Aflac Incorporated,2011-12-31,10-K,2012-02-27,2249000000.0,1964000000.0,4544000000.0,5979000000.0,466310000.0,13506000000.0,117102000000.0,103596000000.0
30,AFL,Aflac Incorporated,2011-12-31,10-K,2013-02-27,2249000000.0,1937000000.0,4502000000.0,5979000000.0,466310000.0,12946000000.0,116237000000.0,103291000000.0
31,AFL,Aflac Incorporated,2011-12-31,10-K,2014-02-27,2249000000.0,1937000000.0,4502000000.0,22171000000.0,466310000.0,12946000000.0,116237000000.0,
32,AFL,Aflac Incorporated,2011-12-31,10-K,2015-02-26,2249000000.0,,,,,,,
27,AFL,Aflac Incorporated,2011-09-30,10-K,2012-02-27,,,,5987000000.0,,,,
28,AFL,Aflac Incorporated,2011-09-30,10-K,2013-02-27,,,,5987000000.0,,,,
25,AFL,Aflac Incorporated,2011-06-30,10-K,2012-02-27,,,,5088000000.0,,,,
26,AFL,Aflac Incorporated,2011-06-30,10-K,2013-02-27,,,,5088000000.0,,,,
23,AFL,Aflac Incorporated,2011-03-31,10-K,2012-02-27,,,,5117000000.0,,,,
24,AFL,Aflac Incorporated,2011-03-31,10-K,2013-02-27,,,,5117000000.0,,,,
19,AFL,Aflac Incorporated,2010-12-31,10-K,2011-02-25,2121000000.0,2344000000.0,,5294000000.0,469661000.0,11056000000.0,101039000000.0,89983000000.0
20,AFL,Aflac Incorporated,2010-12-31,10-K,2012-02-27,2121000000.0,2344000000.0,4007000000.0,5294000000.0,469661000.0,11056000000.0,101039000000.0,89983000000.0
21,AFL,Aflac Incorporated,2010-12-31,10-K,2013-02-27,2121000000.0,2328000000.0,3983000000.0,20732000000.0,469661000.0,10540000000.0,100243000000.0,
22,AFL,Aflac Incorporated,2010-12-31,10-K,2014-02-27,2121000000.0,,,,,,,
17,AFL,Aflac Incorporated,2010-09-30,10-K,2011-02-25,,,,5394000000.0,,,,
18,AFL,Aflac Incorporated,2010-09-30,10-K,2012-02-27,,,,5394000000.0,,,,
15,AFL,Aflac Incorporated,2010-06-30,10-K,2011-02-25,,,,4980000000.0,,,,
16,AFL,Aflac Incorporated,2010-06-30,10-K,2012-02-27,,,,4980000000.0,,,,
13,AFL,Aflac Incorporated,2010-03-31,10-K,2011-02-25,,,,5065000000.0,,,,
14,AFL,Aflac Incorporated,2010-03-31,10-K,2012-02-27,,,,5065000000.0,,,,
9,AFL,Aflac Incorporated,2009-12-31,10-K,2010-02-26,2323000000.0,,,18254000000.0,,,84106000000.0,75689000000.0
10,AFL,Aflac Incorporated,2009-12-31,10-K,2011-02-25,2323000000.0,1497000000.0,,4597000000.0,468568000.0,8417000000.0,84106000000.0,75689000000.0
11,AFL,Aflac Incorporated,2009-12-31,10-K,2012-02-27,2323000000.0,1497000000.0,3435000000.0,18254000000.0,468568000.0,8417000000.0,,
12,AFL,Aflac Incorporated,2009-12-31,10-K,2013-02-27,2323000000.0,,,,,,,
8,AFL,Aflac Incorporated,2009-09-30,10-K,2011-02-25,,,,4526000000.0,,,,
7,AFL,Aflac Incorporated,2009-06-30,10-K,2011-02-25,,,,4313000000.0,,,,
6,AFL,Aflac Incorporated,2009-03-31,10-K,2011-02-25,,,,4818000000.0,,,,
3,AFL,Aflac Incorporated,2008-12-31,10-K,2010-02-26,941000000.0,,,16554000000.0,,,79331000000.0,72692000000.0
4,AFL,Aflac Incorporated,2008-12-31,10-K,2011-02-25,941000000.0,1254000000.0,,16554000000.0,466615000.0,6639000000.0,,
5,AFL,Aflac Incorporated,2008-12-31,10-K,2012-02-27,941000000.0,,,,,,,
1,AFL,Aflac Incorporated,2007-12-31,10-K,2010-02-26,1563000000.0,,,15393000000.0,,,,
2,AFL,Aflac Incorporated,2007-12-31,10-K,2011-02-25,1563000000.0,,,,,,,
0,AFL,Aflac Incorporated,2006-12-31,10-K,2010-02-26,1203000000.0,,,,,,,
