,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue,revenue_alt,total_assets
107,ADM,ARCHER-DANIELS-MIDLAND CO,2020-03-31,10-K,2021-02-18,,,391000000.0,14970000000.0,,
104,ADM,ARCHER-DANIELS-MIDLAND CO,2019-12-31,10-K,2020-02-18,852000000.0,7679000000.0,504000000.0,16329000000.0,,43997000000.0
105,ADM,ARCHER-DANIELS-MIDLAND CO,2019-12-31,10-K,2021-02-18,852000000.0,7679000000.0,504000000.0,16329000000.0,,43997000000.0
106,ADM,ARCHER-DANIELS-MIDLAND CO,2019-12-31,10-K,2022-02-17,852000000.0,,1379000000.0,64656000000.0,,
102,ADM,ARCHER-DANIELS-MIDLAND CO,2019-09-30,10-K,2020-02-18,,,407000000.0,16726000000.0,,
103,ADM,ARCHER-DANIELS-MIDLAND CO,2019-09-30,10-K,2021-02-18,,,407000000.0,16726000000.0,,
100,ADM,ARCHER-DANIELS-MIDLAND CO,2019-06-30,10-K,2020-02-18,,,235000000.0,16297000000.0,,
101,ADM,ARCHER-DANIELS-MIDLAND CO,2019-06-30,10-K,2021-02-18,,,235000000.0,16297000000.0,,
98,ADM,ARCHER-DANIELS-MIDLAND CO,2019-03-31,10-K,2020-02-18,,,233000000.0,15304000000.0,,
99,ADM,ARCHER-DANIELS-MIDLAND CO,2019-03-31,10-K,2021-02-18,,,233000000.0,15304000000.0,,
95,ADM,ARCHER-DANIELS-MIDLAND CO,2018-12-31,10-K,2019-02-19,1997000000.0,8280000000.0,315000000.0,15947000000.0,,40833000000.0
96,ADM,ARCHER-DANIELS-MIDLAND CO,2018-12-31,10-K,2020-02-18,1997000000.0,8280000000.0,315000000.0,15947000000.0,,40833000000.0
97,ADM,ARCHER-DANIELS-MIDLAND CO,2018-12-31,10-K,2021-02-18,1997000000.0,,1810000000.0,64341000000.0,,
93,ADM,ARCHER-DANIELS-MIDLAND CO,2018-09-30,10-K,2019-02-19,,,536000000.0,15800000000.0,,
94,ADM,ARCHER-DANIELS-MIDLAND CO,2018-09-30,10-K,2020-02-18,,,536000000.0,15800000000.0,,
91,ADM,ARCHER-DANIELS-MIDLAND CO,2018-06-30,10-K,2019-02-19,,,566000000.0,17068000000.0,,
92,ADM,ARCHER-DANIELS-MIDLAND CO,2018-06-30,10-K,2020-02-18,,,566000000.0,17068000000.0,,
89,ADM,ARCHER-DANIELS-MIDLAND CO,2018-03-31,10-K,2019-02-19,,,393000000.0,15526000000.0,,
90,ADM,ARCHER-DANIELS-MIDLAND CO,2018-03-31,10-K,2020-02-18,,,393000000.0,15526000000.0,,
88,ADM,ARCHER-DANIELS-MIDLAND CO,2018-01-01,10-K,2019-02-19,,,,,,39956000000.0
85,ADM,ARCHER-DANIELS-MIDLAND CO,2017-12-31,10-K,2018-02-16,804000000.0,6636000000.0,788000000.0,16070000000.0,,39963000000.0
86,ADM,ARCHER-DANIELS-MIDLAND CO,2017-12-31,10-K,2019-02-19,804000000.0,6636000000.0,788000000.0,16070000000.0,,39963000000.0
87,ADM,ARCHER-DANIELS-MIDLAND CO,2017-12-31,10-K,2020-02-18,804000000.0,,1595000000.0,60828000000.0,,
83,ADM,ARCHER-DANIELS-MIDLAND CO,2017-09-30,10-K,2018-02-16,,,192000000.0,14827000000.0,,
84,ADM,ARCHER-DANIELS-MIDLAND CO,2017-09-30,10-K,2019-02-19,,,192000000.0,14827000000.0,,
81,ADM,ARCHER-DANIELS-MIDLAND CO,2017-06-30,10-K,2018-02-16,,,276000000.0,14943000000.0,,
82,ADM,ARCHER-DANIELS-MIDLAND CO,2017-06-30,10-K,2019-02-19,,,276000000.0,14943000000.0,,
79,ADM,ARCHER-DANIELS-MIDLAND CO,2017-03-31,10-K,2018-02-16,,,339000000.0,14988000000.0,,
80,ADM,ARCHER-DANIELS-MIDLAND CO,2017-03-31,10-K,2019-02-19,,,339000000.0,14988000000.0,,
76,ADM,ARCHER-DANIELS-MIDLAND CO,2016-12-31,10-K,2017-02-17,619000000.0,6777000000.0,424000000.0,16501000000.0,,39769000000.0
77,ADM,ARCHER-DANIELS-MIDLAND CO,2016-12-31,10-K,2018-02-16,619000000.0,6777000000.0,424000000.0,16501000000.0,,39769000000.0
78,ADM,ARCHER-DANIELS-MIDLAND CO,2016-12-31,10-K,2019-02-19,619000000.0,,1279000000.0,62346000000.0,,
74,ADM,ARCHER-DANIELS-MIDLAND CO,2016-09-30,10-K,2017-02-17,,,341000000.0,15832000000.0,,
75,ADM,ARCHER-DANIELS-MIDLAND CO,2016-09-30,10-K,2018-02-16,,,341000000.0,15832000000.0,,
72,ADM,ARCHER-DANIELS-MIDLAND CO,2016-06-30,10-K,2017-02-17,,,284000000.0,15629000000.0,,
73,ADM,ARCHER-DANIELS-MIDLAND CO,2016-06-30,10-K,2018-02-16,,,284000000.0,15629000000.0,,
70,ADM,ARCHER-DANIELS-MIDLAND CO,2016-03-31,10-K,2017-02-17,,,230000000.0,14384000000.0,,
71,ADM,ARCHER-DANIELS-MIDLAND CO,2016-03-31,10-K,2018-02-16,,,230000000.0,14384000000.0,,
67,ADM,ARCHER-DANIELS-MIDLAND CO,2015-12-31,10-K,2016-02-19,910000000.0,5791000000.0,718000000.0,16445000000.0,,40157000000.0
68,ADM,ARCHER-DANIELS-MIDLAND CO,2015-12-31,10-K,2017-02-17,910000000.0,5791000000.0,718000000.0,16445000000.0,,40157000000.0
69,ADM,ARCHER-DANIELS-MIDLAND CO,2015-12-31,10-K,2018-02-16,910000000.0,,1849000000.0,67702000000.0,,
65,ADM,ARCHER-DANIELS-MIDLAND CO,2015-09-30,10-K,2016-02-19,,,252000000.0,16565000000.0,,
66,ADM,ARCHER-DANIELS-MIDLAND CO,2015-09-30,10-K,2017-02-17,,,252000000.0,16565000000.0,,
63,ADM,ARCHER-DANIELS-MIDLAND CO,2015-06-30,10-K,2016-02-19,,,386000000.0,17186000000.0,,
64,ADM,ARCHER-DANIELS-MIDLAND CO,2015-06-30,10-K,2017-02-17,,,386000000.0,17186000000.0,,
61,ADM,ARCHER-DANIELS-MIDLAND CO,2015-03-31,10-K,2016-02-19,,,493000000.0,17506000000.0,,
62,ADM,ARCHER-DANIELS-MIDLAND CO,2015-03-31,10-K,2017-02-17,,,493000000.0,17506000000.0,,
58,ADM,ARCHER-DANIELS-MIDLAND CO,2014-12-31,10-K,2015-02-20,1099000000.0,5582000000.0,701000000.0,20894000000.0,,44027000000.0
59,ADM,ARCHER-DANIELS-MIDLAND CO,2014-12-31,10-K,2016-02-19,1099000000.0,5552000000.0,701000000.0,20894000000.0,,43997000000.0
60,ADM,ARCHER-DANIELS-MIDLAND CO,2014-12-31,10-K,2017-02-17,1099000000.0,,2248000000.0,81201000000.0,,
56,ADM,ARCHER-DANIELS-MIDLAND CO,2014-09-30,10-K,2015-02-20,,,747000000.0,18117000000.0,,
57,ADM,ARCHER-DANIELS-MIDLAND CO,2014-09-30,10-K,2016-02-19,,,747000000.0,18117000000.0,,
54,ADM,ARCHER-DANIELS-MIDLAND CO,2014-06-30,10-K,2015-02-20,,,533000000.0,21494000000.0,,
55,ADM,ARCHER-DANIELS-MIDLAND CO,2014-06-30,10-K,2016-02-19,,,533000000.0,21494000000.0,,
52,ADM,ARCHER-DANIELS-MIDLAND CO,2014-03-31,10-K,2015-02-20,,,267000000.0,20696000000.0,,
53,ADM,ARCHER-DANIELS-MIDLAND CO,2014-03-31,10-K,2016-02-19,,,267000000.0,20696000000.0,,
49,ADM,ARCHER-DANIELS-MIDLAND CO,2013-12-31,10-K,2014-02-26,3121000000.0,6512000000.0,374000000.0,24143000000.0,,43752000000.0
50,ADM,ARCHER-DANIELS-MIDLAND CO,2013-12-31,10-K,2015-02-20,3121000000.0,6512000000.0,374000000.0,24143000000.0,,43752000000.0
51,ADM,ARCHER-DANIELS-MIDLAND CO,2013-12-31,10-K,2016-02-19,3121000000.0,,1342000000.0,89804000000.0,,
47,ADM,ARCHER-DANIELS-MIDLAND CO,2013-09-30,10-K,2014-02-26,,,476000000.0,21393000000.0,,
48,ADM,ARCHER-DANIELS-MIDLAND CO,2013-09-30,10-K,2015-02-20,,,476000000.0,21393000000.0,,
45,ADM,ARCHER-DANIELS-MIDLAND CO,2013-06-30,10-K,2014-02-26,,,223000000.0,22541000000.0,,
46,ADM,ARCHER-DANIELS-MIDLAND CO,2013-06-30,10-K,2015-02-20,,,223000000.0,22541000000.0,,
43,ADM,ARCHER-DANIELS-MIDLAND CO,2013-03-31,10-K,2014-02-26,,,269000000.0,21727000000.0,,
44,ADM,ARCHER-DANIELS-MIDLAND CO,2013-03-31,10-K,2015-02-20,,,269000000.0,21727000000.0,,
40,ADM,ARCHER-DANIELS-MIDLAND CO,2012-12-31,10-K,2014-02-26,1714000000.0,6724000000.0,510000000.0,24921000000.0,,45136000000.0
41,ADM,ARCHER-DANIELS-MIDLAND CO,2012-12-31,10-K,2015-02-20,1714000000.0,,692000000.0,46729000000.0,,
42,ADM,ARCHER-DANIELS-MIDLAND CO,2012-12-31,10-K,2016-02-19,1714000000.0,,,,,
39,ADM,ARCHER-DANIELS-MIDLAND CO,2012-09-30,10-K,2014-02-26,,,182000000.0,21808000000.0,,
36,ADM,ARCHER-DANIELS-MIDLAND CO,2012-06-30,10-K,2012-08-27,1291000000.0,8212000000.0,284000000.0,22675000000.0,,41553000000.0
37,ADM,ARCHER-DANIELS-MIDLAND CO,2012-06-30,10-K,2014-02-26,1291000000.0,,284000000.0,22675000000.0,,
38,ADM,ARCHER-DANIELS-MIDLAND CO,2012-06-30,10-K,2015-02-20,1291000000.0,,1223000000.0,89038000000.0,,
34,ADM,ARCHER-DANIELS-MIDLAND CO,2012-03-31,10-K,2012-08-27,,,399000000.0,21155000000.0,,
35,ADM,ARCHER-DANIELS-MIDLAND CO,2012-03-31,10-K,2014-02-26,,,399000000.0,21155000000.0,,
31,ADM,ARCHER-DANIELS-MIDLAND CO,2011-12-31,10-K,2012-08-27,,,80000000.0,23306000000.0,,
32,ADM,ARCHER-DANIELS-MIDLAND CO,2011-12-31,10-K,2014-02-26,864000000.0,,80000000.0,23306000000.0,,
33,ADM,ARCHER-DANIELS-MIDLAND CO,2011-12-31,10-K,2015-02-20,864000000.0,,540000000.0,45208000000.0,,
29,ADM,ARCHER-DANIELS-MIDLAND CO,2011-09-30,10-K,2012-08-27,,,460000000.0,21902000000.0,,
30,ADM,ARCHER-DANIELS-MIDLAND CO,2011-09-30,10-K,2014-02-26,,,460000000.0,21902000000.0,,
25,ADM,ARCHER-DANIELS-MIDLAND CO,2011-06-30,10-K,2011-08-25,615000000.0,8444000000.0,381000000.0,22870000000.0,,42193000000.0
26,ADM,ARCHER-DANIELS-MIDLAND CO,2011-06-30,10-K,2012-08-27,615000000.0,8444000000.0,381000000.0,22870000000.0,,42193000000.0
27,ADM,ARCHER-DANIELS-MIDLAND CO,2011-06-30,10-K,2014-02-26,615000000.0,,2036000000.0,80676000000.0,,
28,ADM,ARCHER-DANIELS-MIDLAND CO,2011-06-30,10-K,2015-02-20,615000000.0,,,,,
23,ADM,ARCHER-DANIELS-MIDLAND CO,2011-03-31,10-K,2011-08-25,,,578000000.0,20077000000.0,,
24,ADM,ARCHER-DANIELS-MIDLAND CO,2011-03-31,10-K,2012-08-27,,,578000000.0,20077000000.0,,
21,ADM,ARCHER-DANIELS-MIDLAND CO,2010-12-31,10-K,2011-08-25,,,732000000.0,20930000000.0,,
22,ADM,ARCHER-DANIELS-MIDLAND CO,2010-12-31,10-K,2012-08-27,,,732000000.0,20930000000.0,,
19,ADM,ARCHER-DANIELS-MIDLAND CO,2010-09-30,10-K,2011-08-25,,,345000000.0,16799000000.0,,
