,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
65,EXE,EXPAND ENERGY CORPORATION,2020-12-31,10-K,2022-02-24,279000000.0,,-9734000000.0,-8703000000.0,5240000000.0,,-5341000000.0,6584000000.0,11925000000.0
66,EXE,EXPAND ENERGY CORPORATION,2020-12-31,10-K,2023-02-22,279000000.0,,-9734000000.0,-8703000000.0,5240000000.0,,,,
67,EXE,EXPAND ENERGY CORPORATION,2020-12-31,10-K,2024-02-21,,,,,,,-5341000000.0,,
63,EXE,EXPAND ENERGY CORPORATION,2020-09-30,10-K,2021-03-01,,,-745000000.0,-111000000.0,975000000.0,,,,
62,EXE,EXPAND ENERGY CORPORATION,2020-06-30,10-K,2021-03-01,,,-276000000.0,-541000000.0,521000000.0,,,,
61,EXE,EXPAND ENERGY CORPORATION,2020-03-31,10-K,2021-03-01,,,-8297000000.0,-8227000000.0,2541000000.0,,,,
58,EXE,EXPAND ENERGY CORPORATION,2019-12-31,10-K,2020-02-27,6000000.0,,-308000000.0,-31000000.0,8595000000.0,,4364000000.0,16193000000.0,
59,EXE,EXPAND ENERGY CORPORATION,2019-12-31,10-K,2021-03-01,6000000.0,,-324000000.0,-173000000.0,1926000000.0,,4364000000.0,16193000000.0,11792000000.0
60,EXE,EXPAND ENERGY CORPORATION,2019-12-31,10-K,2022-02-24,6000000.0,,-308000000.0,-31000000.0,8532000000.0,,,,
57,EXE,EXPAND ENERGY CORPORATION,2019-09-30,10-K,2021-03-01,,,-61000000.0,46000000.0,2087000000.0,,,,
56,EXE,EXPAND ENERGY CORPORATION,2019-06-30,10-K,2021-03-01,,,98000000.0,278000000.0,2386000000.0,,,,
55,EXE,EXPAND ENERGY CORPORATION,2019-03-31,10-K,2021-03-01,,,-21000000.0,-182000000.0,2196000000.0,,,,
54,EXE,EXPAND ENERGY CORPORATION,2019-02-01,10-K,2020-02-27,,,,,,717376170.0,,,
51,EXE,EXPAND ENERGY CORPORATION,2018-12-31,10-K,2019-02-27,4000000.0,,873000000.0,882000000.0,10231000000.0,,344000000.0,10947000000.0,
52,EXE,EXPAND ENERGY CORPORATION,2018-12-31,10-K,2020-02-27,4000000.0,,226000000.0,382000000.0,10030000000.0,,2092000000.0,12735000000.0,
53,EXE,EXPAND ENERGY CORPORATION,2018-12-31,10-K,2021-03-01,,,226000000.0,382000000.0,10030000000.0,,,,
48,EXE,EXPAND ENERGY CORPORATION,2017-12-31,10-K,2018-02-22,5000000.0,,949000000.0,1139000000.0,9496000000.0,,-496000000.0,12425000000.0,
49,EXE,EXPAND ENERGY CORPORATION,2017-12-31,10-K,2019-02-27,5000000.0,,949000000.0,1139000000.0,9496000000.0,,-496000000.0,12425000000.0,
50,EXE,EXPAND ENERGY CORPORATION,2017-12-31,10-K,2020-02-27,,,-505000000.0,-138000000.0,10039000000.0,,,,
45,EXE,EXPAND ENERGY CORPORATION,2016-12-31,10-K,2017-03-03,882000000.0,,-4401000000.0,-4411000000.0,7872000000.0,,-1460000000.0,13028000000.0,
46,EXE,EXPAND ENERGY CORPORATION,2016-12-31,10-K,2018-02-22,882000000.0,,-4390000000.0,-4411000000.0,7872000000.0,,-1331000000.0,13028000000.0,
47,EXE,EXPAND ENERGY CORPORATION,2016-12-31,10-K,2019-02-27,882000000.0,,-4390000000.0,-4411000000.0,7872000000.0,,,,
41,EXE,EXPAND ENERGY CORPORATION,2015-12-31,10-K,2016-02-25,825000000.0,,-14685000000.0,-18919000000.0,12764000000.0,,2138000000.0,17357000000.0,
42,EXE,EXPAND ENERGY CORPORATION,2015-12-31,10-K,2017-03-03,825000000.0,,-14685000000.0,-18919000000.0,12764000000.0,,2138000000.0,17314000000.0,
43,EXE,EXPAND ENERGY CORPORATION,2015-12-31,10-K,2018-02-22,,,-14567000000.0,-18919000000.0,12764000000.0,,,,
44,EXE,EXPAND ENERGY CORPORATION,2015-12-31,10-K,2019-02-27,825000000.0,,,,,,,,
38,EXE,EXPAND ENERGY CORPORATION,2014-12-31,10-K,2015-02-27,4108000000.0,11535000000.0,1917000000.0,3477000000.0,20951000000.0,,16903000000.0,40751000000.0,
39,EXE,EXPAND ENERGY CORPORATION,2014-12-31,10-K,2016-02-25,4108000000.0,,1917000000.0,3477000000.0,23125000000.0,,16903000000.0,40751000000.0,
40,EXE,EXPAND ENERGY CORPORATION,2014-12-31,10-K,2017-03-03,4108000000.0,,1917000000.0,3477000000.0,23125000000.0,,,40655000000.0,
34,EXE,EXPAND ENERGY CORPORATION,2013-12-31,10-K,2014-02-27,837000000.0,13230000000.0,724000000.0,2069000000.0,17506000000.0,,15995000000.0,41782000000.0,
35,EXE,EXPAND ENERGY CORPORATION,2013-12-31,10-K,2015-02-27,837000000.0,12886000000.0,724000000.0,2069000000.0,17506000000.0,,15995000000.0,41782000000.0,
