,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
45,AVB,"AVALONBAY COMMUNITIES, INC.",2013-06-30,10-K,2014-03-03,,,,,378207000.0,,,,,
46,AVB,"AVALONBAY COMMUNITIES, INC.",2013-06-30,10-K,2015-02-19,,,,,378207000.0,,,,,
43,AVB,"AVALONBAY COMMUNITIES, INC.",2013-03-31,10-K,2014-03-03,,,,,301356000.0,,,,,
44,AVB,"AVALONBAY COMMUNITIES, INC.",2013-03-31,10-K,2015-02-19,,,,,301356000.0,,,,,
39,AVB,"AVALONBAY COMMUNITIES, INC.",2012-12-31,10-K,2013-02-22,2733618000.0,3854068000.0,423869000.0,708375000.0,271303000.0,,114403472.0,6837215000.0,11160078000.0,4312258000.0
40,AVB,"AVALONBAY COMMUNITIES, INC.",2012-12-31,10-K,2014-03-03,2733618000.0,3854068000.0,423869000.0,681704000.0,261574000.0,,114403472.0,6837215000.0,11160078000.0,4312258000.0
41,AVB,"AVALONBAY COMMUNITIES, INC.",2012-12-31,10-K,2015-02-19,2733618000.0,,423869000.0,667928000.0,1000627000.0,,,,,
42,AVB,"AVALONBAY COMMUNITIES, INC.",2012-12-31,10-K,2016-02-26,2733618000.0,,,,,,,,,
37,AVB,"AVALONBAY COMMUNITIES, INC.",2012-09-30,10-K,2013-02-22,,,,,267151000.0,,,,,
38,AVB,"AVALONBAY COMMUNITIES, INC.",2012-09-30,10-K,2014-03-03,,,,,257568000.0,,,,,
35,AVB,"AVALONBAY COMMUNITIES, INC.",2012-06-30,10-K,2013-02-22,,,,,254172000.0,,,,,
36,AVB,"AVALONBAY COMMUNITIES, INC.",2012-06-30,10-K,2014-03-03,,,,,244697000.0,,,,,
33,AVB,"AVALONBAY COMMUNITIES, INC.",2012-03-31,10-K,2013-02-22,,,,,246032000.0,,,,,
34,AVB,"AVALONBAY COMMUNITIES, INC.",2012-03-31,10-K,2014-03-03,,,,,236788000.0,,,,,
29,AVB,"AVALONBAY COMMUNITIES, INC.",2011-12-31,10-K,2012-02-27,616890000.0,3633125000.0,440450000.0,,251439000.0,,95175677.0,4394741000.0,8482390000.0,4073435000.0
30,AVB,"AVALONBAY COMMUNITIES, INC.",2011-12-31,10-K,2013-02-22,616853000.0,3600025000.0,440450000.0,624444000.0,243089000.0,,95175677.0,4394741000.0,8482390000.0,4073435000.0
31,AVB,"AVALONBAY COMMUNITIES, INC.",2011-12-31,10-K,2014-03-03,616853000.0,,440450000.0,599927000.0,900087000.0,,,,,
32,AVB,"AVALONBAY COMMUNITIES, INC.",2011-12-31,10-K,2015-02-19,616853000.0,,,,,,,,,
27,AVB,"AVALONBAY COMMUNITIES, INC.",2011-09-30,10-K,2012-02-27,,,,,247557000.0,,,,,
28,AVB,"AVALONBAY COMMUNITIES, INC.",2011-09-30,10-K,2013-02-22,,,,,239568000.0,,,,,
25,AVB,"AVALONBAY COMMUNITIES, INC.",2011-06-30,10-K,2012-02-27,,,,,239304000.0,,,,,
26,AVB,"AVALONBAY COMMUNITIES, INC.",2011-06-30,10-K,2013-02-22,,,,,231218000.0,,,,,
23,AVB,"AVALONBAY COMMUNITIES, INC.",2011-03-31,10-K,2012-02-27,,,,,230411000.0,,,,,
24,AVB,"AVALONBAY COMMUNITIES, INC.",2011-03-31,10-K,2013-02-22,,,,,222495000.0,,,,,
19,AVB,"AVALONBAY COMMUNITIES, INC.",2010-12-31,10-K,2011-02-23,306426000.0,,175331000.0,,231891000.0,,,3310618000.0,7821488000.0,4491635000.0
20,AVB,"AVALONBAY COMMUNITIES, INC.",2010-12-31,10-K,2012-02-27,304407000.0,4068417000.0,176259000.0,,226552000.0,,85899080.0,3310618000.0,7821488000.0,4491635000.0
21,AVB,"AVALONBAY COMMUNITIES, INC.",2010-12-31,10-K,2013-02-22,304407000.0,,176259000.0,545510000.0,842820000.0,,,,,
22,AVB,"AVALONBAY COMMUNITIES, INC.",2010-12-31,10-K,2014-03-03,304407000.0,,,,,,,,,
17,AVB,"AVALONBAY COMMUNITIES, INC.",2010-09-30,10-K,2011-02-23,,,,,227583000.0,,,,,
18,AVB,"AVALONBAY COMMUNITIES, INC.",2010-09-30,10-K,2012-02-27,,,,,222224000.0,,,,,
15,AVB,"AVALONBAY COMMUNITIES, INC.",2010-06-30,10-K,2011-02-23,,,,,220342000.0,,,,,
16,AVB,"AVALONBAY COMMUNITIES, INC.",2010-06-30,10-K,2012-02-27,,,,,215029000.0,,,,,
13,AVB,"AVALONBAY COMMUNITIES, INC.",2010-03-31,10-K,2011-02-23,,,,,215450000.0,,,,,
14,AVB,"AVALONBAY COMMUNITIES, INC.",2010-03-31,10-K,2012-02-27,,,,,210196000.0,,,,,
9,AVB,"AVALONBAY COMMUNITIES, INC.",2009-12-31,10-K,2010-03-01,105691000.0,,155647000.0,,851582000.0,,,3050127000.0,7457605000.0,4401681000.0
10,AVB,"AVALONBAY COMMUNITIES, INC.",2009-12-31,10-K,2011-02-23,105691000.0,,155647000.0,,214292000.0,,,3050127000.0,7457605000.0,4401681000.0
11,AVB,"AVALONBAY COMMUNITIES, INC.",2009-12-31,10-K,2012-02-27,103672000.0,,155647000.0,,829924000.0,,,,,
