,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
79,CBRE,"CBRE GROUP, INC.",2019-12-31,10-K,2022-03-01,,,1282357000.0,1259875000.0,23894091000.0,23274086000.0,,,,
76,CBRE,"CBRE GROUP, INC.",2019-09-30,10-K,2021-02-24,,,256599000.0,316630000.0,5925101000.0,,,,,
75,CBRE,"CBRE GROUP, INC.",2019-06-30,10-K,2021-02-24,,,223731000.0,284417000.0,5714073000.0,,,,,
74,CBRE,"CBRE GROUP, INC.",2019-03-31,10-K,2021-02-24,,,164409000.0,144987000.0,5135510000.0,,,,,
71,CBRE,"CBRE GROUP, INC.",2018-12-31,10-K,2019-03-01,777219000.0,,1063219000.0,1087989000.0,21340088000.0,20658939000.0,336912783.0,4938797000.0,13456793000.0,8446891000.0
72,CBRE,"CBRE GROUP, INC.",2018-12-31,10-K,2020-03-02,777219000.0,,1063219000.0,1087989000.0,21340088000.0,20778100000.0,336912783.0,4938797000.0,13456793000.0,8446891000.0
73,CBRE,"CBRE GROUP, INC.",2018-12-31,10-K,2021-02-24,,,1063219000.0,1087989000.0,21340088000.0,20778100000.0,,,,
68,CBRE,"CBRE GROUP, INC.",2017-12-31,10-K,2018-03-01,751774000.0,,691479000.0,1071442000.0,14209608000.0,,339459138.0,4019430000.0,11483830000.0,7404282000.0
69,CBRE,"CBRE GROUP, INC.",2017-12-31,10-K,2019-03-01,751774000.0,,697109000.0,1078682000.0,18628787000.0,18048487000.0,339459138.0,4114496000.0,11718396000.0,7543782000.0
70,CBRE,"CBRE GROUP, INC.",2017-12-31,10-K,2020-03-02,,,697109000.0,1078682000.0,18628787000.0,18152507000.0,,,,
65,CBRE,"CBRE GROUP, INC.",2016-12-31,10-K,2017-03-01,762576000.0,2574301000.0,263975000.0,352821000.0,3823831000.0,,337279449.0,3014487000.0,10779587000.0,7722342000.0
66,CBRE,"CBRE GROUP, INC.",2016-12-31,10-K,2018-03-01,762576000.0,,571973000.0,815487000.0,13071589000.0,,337279449.0,3014487000.0,10779587000.0,7722342000.0
67,CBRE,"CBRE GROUP, INC.",2016-12-31,10-K,2019-03-01,,,573079000.0,816831000.0,17369108000.0,16830004000.0,,,,
64,CBRE,"CBRE GROUP, INC.",2016-09-30,10-K,2017-03-01,,,104163000.0,172492000.0,3193487000.0,,,,,
63,CBRE,"CBRE GROUP, INC.",2016-06-30,10-K,2017-03-01,,,121668000.0,182594000.0,3207537000.0,,,,,
62,CBRE,"CBRE GROUP, INC.",2016-03-31,10-K,2017-03-01,,,82167000.0,107580000.0,2846734000.0,,,,,
59,CBRE,"CBRE GROUP, INC.",2015-12-31,10-K,2016-02-29,540403000.0,2710438000.0,180043000.0,206983000.0,3700242000.0,,334230496.0,2712652000.0,11017943000.0,8258873000.0
60,CBRE,"CBRE GROUP, INC.",2015-12-31,10-K,2017-03-01,540403000.0,2710438000.0,180043000.0,206983000.0,3700242000.0,,334230496.0,2712652000.0,11017943000.0,8258873000.0
61,CBRE,"CBRE GROUP, INC.",2015-12-31,10-K,2018-03-01,540403000.0,,547132000.0,835944000.0,10855810000.0,,,,,
57,CBRE,"CBRE GROUP, INC.",2015-09-30,10-K,2016-02-29,,,149123000.0,240101000.0,2712559000.0,,,,,
58,CBRE,"CBRE GROUP, INC.",2015-09-30,10-K,2017-03-01,,,149123000.0,240101000.0,2712559000.0,,,,,
55,CBRE,"CBRE GROUP, INC.",2015-06-30,10-K,2016-02-29,,,125029000.0,228755000.0,2390506000.0,,,,,
56,CBRE,"CBRE GROUP, INC.",2015-06-30,10-K,2017-03-01,,,125029000.0,228755000.0,2390506000.0,,,,,
53,CBRE,"CBRE GROUP, INC.",2015-03-31,10-K,2016-02-29,,,92937000.0,160105000.0,2052503000.0,,,,,
54,CBRE,"CBRE GROUP, INC.",2015-03-31,10-K,2017-03-01,,,92937000.0,160105000.0,2052503000.0,,,,,
49,CBRE,"CBRE GROUP, INC.",2014-12-31,10-K,2015-03-02,740884000.0,1875209000.0,204277000.0,288627000.0,2787194000.0,,332991031.0,2259830000.0,7647105000.0,5345707000.0
50,CBRE,"CBRE GROUP, INC.",2014-12-31,10-K,2016-02-29,740884000.0,1875209000.0,204277000.0,288627000.0,2787194000.0,,332991031.0,2259830000.0,7568010000.0,5266612000.0
51,CBRE,"CBRE GROUP, INC.",2014-12-31,10-K,2017-03-01,740884000.0,,484503000.0,792254000.0,9049918000.0,,,,,
52,CBRE,"CBRE GROUP, INC.",2014-12-31,10-K,2018-03-01,740884000.0,,,,,,,,,
47,CBRE,"CBRE GROUP, INC.",2014-09-30,10-K,2015-03-02,,,107099000.0,185140000.0,2275076000.0,,,,,
48,CBRE,"CBRE GROUP, INC.",2014-09-30,10-K,2016-02-29,,,107099000.0,185140000.0,2275076000.0,,,,,
45,CBRE,"CBRE GROUP, INC.",2014-06-30,10-K,2015-03-02,,,105464000.0,206006000.0,2126806000.0,,,,,
46,CBRE,"CBRE GROUP, INC.",2014-06-30,10-K,2016-02-29,,,105464000.0,206006000.0,2126806000.0,,,,,
43,CBRE,"CBRE GROUP, INC.",2014-03-31,10-K,2015-03-02,,,67663000.0,112481000.0,1860842000.0,,,,,
44,CBRE,"CBRE GROUP, INC.",2014-03-31,10-K,2016-02-29,,,67663000.0,112481000.0,1860842000.0,,,,,
39,CBRE,"CBRE GROUP, INC.",2013-12-31,10-K,2014-03-03,491912000.0,1840680000.0,114646000.0,169211000.0,2233851000.0,,331927166.0,1895785000.0,6998414000.0,5062408000.0
40,CBRE,"CBRE GROUP, INC.",2013-12-31,10-K,2015-03-02,491912000.0,1840680000.0,114646000.0,169211000.0,2233851000.0,,331927166.0,1895785000.0,6998414000.0,5062408000.0
41,CBRE,"CBRE GROUP, INC.",2013-12-31,10-K,2016-02-29,491912000.0,,316538000.0,616128000.0,7184794000.0,,,,,
42,CBRE,"CBRE GROUP, INC.",2013-12-31,10-K,2017-03-01,491912000.0,,,,,,,,,
37,CBRE,"CBRE GROUP, INC.",2013-09-30,10-K,2014-03-03,,,94444000.0,158119000.0,1733866000.0,,,,,
38,CBRE,"CBRE GROUP, INC.",2013-09-30,10-K,2015-03-02,,,94444000.0,158119000.0,1733866000.0,,,,,
35,CBRE,"CBRE GROUP, INC.",2013-06-30,10-K,2014-03-03,,,69902000.0,187624000.0,1742014000.0,,,,,
36,CBRE,"CBRE GROUP, INC.",2013-06-30,10-K,2015-03-02,,,69902000.0,187624000.0,1742014000.0,,,,,
33,CBRE,"CBRE GROUP, INC.",2013-03-31,10-K,2014-03-03,,,37546000.0,101174000.0,1475063000.0,,,,,
34,CBRE,"CBRE GROUP, INC.",2013-03-31,10-K,2015-03-02,,,37546000.0,101174000.0,1475063000.0,,,,,
29,CBRE,"CBRE GROUP, INC.",2012-12-31,10-K,2013-03-01,1089297000.0,2427605000.0,172998000.0,232723000.0,2005846000.0,,330082187.0,1539211000.0,7809542000.0,6127730000.0
30,CBRE,"CBRE GROUP, INC.",2012-12-31,10-K,2014-03-03,1089297000.0,2427605000.0,172998000.0,232723000.0,2005846000.0,,330082187.0,1539211000.0,7809542000.0,6127730000.0
31,CBRE,"CBRE GROUP, INC.",2012-12-31,10-K,2015-03-02,1089297000.0,,315555000.0,585081000.0,6514099000.0,,,,,
32,CBRE,"CBRE GROUP, INC.",2012-12-31,10-K,2016-02-29,1089297000.0,,,,,,,,,
27,CBRE,"CBRE GROUP, INC.",2012-09-30,10-K,2013-03-01,,,39709000.0,103595000.0,1557147000.0,,,,,
28,CBRE,"CBRE GROUP, INC.",2012-09-30,10-K,2014-03-03,,,39709000.0,103595000.0,1557147000.0,,,,,
25,CBRE,"CBRE GROUP, INC.",2012-06-30,10-K,2013-03-01,,,75873000.0,172700000.0,1601117000.0,,,,,
26,CBRE,"CBRE GROUP, INC.",2012-06-30,10-K,2014-03-03,,,75873000.0,172700000.0,1601117000.0,,,,,
23,CBRE,"CBRE GROUP, INC.",2012-03-31,10-K,2013-03-01,,,26975000.0,76063000.0,1349989000.0,,,,,
24,CBRE,"CBRE GROUP, INC.",2012-03-31,10-K,2014-03-03,,,26975000.0,76063000.0,1349989000.0,,,,,
19,CBRE,"CBRE GROUP, INC.",2011-12-31,10-K,2012-02-29,1093182000.0,2472686000.0,79763000.0,116556000.0,1763625000.0,,327972156.0,1151481000.0,7219143000.0,5801980000.0
20,CBRE,"CBRE GROUP, INC.",2011-12-31,10-K,2013-03-01,1093182000.0,2472686000.0,79763000.0,116556000.0,1763625000.0,,327972156.0,1151481000.0,7219143000.0,5801980000.0
21,CBRE,"CBRE GROUP, INC.",2011-12-31,10-K,2014-03-03,1093182000.0,,239162000.0,462862000.0,5905411000.0,,,,,
22,CBRE,"CBRE GROUP, INC.",2011-12-31,10-K,2015-03-02,1093182000.0,,,,,,,,,
17,CBRE,"CBRE GROUP, INC.",2011-09-30,10-K,2012-02-29,,,63807000.0,143005000.0,1534463000.0,,,,,
18,CBRE,"CBRE GROUP, INC.",2011-09-30,10-K,2013-03-01,,,63807000.0,143005000.0,1534463000.0,,,,,
15,CBRE,"CBRE GROUP, INC.",2011-06-30,10-K,2012-02-29,,,61223000.0,130182000.0,1422218000.0,,,,,
16,CBRE,"CBRE GROUP, INC.",2011-06-30,10-K,2013-03-01,,,61223000.0,130182000.0,1422218000.0,,,,,
13,CBRE,"CBRE GROUP, INC.",2011-03-31,10-K,2012-02-29,,,34369000.0,73119000.0,1185105000.0,,,,,
14,CBRE,"CBRE GROUP, INC.",2011-03-31,10-K,2013-03-01,,,34369000.0,73119000.0,1185105000.0,,,,,
9,CBRE,"CBRE GROUP, INC.",2010-12-31,10-K,2011-03-01,506574000.0,,200345000.0,446379000.0,5115316000.0,,323594919.0,908215000.0,5121568000.0,4055773000.0
10,CBRE,"CBRE GROUP, INC.",2010-12-31,10-K,2012-02-29,506574000.0,1428322000.0,95144000.0,172933000.0,1651296000.0,,323594919.0,908215000.0,5121568000.0,4055773000.0
11,CBRE,"CBRE GROUP, INC.",2010-12-31,10-K,2013-03-01,506574000.0,,200345000.0,446379000.0,5115316000.0,,,,,
12,CBRE,"CBRE GROUP, INC.",2010-12-31,10-K,2014-03-03,506574000.0,,,,,,,,,
8,CBRE,"CBRE GROUP, INC.",2010-09-30,10-K,2012-02-29,,,57038000.0,130579000.0,1266218000.0,,,,,
7,CBRE,"CBRE GROUP, INC.",2010-06-30,10-K,2012-02-29,,,54790000.0,97179000.0,1171919000.0,,,,,
6,CBRE,"CBRE GROUP, INC.",2010-03-31,10-K,2012-02-29,,,-6627000.0,45688000.0,1025883000.0,,,,,
3,CBRE,"CBRE GROUP, INC.",2009-12-31,10-K,2011-03-01,741557000.0,,33341000.0,241842000.0,4165820000.0,,321767407.0,629122000.0,5039406000.0,4255111000.0
4,CBRE,"CBRE GROUP, INC.",2009-12-31,10-K,2012-02-29,741557000.0,,33341000.0,241842000.0,4165820000.0,,,,,
5,CBRE,"CBRE GROUP, INC.",2009-12-31,10-K,2013-03-01,741557000.0,,,,,,,,,
1,CBRE,"CBRE GROUP, INC.",2008-12-31,10-K,2011-03-01,158823000.0,,-1012066000.0,-788469000.0,5128817000.0,,,,,
2,CBRE,"CBRE GROUP, INC.",2008-12-31,10-K,2012-02-29,158823000.0,,,,,,,,,
0,CBRE,"CBRE GROUP, INC.",2007-12-31,10-K,2011-03-01,342874000.0,,,,,,,,,
