,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,stockholders_equity,total_assets,total_liabilities
69,BKNG,Booking Holdings Inc.,2019-03-31,10-K,2020-02-26,,,,,2837000000.0,,,
65,BKNG,Booking Holdings Inc.,2018-12-31,10-K,2019-02-27,2624000000.0,8649000000.0,,5341000000.0,3213000000.0,8785000000.0,22687000000.0,13902000000.0
66,BKNG,Booking Holdings Inc.,2018-12-31,10-K,2020-02-26,2624000000.0,8649000000.0,,5341000000.0,3213000000.0,8785000000.0,22687000000.0,13902000000.0
67,BKNG,Booking Holdings Inc.,2018-12-31,10-K,2021-02-24,2624000000.0,,,5341000000.0,14527000000.0,8785000000.0,,
68,BKNG,Booking Holdings Inc.,2018-12-31,10-K,2022-02-23,,,,,,8785000000.0,,
63,BKNG,Booking Holdings Inc.,2018-09-30,10-K,2019-02-27,,,,,4849000000.0,,,
64,BKNG,Booking Holdings Inc.,2018-09-30,10-K,2020-02-26,,,,,4849000000.0,,,
61,BKNG,Booking Holdings Inc.,2018-06-30,10-K,2019-02-27,,,,,3537000000.0,,,
62,BKNG,Booking Holdings Inc.,2018-06-30,10-K,2020-02-26,,,,,3537000000.0,,,
59,BKNG,Booking Holdings Inc.,2018-03-31,10-K,2019-02-27,,,,,2928000000.0,,,
60,BKNG,Booking Holdings Inc.,2018-03-31,10-K,2020-02-26,,,,,2928000000.0,,,
55,BKNG,Booking Holdings Inc.,2017-12-31,10-K,2018-02-27,2541604000.0,8809788000.0,,4537992000.0,,11260598000.0,25451263000.0,14187702000.0
56,BKNG,Booking Holdings Inc.,2017-12-31,10-K,2019-02-27,2542000000.0,8810000000.0,,4538000000.0,2803000000.0,11261000000.0,25451000000.0,14187000000.0
57,BKNG,Booking Holdings Inc.,2017-12-31,10-K,2020-02-26,2542000000.0,,,4538000000.0,12681000000.0,11261000000.0,,
58,BKNG,Booking Holdings Inc.,2017-12-31,10-K,2021-02-24,,,,,,11261000000.0,,
54,BKNG,Booking Holdings Inc.,2017-09-30,10-K,2019-02-27,,,,,4434000000.0,,,
53,BKNG,Booking Holdings Inc.,2017-06-30,10-K,2019-02-27,,,,,3025000000.0,,,
52,BKNG,Booking Holdings Inc.,2017-03-31,10-K,2019-02-27,,,,,2419000000.0,,,
48,BKNG,Booking Holdings Inc.,2016-12-31,10-K,2017-02-27,2081075000.0,6170522000.0,,2906313000.0,,9820142000.0,19838973000.0,9990293000.0
49,BKNG,Booking Holdings Inc.,2016-12-31,10-K,2018-02-27,2081075000.0,6170522000.0,,2906313000.0,,9820142000.0,19838973000.0,9990293000.0
50,BKNG,Booking Holdings Inc.,2016-12-31,10-K,2019-02-27,,,,2906000000.0,10743000000.0,9820000000.0,,
51,BKNG,Booking Holdings Inc.,2016-12-31,10-K,2020-02-26,,,,,,9820000000.0,,
44,BKNG,Booking Holdings Inc.,2015-12-31,10-K,2016-02-17,1477265000.0,6158443000.0,,3258907000.0,,8795469000.0,17420575000.0,8625106000.0
45,BKNG,Booking Holdings Inc.,2015-12-31,10-K,2017-02-27,1477265000.0,6158443000.0,,3258907000.0,,8795469000.0,17420575000.0,8625106000.0
46,BKNG,Booking Holdings Inc.,2015-12-31,10-K,2018-02-27,1477265000.0,,,3258907000.0,,8795469000.0,,
47,BKNG,Booking Holdings Inc.,2015-12-31,10-K,2019-02-27,,,,,,8795000000.0,,
40,BKNG,Booking Holdings Inc.,2014-12-31,10-K,2015-02-19,3148651000.0,3849756000.0,,3073312000.0,,8566694000.0,14940563000.0,6373540000.0
41,BKNG,Booking Holdings Inc.,2014-12-31,10-K,2016-02-17,3148651000.0,3823870000.0,,3073312000.0,,8566694000.0,14770977000.0,6203954000.0
42,BKNG,Booking Holdings Inc.,2014-12-31,10-K,2017-02-27,,,,3073312000.0,,8566694000.0,,
43,BKNG,Booking Holdings Inc.,2014-12-31,10-K,2018-02-27,,,,,,8566694000.0,,
36,BKNG,Booking Holdings Inc.,2013-12-31,10-K,2014-02-20,1289994000.0,,,2412414000.0,,6909729000.0,10444460000.0,3526198000.0
37,BKNG,Booking Holdings Inc.,2013-12-31,10-K,2015-02-19,1289994000.0,1742047000.0,,2412414000.0,,6909729000.0,10444460000.0,3526198000.0
38,BKNG,Booking Holdings Inc.,2013-12-31,10-K,2016-02-17,1289994000.0,,,2412414000.0,,6909729000.0,,
39,BKNG,Booking Holdings Inc.,2013-12-31,10-K,2017-02-27,,,,,,6909729000.0,,
32,BKNG,Booking Holdings Inc.,2012-12-31,10-K,2013-02-27,1536349000.0,,288663000.0,1829793000.0,,3896975000.0,6569742000.0,2457825000.0
33,BKNG,Booking Holdings Inc.,2012-12-31,10-K,2014-02-20,1536349000.0,,,1829793000.0,,3896975000.0,6569742000.0,2457825000.0
34,BKNG,Booking Holdings Inc.,2012-12-31,10-K,2015-02-19,1536349000.0,,,1829793000.0,,3896975000.0,,
35,BKNG,Booking Holdings Inc.,2012-12-31,10-K,2016-02-17,1536349000.0,,,,,3896975000.0,,
31,BKNG,Booking Holdings Inc.,2012-09-30,10-K,2013-02-27,,,596586000.0,,,,,
30,BKNG,Booking Holdings Inc.,2012-06-30,10-K,2013-02-27,,,352347000.0,,,,,
29,BKNG,Booking Holdings Inc.,2012-03-31,10-K,2013-02-27,,,181970000.0,,,,,
25,BKNG,Booking Holdings Inc.,2011-12-31,10-K,2012-02-27,632836000.0,,225715000.0,1398922000.0,,2574295000.0,3970671000.0,1191971000.0
26,BKNG,Booking Holdings Inc.,2011-12-31,10-K,2013-02-27,632836000.0,,225715000.0,1398922000.0,,2574295000.0,3970671000.0,1191971000.0
27,BKNG,Booking Holdings Inc.,2011-12-31,10-K,2014-02-20,632836000.0,,,1398922000.0,,2574295000.0,,
28,BKNG,Booking Holdings Inc.,2011-12-31,10-K,2015-02-19,632836000.0,,,,,2574295000.0,,
23,BKNG,Booking Holdings Inc.,2011-09-30,10-K,2012-02-27,,,469499000.0,,,,,
24,BKNG,Booking Holdings Inc.,2011-09-30,10-K,2013-02-27,,,469499000.0,,,,,
21,BKNG,Booking Holdings Inc.,2011-06-30,10-K,2012-02-27,,,256368000.0,,,,,
22,BKNG,Booking Holdings Inc.,2011-06-30,10-K,2013-02-27,,,256368000.0,,,,,
19,BKNG,Booking Holdings Inc.,2011-03-31,10-K,2012-02-27,,,104790000.0,,,,,
20,BKNG,Booking Holdings Inc.,2011-03-31,10-K,2013-02-27,,,104790000.0,,,,,
15,BKNG,Booking Holdings Inc.,2010-12-31,10-K,2011-02-25,358967000.0,,135729000.0,786797000.0,,,2905953000.0,1046828000.0
16,BKNG,Booking Holdings Inc.,2010-12-31,10-K,2012-02-27,358967000.0,,135729000.0,786797000.0,,1813336000.0,2905953000.0,1046828000.0
17,BKNG,Booking Holdings Inc.,2010-12-31,10-K,2013-02-27,358967000.0,,,786797000.0,,1813336000.0,,
18,BKNG,Booking Holdings Inc.,2010-12-31,10-K,2014-02-20,358967000.0,,,,,1813336000.0,,
13,BKNG,Booking Holdings Inc.,2010-09-30,10-K,2011-02-25,,,222980000.0,,,,,
14,BKNG,Booking Holdings Inc.,2010-09-30,10-K,2012-02-27,,,222980000.0,,,,,
11,BKNG,Booking Holdings Inc.,2010-06-30,10-K,2011-02-25,,,114957000.0,,,,,
12,BKNG,Booking Holdings Inc.,2010-06-30,10-K,2012-02-27,,,114957000.0,,,,,
9,BKNG,Booking Holdings Inc.,2010-03-31,10-K,2011-02-25,,,53875000.0,,,,,
10,BKNG,Booking Holdings Inc.,2010-03-31,10-K,2012-02-27,,,53875000.0,,,,,
6,BKNG,Booking Holdings Inc.,2009-12-31,10-K,2011-02-25,202141000.0,,78455000.0,470835000.0,,,1834224000.0,476610000.0
7,BKNG,Booking Holdings Inc.,2009-12-31,10-K,2012-02-27,202141000.0,,,470835000.0,,1321629000.0,,
8,BKNG,Booking Holdings Inc.,2009-12-31,10-K,2013-02-27,202141000.0,,,,,1321629000.0,,
5,BKNG,Booking Holdings Inc.,2009-09-30,10-K,2011-02-25,,,318982000.0,,,,,
4,BKNG,Booking Holdings Inc.,2009-06-30,10-K,2011-02-25,,,67011000.0,,,,,
3,BKNG,Booking Holdings Inc.,2009-03-31,10-K,2011-02-25,,,25023000.0,,,,,
1,BKNG,Booking Holdings Inc.,2008-12-31,10-K,2011-02-25,364550000.0,,182246000.0,289474000.0,,,,
2,BKNG,Booking Holdings Inc.,2008-12-31,10-K,2012-02-27,364550000.0,,,,,698826000.0,,
0,BKNG,Booking Holdings Inc.,2007-12-31,10-K,2011-02-25,385359000.0,,,,,,,
