,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,stockholders_equity,total_assets,total_liabilities
121,BAX,Baxter International Inc.,2022-12-31,10-K,2023-02-09,1718000000.0,16702000000.0,-2433000000.0,-1943000000.0,15113000000.0,5833000000.0,28287000000.0,22392000000.0
122,BAX,Baxter International Inc.,2022-12-31,10-K,2024-02-08,1718000000.0,,181000000.0,-2243000000.0,3745000000.0,5833000000.0,28287000000.0,22392000000.0
123,BAX,Baxter International Inc.,2022-12-31,10-K,2025-02-21,1621000000.0,,-2433000000.0,-2845000000.0,10057000000.0,,,
120,BAX,Baxter International Inc.,2022-09-30,10-K,2024-02-08,,,-2937000000.0,,3609000000.0,,,
119,BAX,Baxter International Inc.,2022-06-30,10-K,2024-02-08,,,252000000.0,,3594000000.0,,,
118,BAX,Baxter International Inc.,2022-03-31,10-K,2024-02-08,,,71000000.0,,3558000000.0,,,
115,BAX,Baxter International Inc.,2021-12-31,10-K,2022-02-23,2951000000.0,17754000000.0,1284000000.0,1710000000.0,12784000000.0,9077000000.0,33521000000.0,24400000000.0
116,BAX,Baxter International Inc.,2021-12-31,10-K,2023-02-09,2951000000.0,,1284000000.0,1710000000.0,12784000000.0,9077000000.0,33521000000.0,24400000000.0
117,BAX,Baxter International Inc.,2021-12-31,10-K,2024-02-08,2951000000.0,,1284000000.0,1350000000.0,12146000000.0,,,
112,BAX,Baxter International Inc.,2020-12-31,10-K,2021-02-11,3730000000.0,6233000000.0,168000000.0,1616000000.0,3181000000.0,8689000000.0,20019000000.0,11293000000.0
113,BAX,Baxter International Inc.,2020-12-31,10-K,2022-02-23,3730000000.0,,1102000000.0,1616000000.0,11673000000.0,8689000000.0,20019000000.0,11293000000.0
114,BAX,Baxter International Inc.,2020-12-31,10-K,2023-02-09,3730000000.0,,1102000000.0,1616000000.0,11673000000.0,,,
111,BAX,Baxter International Inc.,2020-09-30,10-K,2021-02-11,,,356000000.0,,2972000000.0,,,
110,BAX,Baxter International Inc.,2020-06-30,10-K,2021-02-11,,,246000000.0,,2718000000.0,,,
109,BAX,Baxter International Inc.,2020-03-31,10-K,2021-02-11,,,332000000.0,,2802000000.0,,,
106,BAX,Baxter International Inc.,2019-12-31,10-K,2020-03-17,3335000000.0,,-23000000.0,1772000000.0,3039000000.0,7882000000.0,18193000000.0,10281000000.0
107,BAX,Baxter International Inc.,2019-12-31,10-K,2021-02-11,3335000000.0,,-23000000.0,1772000000.0,3039000000.0,7882000000.0,18193000000.0,10281000000.0
108,BAX,Baxter International Inc.,2019-12-31,10-K,2022-02-23,,,1001000000.0,1772000000.0,11362000000.0,,,
104,BAX,Baxter International Inc.,2019-09-30,10-K,2020-03-17,,,369000000.0,,2851000000.0,,,
105,BAX,Baxter International Inc.,2019-09-30,10-K,2021-02-11,,,369000000.0,,2851000000.0,,,
102,BAX,Baxter International Inc.,2019-06-30,10-K,2020-03-17,2934000000.0,,313000000.0,350000000.0,2834000000.0,7779000000.0,17503000000.0,9700000000.0
103,BAX,Baxter International Inc.,2019-06-30,10-K,2021-02-11,,,313000000.0,,2834000000.0,,,
100,BAX,Baxter International Inc.,2019-03-31,10-K,2020-03-17,1902000000.0,,342000000.0,383000000.0,2638000000.0,7570000000.0,16241000000.0,8648000000.0
101,BAX,Baxter International Inc.,2019-03-31,10-K,2021-02-11,,,342000000.0,,2638000000.0,,,
97,BAX,Baxter International Inc.,2018-12-31,10-K,2019-02-21,1832000000.0,,348000000.0,1599000000.0,2841000000.0,7794000000.0,15641000000.0,7825000000.0
98,BAX,Baxter International Inc.,2018-12-31,10-K,2020-03-17,1838000000.0,,305000000.0,391000000.0,2833000000.0,7844000000.0,15720000000.0,7854000000.0
99,BAX,Baxter International Inc.,2018-12-31,10-K,2021-02-11,,,1546000000.0,1584000000.0,11099000000.0,,,
95,BAX,Baxter International Inc.,2018-09-30,10-K,2019-02-21,,,544000000.0,,2767000000.0,,,
96,BAX,Baxter International Inc.,2018-09-30,10-K,2020-03-17,2863000000.0,,518000000.0,,2761000000.0,9107000000.0,16803000000.0,7713000000.0
93,BAX,Baxter International Inc.,2018-06-30,10-K,2019-02-21,,,343000000.0,,2842000000.0,,,
94,BAX,Baxter International Inc.,2018-06-30,10-K,2020-03-17,2858000000.0,,341000000.0,377000000.0,2813000000.0,8842000000.0,16519000000.0,7689000000.0
91,BAX,Baxter International Inc.,2018-03-31,10-K,2019-02-21,,,389000000.0,,2677000000.0,,,
92,BAX,Baxter International Inc.,2018-03-31,10-K,2020-03-17,2949000000.0,,382000000.0,434000000.0,2692000000.0,9068000000.0,16843000000.0,7781000000.0
88,BAX,Baxter International Inc.,2017-12-31,10-K,2018-02-23,3394000000.0,,-71000000.0,1258000000.0,,9124000000.0,17111000000.0,
89,BAX,Baxter International Inc.,2017-12-31,10-K,2019-02-21,3394000000.0,,-71000000.0,1291000000.0,2774000000.0,9124000000.0,17111000000.0,7995000000.0
90,BAX,Baxter International Inc.,2017-12-31,10-K,2020-03-17,,,602000000.0,1288000000.0,10584000000.0,,,
86,BAX,Baxter International Inc.,2017-09-30,10-K,2018-02-23,,,251000000.0,,,,,
87,BAX,Baxter International Inc.,2017-09-30,10-K,2019-02-21,,,251000000.0,,2707000000.0,,,
84,BAX,Baxter International Inc.,2017-06-30,10-K,2018-02-23,,,265000000.0,,,,,
85,BAX,Baxter International Inc.,2017-06-30,10-K,2019-02-21,,,265000000.0,,2605000000.0,,,
82,BAX,Baxter International Inc.,2017-03-31,10-K,2018-02-23,,,272000000.0,,,,,
83,BAX,Baxter International Inc.,2017-03-31,10-K,2019-02-21,,,272000000.0,,2475000000.0,,,
79,BAX,Baxter International Inc.,2016-12-31,10-K,2017-02-23,2801000000.0,,243000000.0,724000000.0,,8290000000.0,15546000000.0,
80,BAX,Baxter International Inc.,2016-12-31,10-K,2018-02-23,2801000000.0,,243000000.0,724000000.0,,8290000000.0,15546000000.0,
81,BAX,Baxter International Inc.,2016-12-31,10-K,2019-02-21,2801000000.0,,4965000000.0,745000000.0,10163000000.0,,,
77,BAX,Baxter International Inc.,2016-09-30,10-K,2017-02-23,,,130000000.0,,,,,
78,BAX,Baxter International Inc.,2016-09-30,10-K,2018-02-23,,,130000000.0,,,,,
75,BAX,Baxter International Inc.,2016-06-30,10-K,2017-02-23,,,1212000000.0,,,,,
76,BAX,Baxter International Inc.,2016-06-30,10-K,2018-02-23,,,1212000000.0,,,,,
73,BAX,Baxter International Inc.,2016-03-31,10-K,2017-02-23,,,3380000000.0,,,,,
74,BAX,Baxter International Inc.,2016-03-31,10-K,2018-02-23,,,3380000000.0,,,,,
69,BAX,Baxter International Inc.,2015-12-31,10-K,2016-02-26,2213000000.0,,205000000.0,449000000.0,,8846000000.0,20975000000.0,
70,BAX,Baxter International Inc.,2015-12-31,10-K,2017-02-23,2213000000.0,,205000000.0,449000000.0,,8846000000.0,20962000000.0,
71,BAX,Baxter International Inc.,2015-12-31,10-K,2018-02-23,2213000000.0,,968000000.0,449000000.0,,,,
72,BAX,Baxter International Inc.,2015-12-31,10-K,2019-02-21,2213000000.0,,,,,,,
67,BAX,Baxter International Inc.,2015-09-30,10-K,2016-02-26,,,1000000.0,,,,,
68,BAX,Baxter International Inc.,2015-09-30,10-K,2017-02-23,,,1000000.0,,,,,
65,BAX,Baxter International Inc.,2015-06-30,10-K,2016-02-26,,,332000000.0,,,,,
66,BAX,Baxter International Inc.,2015-06-30,10-K,2017-02-23,,,332000000.0,,,,,
63,BAX,Baxter International Inc.,2015-03-31,10-K,2016-02-26,,,430000000.0,,,,,
64,BAX,Baxter International Inc.,2015-03-31,10-K,2017-02-23,,,430000000.0,,,,,
59,BAX,Baxter International Inc.,2014-12-31,10-K,2015-02-26,2925000000.0,,953000000.0,,,8120000000.0,25917000000.0,
60,BAX,Baxter International Inc.,2014-12-31,10-K,2016-02-26,2925000000.0,,953000000.0,656000000.0,,8120000000.0,26138000000.0,
61,BAX,Baxter International Inc.,2014-12-31,10-K,2017-02-23,2925000000.0,,2497000000.0,656000000.0,,,26138000000.0,
62,BAX,Baxter International Inc.,2014-12-31,10-K,2018-02-23,2925000000.0,,,,,,,
57,BAX,Baxter International Inc.,2014-09-30,10-K,2015-02-26,,,468000000.0,,,,,
58,BAX,Baxter International Inc.,2014-09-30,10-K,2016-02-26,,,468000000.0,,,,,
55,BAX,Baxter International Inc.,2014-06-30,10-K,2015-02-26,,,520000000.0,,,,,
56,BAX,Baxter International Inc.,2014-06-30,10-K,2016-02-26,,,520000000.0,,,,,
53,BAX,Baxter International Inc.,2014-03-31,10-K,2015-02-26,,,556000000.0,,,,,
54,BAX,Baxter International Inc.,2014-03-31,10-K,2016-02-26,,,556000000.0,,,,,
49,BAX,Baxter International Inc.,2013-12-31,10-K,2014-02-21,2733000000.0,,326000000.0,,,8463000000.0,25869000000.0,
50,BAX,Baxter International Inc.,2013-12-31,10-K,2015-02-26,2733000000.0,,326000000.0,,,8463000000.0,25224000000.0,
51,BAX,Baxter International Inc.,2013-12-31,10-K,2016-02-26,2733000000.0,,2012000000.0,496000000.0,,,25224000000.0,
52,BAX,Baxter International Inc.,2013-12-31,10-K,2017-02-23,2733000000.0,,,,,,,
47,BAX,Baxter International Inc.,2013-09-30,10-K,2014-02-21,,,544000000.0,,,,,
48,BAX,Baxter International Inc.,2013-09-30,10-K,2015-02-26,,,544000000.0,,,,,
45,BAX,Baxter International Inc.,2013-06-30,10-K,2014-02-21,,,590000000.0,,,,,
46,BAX,Baxter International Inc.,2013-06-30,10-K,2015-02-26,,,590000000.0,,,,,
43,BAX,Baxter International Inc.,2013-03-31,10-K,2014-02-21,,,552000000.0,,,,,
44,BAX,Baxter International Inc.,2013-03-31,10-K,2015-02-26,,,552000000.0,,,,,
39,BAX,Baxter International Inc.,2012-12-31,10-K,2013-02-21,3270000000.0,,494000000.0,,,6938000000.0,20390000000.0,
40,BAX,Baxter International Inc.,2012-12-31,10-K,2014-02-21,3270000000.0,,494000000.0,,,6938000000.0,20390000000.0,
41,BAX,Baxter International Inc.,2012-12-31,10-K,2015-02-26,3270000000.0,,2326000000.0,,,,20390000000.0,
42,BAX,Baxter International Inc.,2012-12-31,10-K,2016-02-26,3270000000.0,,,,,,,
37,BAX,Baxter International Inc.,2012-09-30,10-K,2013-02-21,,,583000000.0,,,,,
38,BAX,Baxter International Inc.,2012-09-30,10-K,2014-02-21,,,583000000.0,,,,,
35,BAX,Baxter International Inc.,2012-06-30,10-K,2013-02-21,,,661000000.0,,,,,
36,BAX,Baxter International Inc.,2012-06-30,10-K,2014-02-21,,,661000000.0,,,,,
33,BAX,Baxter International Inc.,2012-03-31,10-K,2013-02-21,,,588000000.0,,,,,
34,BAX,Baxter International Inc.,2012-03-31,10-K,2014-02-21,,,588000000.0,,,,,
29,BAX,Baxter International Inc.,2011-12-31,10-K,2012-02-23,2905000000.0,,463000000.0,,,6585000000.0,19073000000.0,
30,BAX,Baxter International Inc.,2011-12-31,10-K,2013-02-21,2905000000.0,,463000000.0,,,6585000000.0,19073000000.0,
31,BAX,Baxter International Inc.,2011-12-31,10-K,2014-02-21,2905000000.0,,2224000000.0,,,,19073000000.0,
32,BAX,Baxter International Inc.,2011-12-31,10-K,2015-02-26,2905000000.0,,,,,,,
27,BAX,Baxter International Inc.,2011-09-30,10-K,2012-02-23,,,576000000.0,,,,,
28,BAX,Baxter International Inc.,2011-09-30,10-K,2013-02-21,,,576000000.0,,,,,
25,BAX,Baxter International Inc.,2011-06-30,10-K,2012-02-23,,,615000000.0,,,,,
26,BAX,Baxter International Inc.,2011-06-30,10-K,2013-02-21,,,615000000.0,,,,,
23,BAX,Baxter International Inc.,2011-03-31,10-K,2012-02-23,,,570000000.0,,,,,
24,BAX,Baxter International Inc.,2011-03-31,10-K,2013-02-21,,,570000000.0,,,,,
19,BAX,Baxter International Inc.,2010-12-31,10-K,2011-02-23,2685000000.0,,423000000.0,,,6567000000.0,17489000000.0,
20,BAX,Baxter International Inc.,2010-12-31,10-K,2012-02-23,2685000000.0,,423000000.0,,,6567000000.0,17489000000.0,
21,BAX,Baxter International Inc.,2010-12-31,10-K,2013-02-21,2685000000.0,,1420000000.0,,,,17489000000.0,
22,BAX,Baxter International Inc.,2010-12-31,10-K,2014-02-21,2685000000.0,,,,,,,
17,BAX,Baxter International Inc.,2010-09-30,10-K,2011-02-23,,,525000000.0,,,,,
18,BAX,Baxter International Inc.,2010-09-30,10-K,2012-02-23,,,525000000.0,,,,,
15,BAX,Baxter International Inc.,2010-06-30,10-K,2011-02-23,,,535000000.0,,,,,
16,BAX,Baxter International Inc.,2010-06-30,10-K,2012-02-23,,,535000000.0,,,,,
13,BAX,Baxter International Inc.,2010-03-31,10-K,2011-02-23,,,-63000000.0,,,,,
14,BAX,Baxter International Inc.,2010-03-31,10-K,2012-02-23,,,-63000000.0,,,,,
9,BAX,Baxter International Inc.,2009-12-31,10-K,2010-02-23,2786000000.0,,2205000000.0,,,7191000000.0,17354000000.0,
10,BAX,Baxter International Inc.,2009-12-31,10-K,2011-02-23,2786000000.0,,572000000.0,,,7191000000.0,17354000000.0,
11,BAX,Baxter International Inc.,2009-12-31,10-K,2012-02-23,2786000000.0,,2205000000.0,,,,17354000000.0,
12,BAX,Baxter International Inc.,2009-12-31,10-K,2013-02-21,2786000000.0,,,,,,,
8,BAX,Baxter International Inc.,2009-09-30,10-K,2011-02-23,,,530000000.0,,,,,
7,BAX,Baxter International Inc.,2009-06-30,10-K,2011-02-23,,,587000000.0,,,,,
6,BAX,Baxter International Inc.,2009-03-31,10-K,2011-02-23,,,516000000.0,,,,,
3,BAX,Baxter International Inc.,2008-12-31,10-K,2010-02-23,2131000000.0,,2014000000.0,,,6229000000.0,15405000000.0,
4,BAX,Baxter International Inc.,2008-12-31,10-K,2011-02-23,2131000000.0,,2014000000.0,,,,15405000000.0,
5,BAX,Baxter International Inc.,2008-12-31,10-K,2012-02-23,2131000000.0,,,,,,,
1,BAX,Baxter International Inc.,2007-12-31,10-K,2010-02-23,2539000000.0,,1707000000.0,,,,,
2,BAX,Baxter International Inc.,2007-12-31,10-K,2011-02-23,2539000000.0,,,,,,,
0,BAX,Baxter International Inc.,2006-12-31,10-K,2010-02-23,2485000000.0,,,,,,,
