,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
94,AJG,ARTHUR J. GALLAGHER & CO.,2019-12-31,10-K,2020-02-07,604800000.0,18500000.0,98500000.0,1721400000.0,7195000000.0,188100000.0,5155500000.0,19634800000.0,14419300000.0
95,AJG,ARTHUR J. GALLAGHER & CO.,2019-12-31,10-K,2021-02-08,604800000.0,,98500000.0,,1721400000.0,188100000.0,5155500000.0,19634800000.0,14419300000.0
96,AJG,ARTHUR J. GALLAGHER & CO.,2019-12-31,10-K,2022-02-18,604800000.0,,668800000.0,,7195000000.0,,,19634800000.0,
92,AJG,ARTHUR J. GALLAGHER & CO.,2019-09-30,10-K,2020-02-07,,,126100000.0,1825200000.0,,,,,
93,AJG,ARTHUR J. GALLAGHER & CO.,2019-09-30,10-K,2021-02-08,,,126100000.0,,1825200000.0,,,,
90,AJG,ARTHUR J. GALLAGHER & CO.,2019-06-30,10-K,2020-02-07,,,110100000.0,1657800000.0,,,,,
91,AJG,ARTHUR J. GALLAGHER & CO.,2019-06-30,10-K,2021-02-08,,,110100000.0,,1657800000.0,,,,
88,AJG,ARTHUR J. GALLAGHER & CO.,2019-03-31,10-K,2020-02-07,,,334100000.0,1990600000.0,,,,,
89,AJG,ARTHUR J. GALLAGHER & CO.,2019-03-31,10-K,2021-02-08,,,334100000.0,,1990600000.0,,,,
85,AJG,ARTHUR J. GALLAGHER & CO.,2018-12-31,10-K,2019-02-08,607200000.0,19900000.0,117300000.0,1657400000.0,6934000000.0,184000000.0,4498900000.0,16334000000.0,11764300000.0
86,AJG,ARTHUR J. GALLAGHER & CO.,2018-12-31,10-K,2020-02-07,607200000.0,,117300000.0,1657400000.0,6934000000.0,184000000.0,4498900000.0,16334000000.0,11764300000.0
87,AJG,ARTHUR J. GALLAGHER & CO.,2018-12-31,10-K,2021-02-08,607200000.0,,633500000.0,,6934000000.0,,,16334000000.0,
83,AJG,ARTHUR J. GALLAGHER & CO.,2018-09-30,10-K,2019-02-08,,,127600000.0,1778500000.0,,,,,
84,AJG,ARTHUR J. GALLAGHER & CO.,2018-09-30,10-K,2020-02-07,,,127600000.0,1778500000.0,,,,,
81,AJG,ARTHUR J. GALLAGHER & CO.,2018-06-30,10-K,2019-02-08,,,114900000.0,1660400000.0,,,,,
82,AJG,ARTHUR J. GALLAGHER & CO.,2018-06-30,10-K,2020-02-07,,,114900000.0,1660400000.0,,,,,
79,AJG,ARTHUR J. GALLAGHER & CO.,2018-03-31,10-K,2019-02-08,,,273700000.0,1837700000.0,,,,,
80,AJG,ARTHUR J. GALLAGHER & CO.,2018-03-31,10-K,2020-02-07,,,273700000.0,1837700000.0,,,,,
76,AJG,ARTHUR J. GALLAGHER & CO.,2017-12-31,10-K,2018-02-12,681200000.0,19700000.0,105100000.0,1599000000.0,,181000000.0,4105200000.0,12897400000.0,8732500000.0
77,AJG,ARTHUR J. GALLAGHER & CO.,2017-12-31,10-K,2019-02-08,681200000.0,,71500000.0,1519400000.0,6249000000.0,181000000.0,4235600000.0,14909700000.0,10610000000.0
78,AJG,ARTHUR J. GALLAGHER & CO.,2017-12-31,10-K,2020-02-07,681200000.0,,481300000.0,,6249000000.0,,,14909700000.0,
74,AJG,ARTHUR J. GALLAGHER & CO.,2017-09-30,10-K,2018-02-12,,,130400000.0,1584500000.0,,,,,
75,AJG,ARTHUR J. GALLAGHER & CO.,2017-09-30,10-K,2019-02-08,,,111000000.0,1593700000.0,,,,,
72,AJG,ARTHUR J. GALLAGHER & CO.,2017-06-30,10-K,2018-02-12,,,171900000.0,1563400000.0,,,,,
73,AJG,ARTHUR J. GALLAGHER & CO.,2017-06-30,10-K,2019-02-08,,,70000000.0,1489500000.0,,,,,
70,AJG,ARTHUR J. GALLAGHER & CO.,2017-03-31,10-K,2018-02-12,,,55700000.0,1412700000.0,,,,,
71,AJG,ARTHUR J. GALLAGHER & CO.,2017-03-31,10-K,2019-02-08,,,228800000.0,1646400000.0,,,,,
67,AJG,ARTHUR J. GALLAGHER & CO.,2016-12-31,10-K,2017-02-13,545500000.0,26900000.0,95100000.0,1385000000.0,,178300000.0,3596600000.0,11489600000.0,7833800000.0
68,AJG,ARTHUR J. GALLAGHER & CO.,2016-12-31,10-K,2018-02-12,545500000.0,,95100000.0,1385000000.0,,178300000.0,3596600000.0,11489600000.0,7833800000.0
69,AJG,ARTHUR J. GALLAGHER & CO.,2016-12-31,10-K,2019-02-08,545500000.0,,396800000.0,,5680500000.0,,,13528200000.0,
65,AJG,ARTHUR J. GALLAGHER & CO.,2016-09-30,10-K,2017-02-13,,,122800000.0,1482300000.0,,,,,
66,AJG,ARTHUR J. GALLAGHER & CO.,2016-09-30,10-K,2018-02-12,,,122800000.0,1482300000.0,,,,,
63,AJG,ARTHUR J. GALLAGHER & CO.,2016-06-30,10-K,2017-02-13,,,150000000.0,1427100000.0,,,,,
64,AJG,ARTHUR J. GALLAGHER & CO.,2016-06-30,10-K,2018-02-12,,,150000000.0,1427100000.0,,,,,
61,AJG,ARTHUR J. GALLAGHER & CO.,2016-03-31,10-K,2017-02-13,,,46500000.0,1300400000.0,,,,,
62,AJG,ARTHUR J. GALLAGHER & CO.,2016-03-31,10-K,2018-02-12,,,46500000.0,1300400000.0,,,,,
58,AJG,ARTHUR J. GALLAGHER & CO.,2015-12-31,10-K,2016-02-10,480400000.0,62800000.0,62300000.0,1334900000.0,,176900000.0,3638300000.0,10913800000.0,7225600000.0
59,AJG,ARTHUR J. GALLAGHER & CO.,2015-12-31,10-K,2017-02-13,480400000.0,,62300000.0,1334900000.0,,176900000.0,3638300000.0,10910500000.0,7222300000.0
60,AJG,ARTHUR J. GALLAGHER & CO.,2015-12-31,10-K,2018-02-12,480400000.0,,356800000.0,5392400000.0,,,,10913800000.0,
56,AJG,ARTHUR J. GALLAGHER & CO.,2015-09-30,10-K,2016-02-10,,,133300000.0,1454800000.0,,,,,
57,AJG,ARTHUR J. GALLAGHER & CO.,2015-09-30,10-K,2017-02-13,,,133300000.0,1454800000.0,,,,,
54,AJG,ARTHUR J. GALLAGHER & CO.,2015-06-30,10-K,2016-02-10,,,139300000.0,1371400000.0,,,,,
55,AJG,ARTHUR J. GALLAGHER & CO.,2015-06-30,10-K,2017-02-13,,,139300000.0,1371400000.0,,,,,
52,AJG,ARTHUR J. GALLAGHER & CO.,2015-03-31,10-K,2016-02-10,,,21900000.0,1231300000.0,,,,,
53,AJG,ARTHUR J. GALLAGHER & CO.,2015-03-31,10-K,2017-02-13,,,21900000.0,1231300000.0,,,,,
49,AJG,ARTHUR J. GALLAGHER & CO.,2014-12-31,10-K,2015-02-13,314400000.0,46100000.0,51500000.0,1245400000.0,,164600000.0,3229400000.0,10010000000.0,6780600000.0
50,AJG,ARTHUR J. GALLAGHER & CO.,2014-12-31,10-K,2016-02-10,314400000.0,,51500000.0,1245400000.0,,164600000.0,3229400000.0,10010000000.0,6704900000.0
