,ticker,company,end_date,form,filed,cash,net_income,revenue,shares_outstanding,stockholders_equity,total_assets
106,AES,AES CORP,2019-12-31,10-K,2020-02-28,1029000000.0,-78000000.0,2431000000.0,663952656.0,2996000000.0,33648000000.0
107,AES,AES CORP,2019-12-31,10-K,2021-02-25,1029000000.0,-78000000.0,2431000000.0,663952656.0,2996000000.0,33648000000.0
108,AES,AES CORP,2019-12-31,10-K,2022-02-28,,303000000.0,10189000000.0,,,33648000000.0
104,AES,AES CORP,2019-09-30,10-K,2020-02-28,,210000000.0,2625000000.0,,,
105,AES,AES CORP,2019-09-30,10-K,2021-02-25,,210000000.0,2625000000.0,,,
102,AES,AES CORP,2019-06-30,10-K,2020-02-28,,17000000.0,2483000000.0,,,
103,AES,AES CORP,2019-06-30,10-K,2021-02-25,,17000000.0,2483000000.0,,,
100,AES,AES CORP,2019-03-31,10-K,2020-02-28,,154000000.0,2650000000.0,,,
101,AES,AES CORP,2019-03-31,10-K,2021-02-25,,154000000.0,2650000000.0,,,
97,AES,AES CORP,2018-12-31,10-K,2019-02-27,1166000000.0,128000000.0,2622000000.0,662298096.0,3208000000.0,32521000000.0
98,AES,AES CORP,2018-12-31,10-K,2020-02-28,1166000000.0,128000000.0,2622000000.0,662298096.0,3208000000.0,32521000000.0
99,AES,AES CORP,2018-12-31,10-K,2021-02-25,,1203000000.0,10736000000.0,,,32521000000.0
95,AES,AES CORP,2018-09-30,10-K,2019-02-27,,101000000.0,2837000000.0,,,
96,AES,AES CORP,2018-09-30,10-K,2020-02-28,,101000000.0,2837000000.0,,,
93,AES,AES CORP,2018-06-30,10-K,2019-02-27,,290000000.0,2537000000.0,,,
94,AES,AES CORP,2018-06-30,10-K,2020-02-28,,290000000.0,2537000000.0,,,
91,AES,AES CORP,2018-03-31,10-K,2019-02-27,,684000000.0,2740000000.0,,,
92,AES,AES CORP,2018-03-31,10-K,2020-02-28,,684000000.0,2740000000.0,,,
88,AES,AES CORP,2017-12-31,10-K,2018-02-27,949000000.0,-1342000000.0,2643000000.0,660388128.0,2465000000.0,33112000000.0
89,AES,AES CORP,2017-12-31,10-K,2019-02-27,949000000.0,-1342000000.0,2643000000.0,660388128.0,2465000000.0,33112000000.0
90,AES,AES CORP,2017-12-31,10-K,2020-02-28,,-1161000000.0,10530000000.0,,,33112000000.0
86,AES,AES CORP,2017-09-30,10-K,2018-02-27,,152000000.0,2693000000.0,,,
87,AES,AES CORP,2017-09-30,10-K,2019-02-27,,152000000.0,2693000000.0,,,
84,AES,AES CORP,2017-06-30,10-K,2018-02-27,,53000000.0,2613000000.0,,,
85,AES,AES CORP,2017-06-30,10-K,2019-02-27,,53000000.0,2613000000.0,,,
82,AES,AES CORP,2017-03-31,10-K,2018-02-27,,-24000000.0,2581000000.0,,,
83,AES,AES CORP,2017-03-31,10-K,2019-02-27,,-24000000.0,2581000000.0,,,
79,AES,AES CORP,2016-12-31,10-K,2017-02-27,1305000000.0,-949000000.0,3544000000.0,659182232.0,,36119000000.0
80,AES,AES CORP,2016-12-31,10-K,2018-02-27,1244000000.0,-949000000.0,2660000000.0,659182232.0,2794000000.0,36124000000.0
81,AES,AES CORP,2016-12-31,10-K,2019-02-27,,-1130000000.0,10281000000.0,,,36124000000.0
77,AES,AES CORP,2016-09-30,10-K,2017-02-27,,175000000.0,3542000000.0,,,
78,AES,AES CORP,2016-09-30,10-K,2018-02-27,,175000000.0,2639000000.0,,,
75,AES,AES CORP,2016-06-30,10-K,2017-02-27,,-482000000.0,3229000000.0,,,
76,AES,AES CORP,2016-06-30,10-K,2018-02-27,,-482000000.0,2452000000.0,,,
73,AES,AES CORP,2016-03-31,10-K,2017-02-27,,126000000.0,3271000000.0,,,
74,AES,AES CORP,2016-03-31,10-K,2018-02-27,,126000000.0,2530000000.0,,,
72,AES,AES CORP,2016-01-01,10-K,2018-02-27,1218000000.0,,,,,
69,AES,AES CORP,2015-12-31,10-K,2016-02-24,1262000000.0,-85000000.0,14963000000.0,666808790.0,3149000000.0,36850000000.0
70,AES,AES CORP,2015-12-31,10-K,2017-02-27,1257000000.0,-85000000.0,3219000000.0,666808790.0,,36470000000.0
71,AES,AES CORP,2015-12-31,10-K,2018-02-27,1218000000.0,306000000.0,11260000000.0,,,36545000000.0
67,AES,AES CORP,2015-09-30,10-K,2016-02-24,,180000000.0,,,,
68,AES,AES CORP,2015-09-30,10-K,2017-02-27,,180000000.0,3522000000.0,,,
65,AES,AES CORP,2015-06-30,10-K,2016-02-24,,69000000.0,,,,
66,AES,AES CORP,2015-06-30,10-K,2017-02-27,,69000000.0,3656000000.0,,,
63,AES,AES CORP,2015-03-31,10-K,2016-02-24,,142000000.0,,,,
64,AES,AES CORP,2015-03-31,10-K,2017-02-27,,142000000.0,3758000000.0,,,
61,AES,AES CORP,2015-01-01,10-K,2017-02-27,1517000000.0,,,,,
62,AES,AES CORP,2015-01-01,10-K,2018-02-27,1449000000.0,,,,,
58,AES,AES CORP,2014-12-31,10-K,2015-02-26,1539000000.0,206000000.0,17146000000.0,703851297.0,4272000000.0,38966000000.0
59,AES,AES CORP,2014-12-31,10-K,2016-02-24,1539000000.0,206000000.0,17146000000.0,703851297.0,4272000000.0,38966000000.0
60,AES,AES CORP,2014-12-31,10-K,2017-02-27,1517000000.0,769000000.0,16124000000.0,,,38562000000.0
56,AES,AES CORP,2014-09-30,10-K,2015-02-26,,488000000.0,,,,
57,AES,AES CORP,2014-09-30,10-K,2016-02-24,,488000000.0,,,,
54,AES,AES CORP,2014-06-30,10-K,2015-02-26,,133000000.0,,,,
55,AES,AES CORP,2014-06-30,10-K,2016-02-24,,133000000.0,,,,
52,AES,AES CORP,2014-03-31,10-K,2015-02-26,,-58000000.0,,,,
53,AES,AES CORP,2014-03-31,10-K,2016-02-24,,-58000000.0,,,,
51,AES,AES CORP,2014-01-01,10-K,2017-02-27,1636000000.0,,,,,
48,AES,AES CORP,2013-12-31,10-K,2014-02-26,1642000000.0,-206000000.0,15891000000.0,722508342.0,4330000000.0,40411000000.0
49,AES,AES CORP,2013-12-31,10-K,2015-02-26,1642000000.0,-206000000.0,15891000000.0,722508342.0,4330000000.0,40411000000.0
50,AES,AES CORP,2013-12-31,10-K,2016-02-24,1642000000.0,114000000.0,15891000000.0,,,40411000000.0
46,AES,AES CORP,2013-09-30,10-K,2014-02-26,,71000000.0,,,,
47,AES,AES CORP,2013-09-30,10-K,2015-02-26,,71000000.0,,,,
44,AES,AES CORP,2013-06-30,10-K,2014-02-26,,167000000.0,,,,
45,AES,AES CORP,2013-06-30,10-K,2015-02-26,,167000000.0,,,,
42,AES,AES CORP,2013-03-31,10-K,2014-02-26,,82000000.0,,,,
43,AES,AES CORP,2013-03-31,10-K,2015-02-26,,82000000.0,,,,
38,AES,AES CORP,2012-12-31,10-K,2013-02-27,1970000000.0,175000000.0,18141000000.0,744263855.0,4569000000.0,41830000000.0
39,AES,AES CORP,2012-12-31,10-K,2014-02-26,1900000000.0,175000000.0,17164000000.0,744263855.0,4569000000.0,41830000000.0
40,AES,AES CORP,2012-12-31,10-K,2015-02-26,1900000000.0,-912000000.0,17164000000.0,,,41830000000.0
41,AES,AES CORP,2012-12-31,10-K,2016-02-24,1900000000.0,,,,,
36,AES,AES CORP,2012-09-30,10-K,2013-02-27,,-1568000000.0,,,,
37,AES,AES CORP,2012-09-30,10-K,2014-02-26,,-1568000000.0,,,,
34,AES,AES CORP,2012-06-30,10-K,2013-02-27,,140000000.0,,,,
35,AES,AES CORP,2012-06-30,10-K,2014-02-26,,140000000.0,,,,
32,AES,AES CORP,2012-03-31,10-K,2013-02-27,,341000000.0,,,,
33,AES,AES CORP,2012-03-31,10-K,2014-02-26,,341000000.0,,,,
28,AES,AES CORP,2011-12-31,10-K,2012-02-27,1710000000.0,-209000000.0,17274000000.0,765186316.0,5946000000.0,45333000000.0
29,AES,AES CORP,2011-12-31,10-K,2013-02-27,1695000000.0,-209000000.0,16923000000.0,765186316.0,5946000000.0,45346000000.0
30,AES,AES CORP,2011-12-31,10-K,2014-02-26,1624000000.0,58000000.0,16098000000.0,,,45346000000.0
31,AES,AES CORP,2011-12-31,10-K,2015-02-26,1624000000.0,,,,,
26,AES,AES CORP,2011-09-30,10-K,2012-02-27,,-131000000.0,,,,
27,AES,AES CORP,2011-09-30,10-K,2013-02-27,,-131000000.0,,,,
24,AES,AES CORP,2011-06-30,10-K,2012-02-27,,174000000.0,,,,
25,AES,AES CORP,2011-06-30,10-K,2013-02-27,,174000000.0,,,,
22,AES,AES CORP,2011-03-31,10-K,2012-02-27,,224000000.0,,,,
23,AES,AES CORP,2011-03-31,10-K,2013-02-27,,224000000.0,,,,
18,AES,AES CORP,2010-12-31,10-K,2011-02-28,2554000000.0,-436000000.0,,787607240.0,6473000000.0,40511000000.0
19,AES,AES CORP,2010-12-31,10-K,2012-02-27,2525000000.0,-436000000.0,15828000000.0,787607240.0,6473000000.0,40511000000.0
20,AES,AES CORP,2010-12-31,10-K,2013-02-27,2506000000.0,9000000.0,15443000000.0,,,40511000000.0
21,AES,AES CORP,2010-12-31,10-K,2014-02-26,2360000000.0,,,,,
16,AES,AES CORP,2010-09-30,10-K,2011-02-28,,114000000.0,,,,
17,AES,AES CORP,2010-09-30,10-K,2012-02-27,,114000000.0,,,,
14,AES,AES CORP,2010-06-30,10-K,2011-02-28,,144000000.0,,,,
15,AES,AES CORP,2010-06-30,10-K,2012-02-27,,144000000.0,,,,
12,AES,AES CORP,2010-03-31,10-K,2011-02-28,,187000000.0,,,,
13,AES,AES CORP,2010-03-31,10-K,2012-02-27,,187000000.0,,,,
8,AES,AES CORP,2009-12-31,10-K,2010-02-26,1809000000.0,658000000.0,,667679913.0,4675000000.0,39535000000.0
9,AES,AES CORP,2009-12-31,10-K,2011-02-28,1782000000.0,-48000000.0,,667679913.0,4675000000.0,39535000000.0
10,AES,AES CORP,2009-12-31,10-K,2012-02-27,851000000.0,658000000.0,13110000000.0,,,39535000000.0
11,AES,AES CORP,2009-12-31,10-K,2013-02-27,1745000000.0,,,,,
7,AES,AES CORP,2009-09-30,10-K,2011-02-28,,185000000.0,,,,
6,AES,AES CORP,2009-06-30,10-K,2011-02-28,,303000000.0,,,,
5,AES,AES CORP,2009-03-31,10-K,2011-02-28,,218000000.0,,,,
3,AES,AES CORP,2008-12-31,10-K,2010-02-26,881000000.0,1234000000.0,,662786745.0,3669000000.0,34806000000.0
4,AES,AES CORP,2008-12-31,10-K,2011-02-28,865000000.0,1234000000.0,,,,34806000000.0
1,AES,AES CORP,2007-12-31,10-K,2010-02-26,2035000000.0,-95000000.0,,,,
2,AES,AES CORP,2007-12-31,10-K,2011-02-28,2020000000.0,,,,,
0,AES,AES CORP,2006-12-31,10-K,2010-02-26,1338000000.0,,,,,
