,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
76,CL,COLGATE-PALMOLIVE COMPANY,2016-06-30,10-K,2018-02-15,,,600000000.0,,,,,,,
73,CL,COLGATE-PALMOLIVE COMPANY,2016-03-31,10-K,2017-02-23,,,533000000.0,,,,,,,
74,CL,COLGATE-PALMOLIVE COMPANY,2016-03-31,10-K,2018-02-15,,,533000000.0,,,,,,,
69,CL,COLGATE-PALMOLIVE COMPANY,2015-12-31,10-K,2016-02-18,970000000.0,6567000000.0,-458000000.0,2789000000.0,16034000000.0,,892738518.0,-299000000.0,11958000000.0,12002000000.0
70,CL,COLGATE-PALMOLIVE COMPANY,2015-12-31,10-K,2017-02-23,970000000.0,6544000000.0,-458000000.0,2789000000.0,16034000000.0,,892738518.0,-299000000.0,11935000000.0,11979000000.0
71,CL,COLGATE-PALMOLIVE COMPANY,2015-12-31,10-K,2018-02-15,970000000.0,,1384000000.0,2789000000.0,16034000000.0,,892738518.0,,11935000000.0,
72,CL,COLGATE-PALMOLIVE COMPANY,2015-12-31,10-K,2019-02-21,970000000.0,,,,,,892738518.0,,,
67,CL,COLGATE-PALMOLIVE COMPANY,2015-09-30,10-K,2016-02-18,,,726000000.0,,,,,,,
68,CL,COLGATE-PALMOLIVE COMPANY,2015-09-30,10-K,2017-02-23,,,726000000.0,,,,,,,
65,CL,COLGATE-PALMOLIVE COMPANY,2015-06-30,10-K,2016-02-18,,,574000000.0,,,,,,,
66,CL,COLGATE-PALMOLIVE COMPANY,2015-06-30,10-K,2017-02-23,,,574000000.0,,,,,,,
63,CL,COLGATE-PALMOLIVE COMPANY,2015-03-31,10-K,2016-02-18,,,542000000.0,,,,,,,
64,CL,COLGATE-PALMOLIVE COMPANY,2015-03-31,10-K,2017-02-23,,,542000000.0,,,,,,,
59,CL,COLGATE-PALMOLIVE COMPANY,2014-12-31,10-K,2015-02-19,1089000000.0,6132000000.0,628000000.0,3557000000.0,17277000000.0,,906712145.0,1145000000.0,13459000000.0,12074000000.0
60,CL,COLGATE-PALMOLIVE COMPANY,2014-12-31,10-K,2016-02-18,1089000000.0,6132000000.0,628000000.0,3557000000.0,17277000000.0,,906712145.0,1145000000.0,13459000000.0,12074000000.0
61,CL,COLGATE-PALMOLIVE COMPANY,2014-12-31,10-K,2017-02-23,1089000000.0,,2180000000.0,3557000000.0,17277000000.0,,906712145.0,,13440000000.0,
