,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets
40,AVY,AVERY DENNISON CORPORATION,2017-04-01,10-K,2019-02-27,,,,1572100000.0,,,
36,AVY,AVERY DENNISON CORPORATION,2016-12-31,10-K,2017-02-23,195100000.0,,,,88308860.0,925500000.0,4396400000.0
37,AVY,AVERY DENNISON CORPORATION,2016-12-31,10-K,2018-02-21,195100000.0,,,,88308860.0,925500000.0,4396400000.0
38,AVY,AVERY DENNISON CORPORATION,2016-12-31,10-K,2019-02-27,195100000.0,,320700000.0,6086500000.0,,925500000.0,
39,AVY,AVERY DENNISON CORPORATION,2016-12-31,10-K,2020-02-26,,,,,,925500000.0,
32,AVY,AVERY DENNISON CORPORATION,2016-01-02,10-K,2016-02-24,158800000.0,,,,89967697.0,965700000.0,4133700000.0
33,AVY,AVERY DENNISON CORPORATION,2016-01-02,10-K,2017-02-23,158800000.0,,,,89967697.0,965700000.0,4133700000.0
34,AVY,AVERY DENNISON CORPORATION,2016-01-02,10-K,2018-02-21,158800000.0,,,,,965700000.0,
35,AVY,AVERY DENNISON CORPORATION,2016-01-02,10-K,2019-02-27,158800000.0,,,,,965700000.0,
28,AVY,AVERY DENNISON CORPORATION,2015-01-03,10-K,2015-02-25,227000000.0,,,,90458956.0,1066500000.0,4360200000.0
29,AVY,AVERY DENNISON CORPORATION,2015-01-03,10-K,2016-02-24,207200000.0,,,,90458956.0,1047700000.0,4356900000.0
30,AVY,AVERY DENNISON CORPORATION,2015-01-03,10-K,2017-02-23,207200000.0,,,,,1047700000.0,
31,AVY,AVERY DENNISON CORPORATION,2015-01-03,10-K,2018-02-21,207200000.0,,,,,1047700000.0,
24,AVY,AVERY DENNISON CORPORATION,2013-12-28,10-K,2014-02-26,351600000.0,,,,96178411.0,1492200000.0,4610600000.0
25,AVY,AVERY DENNISON CORPORATION,2013-12-28,10-K,2015-02-25,351600000.0,,,,96178411.0,1492200000.0,4610600000.0
26,AVY,AVERY DENNISON CORPORATION,2013-12-28,10-K,2016-02-24,351100000.0,,,,,1468100000.0,
27,AVY,AVERY DENNISON CORPORATION,2013-12-28,10-K,2017-02-23,351100000.0,,,,,1468100000.0,
20,AVY,AVERY DENNISON CORPORATION,2012-12-29,10-K,2013-02-27,235400000.0,,,,99915457.0,1580900000.0,5105300000.0
21,AVY,AVERY DENNISON CORPORATION,2012-12-29,10-K,2014-02-26,235400000.0,,,,99915457.0,1580900000.0,5105300000.0
22,AVY,AVERY DENNISON CORPORATION,2012-12-29,10-K,2015-02-25,235400000.0,,,,,1580900000.0,
23,AVY,AVERY DENNISON CORPORATION,2012-12-29,10-K,2016-02-24,235400000.0,,,,,1536600000.0,
16,AVY,AVERY DENNISON CORPORATION,2011-12-31,10-K,2012-02-27,178000000.0,,22200000.0,,106269919.0,1658500000.0,4972700000.0
17,AVY,AVERY DENNISON CORPORATION,2011-12-31,10-K,2013-02-27,178000000.0,,,,106269919.0,1658500000.0,4972700000.0
18,AVY,AVERY DENNISON CORPORATION,2011-12-31,10-K,2014-02-26,178000000.0,,,,,1658500000.0,
19,AVY,AVERY DENNISON CORPORATION,2011-12-31,10-K,2015-02-25,178000000.0,,,,,1658500000.0,
15,AVY,AVERY DENNISON CORPORATION,2011-10-01,10-K,2012-02-27,,,49800000.0,,,,
14,AVY,AVERY DENNISON CORPORATION,2011-07-02,10-K,2012-02-27,,,73300000.0,,,,
13,AVY,AVERY DENNISON CORPORATION,2011-04-02,10-K,2012-02-27,,,44800000.0,,,,
9,AVY,AVERY DENNISON CORPORATION,2011-01-01,10-K,2011-02-28,127500000.0,,316900000.0,,105391940.0,1645700000.0,5099400000.0
10,AVY,AVERY DENNISON CORPORATION,2011-01-01,10-K,2012-02-27,127500000.0,,114200000.0,,105391940.0,1645700000.0,5099400000.0
11,AVY,AVERY DENNISON CORPORATION,2011-01-01,10-K,2013-02-27,127500000.0,,,,,1645700000.0,
12,AVY,AVERY DENNISON CORPORATION,2011-01-01,10-K,2014-02-26,127500000.0,,,,,1645700000.0,
8,AVY,AVERY DENNISON CORPORATION,2010-10-02,10-K,2012-02-27,,,64200000.0,,,,
7,AVY,AVERY DENNISON CORPORATION,2010-07-03,10-K,2012-02-27,,,83800000.0,,,,
6,AVY,AVERY DENNISON CORPORATION,2010-04-03,10-K,2012-02-27,,,54700000.0,,,,
3,AVY,AVERY DENNISON CORPORATION,2010-01-02,10-K,2011-02-28,138100000.0,,-746700000.0,,105298317.0,1362600000.0,5002800000.0
4,AVY,AVERY DENNISON CORPORATION,2010-01-02,10-K,2012-02-27,138100000.0,,-746700000.0,,,1362600000.0,
5,AVY,AVERY DENNISON CORPORATION,2010-01-02,10-K,2013-02-27,138100000.0,,,,,1362600000.0,
1,AVY,AVERY DENNISON CORPORATION,2008-12-27,10-K,2011-02-28,105500000.0,,266100000.0,,,1750000000.0,
2,AVY,AVERY DENNISON CORPORATION,2008-12-27,10-K,2012-02-27,105500000.0,,,,,1750000000.0,
0,AVY,AVERY DENNISON CORPORATION,2007-12-29,10-K,2011-02-28,71500000.0,,,,,1989400000.0,
